Urdu_Idiom,Idiomatic_Sent,Translation_Instruction,Urdu_Sentence_3.5,Urdu_Sentence_4o,3.5_Evaluation_4,4o_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4o
آدھا تیتر آدھا بٹیر,"The new hybrid gadget is neither fish nor fowl, leaving consumers confused about its true purpose.","Translate this sentence to Urdu: 'The new hybrid gadget is neither fish nor fowl, leaving consumers confused about its true purpose.'",نیا ہائبرڈ گیجٹ نہ تو مچھلی ہے اور نہ ہی کوئی پرندہ، جو اس کے اصل مقصد پر مصرور مصرور کر دیتا ہے۔,نیا ہائبرڈ گیجٹ نہ مچھلی ہے نہ پرندہ، جس سے صارفین اس کے حقیقی مقصد کے بارے میں الجھن میں ہیں۔,2.0,3.0,1.0,3.0
ادلے کا بدلہ,"After John spread rumors about her, Mary decided to give him a taste of his own medicine, engaging in a tit for tat strategy.","Translate this sentence to Urdu: 'After John spread rumors about her, Mary decided to give him a taste of his own medicine, engaging in a tit for tat strategy.'",جان نے اس کے بارے میں افواہیں پھیلائیں تو میری نے فیصلہ کیا کہ اسے اسی کا جواب دینا چاہیے، اور اس نے ایک برابر کا استراتیجی کا تعاقب شروع کیا۔,جان کے اس کے بارے میں افواہیں پھیلانے کے بعد، میری نے فیصلہ کیا کہ اسے اسی کی دوا چکھائے گی اور بدلے کی حکمت عملی اپنائے گی۔,3.0,3.0,2.0,3.0
سہج پکے سو میٹھا ہو,"Despite the pressure to hurry, he reminded himself that slow and steady wins the race.","Translate this sentence to Urdu: 'Despite the pressure to hurry, he reminded himself that slow and steady wins the race.'",بھاگنے کی دباؤ کے باوجود، اس نے خود کو یاد دلایا کہ دھیما اور استقامت سے ریس جیتی جاتی ہے۔,'جلدی کرنے کے دباؤ کے باوجود، اس نے خود کو یاد دلایا کہ آہستہ اور مستقل مزاجی سے جیت حاصل ہوتی ہے۔',3.0,3.0,2.0,3.0
بہتی گنگا میں ہاتھ دھونا,"With the unexpected boom in sales, the company decided to make hay while the sun shines and launched several new products.","Translate this sentence to Urdu: 'With the unexpected boom in sales, the company decided to make hay while the sun shines and launched several new products.'",ناگہانی فروخت میں بڑھوتری کے بعد، کمپنی نے سورج چمکتے ہوئے گھاس کاٹنے کا فیصلہ کیا اور کئی نئے پروڈکٹس لانچ کیے۔,سیلز میں غیر متوقع تیزی کے ساتھ، کمپنی نے موقع سے فائدہ اٹھانے کا فیصلہ کیا اور کئی نئے پروڈکٹس لانچ کیے۔,1.0,3.0,1.0,3.0
اب پچھتاۓ کیا ہؤت جب چڑیا چگ گئ کھیت,There's no use in getting upset about the missed opportunity; you shouldn't cry over spilt milk.,Translate this sentence to Urdu: 'There's no use in getting upset about the missed opportunity; you shouldn't cry over spilt milk.',فرصت چھوٹ جانے پر غصہ ہونے سے کوئی فائدہ نہیں ہے؛ چھٹی ہوئی دودھ پر رونا بہتر نہیں ہوتا۔,چھوٹے موقعے کے بارے میں پریشان ہونے کا کوئی فائدہ نہیں؛ جو ہو گیا سو ہو گیا۔,3.0,2.0,3.0,3.0
دونوں ہاتھوں سے دولت لٹانا,"Working two jobs and studying at night, she's really burning the candle at both ends.","Translate this sentence to Urdu: 'Working two jobs and studying at night, she's really burning the candle at both ends.'",دو نوکریوں کو کرتے ہوئے اور رات کو پڑھائی کرتے ہوئے، اُس نے واقعی دونوں سروں سے گلہڑی بجھا رکھی ہے۔,'دو نوکریاں کرنے اور رات کو پڑھائی کرنے کے بعد، وہ واقعی دن رات کام کر رہی ہے۔',2.0,2.0,3.0,2.0
ہتھیلی پر سرسوں نہیں جمتی,"Learning a new language can be challenging, but remember, Rome was not built in one day.","Translate this sentence to Urdu: 'Learning a new language can be challenging, but remember, Rome was not built in one day.'",نئی زبان سیکھنا مشکل ہو سکتا ہے، لیکن یاد رکھیں، روم ایک دن میں نہیں بنا تھا۔,نئی زبان سیکھنا مشکل ہو سکتا ہے، لیکن یاد رکھیں، روم ایک دن میں نہیں بنا تھا۔,3.0,3.0,3.0,3.0
اونٹ کے منہ میں زیرہ,"Donating a few dollars to the massive relief fund felt like a drop in the bucket, but every contribution counted.","Translate this sentence to Urdu: 'Donating a few dollars to the massive relief fund felt like a drop in the bucket, but every contribution counted.'",معاونتی فنڈ میں چند ڈالر دینا جیسے کہ چھتی کا پانی محسوس ہوتا تھا، لیکن ہر اضافی کردار رکھتی تھی۔,بڑے امدادی فنڈ میں چند ڈالر کا عطیہ دینا سمندر میں قطرے کے برابر لگتا تھا، لیکن ہر تعاون کی اہمیت تھی۔,2.0,3.0,1.0,3.0
اول خویش بعد درویش,"Before donating to international causes, remember that charity begins at home and consider helping your local community first.","Translate this sentence to Urdu: 'Before donating to international causes, remember that charity begins at home and consider helping your local community first.'",بین الاقوامی مدد کو انتظام کرنے سے پہلے یاد رکھیں کہ خیرات گھر سے ہی شروع ہوتی ہے اور پہلے اپنی مقامی برادری کی مدد کرنے کا تسلی بھی کریں۔,بین الاقوامی مقاصد کے لیے عطیہ کرنے سے پہلے یاد رکھیں کہ نیکی کی شروعات گھر سے ہوتی ہے اور پہلے اپنے مقامی کمیونٹی کی مدد پر غور کریں۔,3.0,3.0,3.0,3.0
بغل میں چھری منہ میں رام رام,"Despite his friendly demeanor, Jake turned out to be a wolf in sheep's clothing, betraying everyone's trust for his own gain.","Translate this sentence to Urdu: 'Despite his friendly demeanor, Jake turned out to be a wolf in sheep's clothing, betraying everyone's trust for his own gain.'","جیک کے دوستانہ رویہ کے باوجود, یہ آپس میں بھیڑوں کے کپڑے میں بھیڑا نکلا, اپنے فائدے کے لئے سب کی اعتماد کو دھوکہ دے دیا۔",دوستانہ رویے کے باوجود، جیک بھیڑ کی کھال میں بھیڑیا نکلا، جس نے اپنے فائدے کے لیے سب کا اعتماد دھوکہ دیا۔,3.0,3.0,1.0,3.0
بھینس کے آگے بین بجانا,Sharing advanced literary analysis with someone who never reads is like casting pearls before swine.,Translate this sentence to Urdu: 'Sharing advanced literary analysis with someone who never reads is like casting pearls before swine.',کسی کے ساتھ ترقی یافتہ ادبی تجزیہ بانٹنا جو کبھی کتاب نہیں پڑھتا وہ گیند کو خونڈنا کی طرح ہے۔,جو شخص کبھی کتاب نہ پڑھتا ہو اس کے ساتھ اعلیٰ ادبی تجزیہ شیئر کرنا ایسے ہے جیسے سؤروں کے آگے موتی ڈالنا۔,3.0,3.0,1.0,3.0
پہلے تولوپھر بولو,You better check out the costs that you will have to incur through the duration of this lawsuit before filling it and It is always better to look before you leap .,Translate this sentence to Urdu: 'You better check out the costs that you will have to incur through the duration of this lawsuit before filling it and It is always better to look before you leap .',آپ کو بہتر ہوگا کہ آپ اس دعوی کے دوران جو خرچے آپ کو اٹھانے پڑیں گے ان کی جانچ پڑتال کریں پھر اسے درج کرانے سے پہلے اور یہ ہمیشہ بہتر ہوتا ہے کہ اندھے کی لاتھی اندھے کو اپنانا۔,آپ کو بہتر ہے کہ اس مقدمے کو دائر کرنے سے پہلے ان اخراجات کو دیکھ لیں جو آپ کو اس کی مدت کے دوران برداشت کرنے ہوں گے اور ہمیشہ بہتر ہوتا ہے کہ چھلانگ لگانے سے پہلے دیکھ لیں۔,1.0,3.0,1.0,3.0
آگے کنواں پیچھے کھائی,"Finding himself between the devil and the deep blue sea, Jack had to choose between losing his job or betraying his best friend.","Translate this sentence to Urdu: 'Finding himself between the devil and the deep blue sea, Jack had to choose between losing his job or betraying his best friend.'",جیک نے اپنی نوکری کھو دینے یا اپنے بہترین دوست کو دھوکا دینے کے درمیان خود کو پایا، اس لئے انہیں ایک منتخب کرنا پڑا۔,شیطان اور گہرے سمندر کے درمیان پھنس کر، جیک کو اپنی نوکری کھونے یا اپنے بہترین دوست سے غداری کرنے کے درمیان انتخاب کرنا پڑا۔,1.0,3.0,3.0,3.0
بات کا بتنگڑ بنانا,"You are just making a mountain out of a molehill , you just gave a wrong answer , it does n't mean you 're not going to qualify to the second round .","Translate this sentence to Urdu: 'You are just making a mountain out of a molehill , you just gave a wrong answer , it does n't mean you 're not going to qualify to the second round .'",آپ بس چھوٹی بات کو بڑا بنا رہے ہیں ، آپ نے صرف غلط جواب دیا ہے ، یہ یہ نہیں مطلب کہ آپ دوسرے راؤنڈ میں قبول نہیں ہوں گے۔,تم بات کا بتنگڑ بنا رہے ہو، تم نے صرف ایک غلط جواب دیا ہے، اس کا مطلب یہ نہیں ہے کہ تم دوسرے مرحلے کے لئے کوالیفائی نہیں کرو گے۔,3.0,3.0,3.0,3.0
بہتے دریا میں ہاتھ دھونا,"The study plans were such that it required you to read when your mind was fresh , strike while the iron is hot .","Translate this sentence to Urdu: 'The study plans were such that it required you to read when your mind was fresh , strike while the iron is hot .'","""اس مطالعہ کے منصوبے ایسے تھے کہ اس کی طرف مایل دماغ کے حال میں پڑھنے کی ضرورت تھی، جب دھات گرم ہو.""",مطالعے کے منصوبے ایسے تھے کہ جب آپ کا ذہن تازہ ہو تو پڑھنا ضروری تھا، لوہا گرم ہے تو چوٹ لگا دو۔,2.0,3.0,1.0,2.0
جلدی کا کام شیطان کا,"Try not to rush through things , even though you are in a hurry because haste makes waste .","Translate this sentence to Urdu: 'Try not to rush through things , even though you are in a hurry because haste makes waste .'",کوشش کریں کہ چیزوں پر جلدی نہ کریں، چاہے آپ جلدی میں ہوں کیونکہ عجلت مالی ہوتی ہے۔,چیزوں کو جلدی جلدی کرنے کی کوشش نہ کریں، چاہے آپ جلدی میں ہوں کیونکہ جلد بازی کام بگاڑ دیتی ہے۔,3.0,3.0,1.0,3.0
کام پیارا ہے جام پیارا نہیں,"Despite his charming looks, he proved that handsome is as handsome does by volunteering tirelessly at the local shelter.","Translate this sentence to Urdu: 'Despite his charming looks, he proved that handsome is as handsome does by volunteering tirelessly at the local shelter.'",اس کے دلکش حلیات کے باوجود، اس نے محلی شیلٹر میں بے حد خوش آمدیدی کے ساتھ خودکشی کی بات کی۔,'اپنی دلکش شکل کے باوجود، اس نے یہ ثابت کیا کہ حسن اعمال سے ہوتا ہے نہ کہ صورت سے، جب اس نے مقامی پناہ گاہ میں بے لوث خدمت کی۔',1.0,3.0,1.0,3.0
قدر کھو دیتا ہے روز کا آنا جانا,"After working together for years, the constant arguments between the two colleagues proved that familiarity breeds contempt.","Translate this sentence to Urdu: 'After working together for years, the constant arguments between the two colleagues proved that familiarity breeds contempt.'",سالوں تک مل کر کام کرنے کے بعد، دو ساتھیوں کے درمیان بری تعلقات کی باتیں یہ ثابت کرتی ہیں کہ جان پہچان میں نفرت پیدا ہوتی ہے۔,سالوں تک ساتھ کام کرنے کے بعد، دونوں ساتھیوں کے درمیان مسلسل جھگڑے ثابت کرتے ہیں کہ قربت نفرت پیدا کرتی ہے۔,3.0,3.0,2.0,3.0
عشق نہ پوچھے ذات,"Despite all his flaws and the warnings from her friends, she couldn't see them because love is blind.","Translate this sentence to Urdu: 'Despite all his flaws and the warnings from her friends, she couldn't see them because love is blind.'",معاملے کے تمام خامیوں اور اس کے دوستوں کی ہدایتوں کے باوجود، وہ انہیں نہیں دیکھ سکی کیونکہ محبت اندھی ہوتی ہے۔,'اس کی تمام خامیوں اور دوستوں کی وارننگ کے باوجود، وہ انہیں نہیں دیکھ سکتی تھی کیونکہ محبت اندھی ہوتی ہے۔',3.0,3.0,3.0,3.0
دودھ کا جلا چھاچھ بھی پھونک پھونک کر پیتا ہے,"After his first accident , Sam is quite careful in driving now because a burnt child dreads a fire .","Translate this sentence to Urdu: 'After his first accident , Sam is quite careful in driving now because a burnt child dreads a fire .'",اپنی پہلی حادثہ کے بعد، اب سم موٹر گاڑی چلانے میں بہت ہوشیار ہے کیونکہ جلے بچے کو آگ سے خوف ہوتا ہے۔,'اپنے پہلے حادثے کے بعد، سام اب گاڑی چلاتے وقت بہت محتاط رہتا ہے کیونکہ دودھ کا جلا چھاچھ بھی پھونک پھونک کر پیتا ہے۔',3.0,3.0,3.0,3.0
ہرچمکتی ہوئی چیز سونا نہیں ہوتی,"Even though the new job offer seemed perfect, I reminded myself that all that glitters is not gold.","Translate this sentence to Urdu: 'Even though the new job offer seemed perfect, I reminded myself that all that glitters is not gold.'","""جبکہ نیا نوکری کا پیشکش بہترین نظر آیا، میں نے خود کو یاد دلایا کہ چمکتا سونا ہمیشہ نہیں ہوتا۔""",اگرچہ نئی نوکری کی پیشکش بہترین لگ رہی تھی، میں نے خود کو یاد دلایا کہ ہر چمکتی چیز سونا نہیں ہوتی۔,3.0,3.0,1.0,3.0
سیوہ بن میوہ نہیں,"If you want to build muscle, remember that no pain, no gain.","Translate this sentence to Urdu: 'If you want to build muscle, remember that no pain, no gain.'",اگر آپ عضلہ بنانا چاہتے ہیں تو یاد رکھیں کہ بغیر درد کوئی فائدہ نہیں۔,اگر آپ پٹھے بنانا چاہتے ہیں تو یاد رکھیں کہ تکلیف کے بغیر کچھ حاصل نہیں ہوتا۔,3.0,3.0,3.0,3.0
ضرورت ایجاد کی ماں ہے,"When the power went out, Jake rigged up a makeshift generator from spare parts, proving that necessity is the mother of invention.","Translate this sentence to Urdu: 'When the power went out, Jake rigged up a makeshift generator from spare parts, proving that necessity is the mother of invention.'",جب بجلی چلی گئی، تو جیک نے ذرائع کے باقی حصوں سے ایک جگہ جگہ ایک جگہ جگہ کی جھلکی جنریٹر بنائی، اس سے ثابت ہوا کہ ضرورت ایجاد کی ماں ہے۔,جب بجلی چلی گئی، جیک نے اضافی پرزوں سے ایک عارضی جنریٹر بنا لیا، ثابت کر دیا کہ ضرورت ایجاد کی ماں ہے۔,3.0,3.0,3.0,3.0
ناچ نہ جانے آنگن ٹیڑھا,"When the project didn't turn out well, Mark complained about his equipment, but we all knew that a bad workman always blames his tools.","Translate this sentence to Urdu: 'When the project didn't turn out well, Mark complained about his equipment, but we all knew that a bad workman always blames his tools.'",جب پروجیکٹ اچھی طرح سے نہیں بنا، مارک نے اپنے اسباقوں پر شکایت کی، لیکن ہم سب جانتے تھے کہ بورا کاریگر ہمیشہ اپنے آلات پر الزام لگاتا ہے۔,جب پراجیکٹ ٹھیک نہیں ہوا، مارک نے اپنے اوزاروں کی شکایت کی، لیکن ہم سب جانتے تھے کہ ناچ نہ جانے آنگن ٹیڑھا۔,3.0,2.0,3.0,3.0
نو نقد نہ تیرہ ادھار,"Deciding to sell his old car now rather than wait for a better offer because a bird in the hand is worth two in the bush, John felt relieved not to gamble on the uncertain future.","Translate this sentence to Urdu: 'Deciding to sell his old car now rather than wait for a better offer because a bird in the hand is worth two in the bush, John felt relieved not to gamble on the uncertain future.'",جان نے اپنی پرانی گاڑی کو اب فروخت کرنے کا فیصلہ کیا بہتر پیشکش کا انتظار نہیں کرنا چاہتا تھا کیونکہ ہاتھ میں پرندہ ایک برابر دو پرندے کے برابر ہے، جان کو اس معمول پر شکریہ محسوس ہوا کہ انہوں نے غیر یقینی مستقبل پر شرط لگانے سے بچا۔,"جان نے اپنی پرانی گاڑی ابھی بیچنے کا فیصلہ کیا بجائے کہ وہ بہتر پیشکش کا انتظار کرے کیونکہ ""نو نقد نہ تیرہ ادھار""، اس لئے اسے غیر یقینی مستقبل پر جوا نہ کھیلنے پر سکون ملا۔",3.0,3.0,1.0,3.0
وقت اورموت کسی کا انتظار نہیں کرتی,"Despite his best efforts to delay the project, he soon realized that time and tide wait for no man.","Translate this sentence to Urdu: 'Despite his best efforts to delay the project, he soon realized that time and tide wait for no man.'",اس کے بہترین کوششوں کے باوجود، اس نے جلد ہی سمجھا کہ وقت اور دھارا کسی کا انتظار نہیں کرتیں۔,اچھی سے اچھی کوششوں کے باوجود اس نے جلد ہی یہ بات سمجھ لی کہ وقت اور لہر کسی کا انتظار نہیں کرتے۔,3.0,3.0,3.0,3.0
انگور کھٹے ہیں,"After losing the promotion, Jenna dismissed it as a position she never wanted anyway, but her coworkers could tell it was just sour grapes.","Translate this sentence to Urdu: 'After losing the promotion, Jenna dismissed it as a position she never wanted anyway, but her coworkers could tell it was just sour grapes.'",چھٹی کے بعد، جینا نے اسے ایک عہد سمجھا جسے وہ کبھی چاہتی ہی نہیں تھی، مگر اس کے ساتھ کام کرنے والے سمجھ گئے تھے کہ یہ صرف کھٹی انگور تھے۔,ترقی کھونے کے بعد، جینا نے اسے ایسی پوزیشن کے طور پر نظرانداز کر دیا جو وہ کبھی بھی نہیں چاہتی تھی، لیکن اس کے ساتھی سمجھ گئے کہ یہ صرف کھٹے انگور ہیں۔,3.0,3.0,2.0,3.0
وقت کا ایک ٹانکا بے وقت کے سو ٹانکوں سے بچاتا ہے,"By fixing the small leak in the roof now, you'll avoid a much bigger and costlier repair later—after all, a stitch in time saves nine.","Translate this sentence to Urdu: 'By fixing the small leak in the roof now, you'll avoid a much bigger and costlier repair later—after all, a stitch in time saves nine.'",اب چھت میں چھوٹی سی چھید کو ٹھیک کر کے، آپ بڑی اور مہنگی مرمت سے بچ جائیں گے۔ اختتاماً، وقت پر ایک سلازر کی مدد سے نو سلازر بچ جاتے ہیں۔,اب چھت میں چھوٹے سوراخ کو ٹھیک کر کے، آپ بعد میں زیادہ بڑے اور مہنگے مرمت سے بچ جائیں گے—آخر کار، وقت پر کیا گیا ایک ٹانکا نو ٹانکوں کے برابر ہوتا ہے۔,3.0,3.0,1.0,3.0
نیم حکیم خطرہ جان، نیم ملا خطرہ ایمان,"When he tried to fix the car with just a few online tutorials, it quickly became clear that a little learning is a dangerous thing.","Translate this sentence to Urdu: 'When he tried to fix the car with just a few online tutorials, it quickly became clear that a little learning is a dangerous thing.'",جب وہ گاڑی کو صرف چند آن لائن ہدایتوں سے ٹھیک کرنے کی کوشش کیا، تو جلد ہی واضح ہوا کہ تھوڑی سی تعلیم خطرناک ہوتی ہے۔,جب اس نے چند آن لائن ٹیوٹوریلز کے ذریعے گاڑی ٹھیک کرنے کی کوشش کی، تو فوراً واضح ہوگیا کہ تھوڑی سی معلومات خطرناک ہوتی ہیں۔,3.0,3.0,3.0,3.0
بہتی گنگا میں ہاتھ دھونا,"You should apply for that job opening now; it's a great opportunity, so make hay while the sun shines.","Translate this sentence to Urdu: 'You should apply for that job opening now; it's a great opportunity, so make hay while the sun shines.'",آپ کو اب وہ نوکری کے لئے درخواست دینی چاہیے؛ یہ ایک عظیم موقع ہے، تو دن کی روشنی میں سورج چمکتے ہوئے فائدہ اٹھائیں۔,تمہیں ابھی اس نوکری کے لیے درخواست دینی چاہیے؛ یہ ایک بہترین موقع ہے، اس لیے وقت ضائع نہ کرو۔,2.0,2.0,1.0,1.0
بندر کیا جانے ادرک کا سواد,Sharing your sophisticated theories with them is like casting pearls before swine.,Translate this sentence to Urdu: 'Sharing your sophisticated theories with them is like casting pearls before swine.',ان کے ساتھ اپنی توانائیوں سے متاثر نظریات شیئر کرنا گوندوں کے سامنے موتی پھینکنے جیسا ہے۔,ان کے ساتھ اپنی پیچیدہ نظریات کا تبادلہ کرنا سؤروں کے سامنے موتی ڈالنے کے مترادف ہے۔,3.0,3.0,3.0,3.0
آگے کنواں پیچھے کھائی,"Faced with choosing between a pay cut or losing her job entirely, Maria felt like she was between the devil and the deep blue sea.","Translate this sentence to Urdu: 'Faced with choosing between a pay cut or losing her job entirely, Maria felt like she was between the devil and the deep blue sea.'",ماریا نے تنخواہ میں کٹوتی یا پوری طرح نوکری کھو دینے کے درمیان چناؤ کرنے کا سامنا کرتے ہوئے محسوس کیا کہ وہ بھائی بھلا یا بڑی مشکل میں پڑی ہوئی ہے۔,"تنخواہ میں کمی یا مکمل طور پر نوکری کھونے کے درمیان انتخاب کرتے ہوئے، ماریا نے محسوس کیا کہ وہ ""دریا میں اور مگرمچھ کے منہ میں"" ہیں۔",2.0,3.0,2.0,3.0
کھسیانی بلی کھمبا نوچے,"When she did n't get her way , she drove off in a fit of anger .","Translate this sentence to Urdu: 'When she did n't get her way , she drove off in a fit of anger .'",جب وہ اپنی مرضی نہیں ملی تو اُس نے غصے میں گاڑی چلانے لگی۔,جب اسے اپنی مرضی نہ ملی، تو وہ غصے میں چلی گئی۔,3.0,3.0,1.0,2.0
بہتی گنگا میں ہاتھ دھونا,"We decided to launch the new product during the holiday season, knowing we had to make hay while the sun shines.","Translate this sentence to Urdu: 'We decided to launch the new product during the holiday season, knowing we had to make hay while the sun shines.'",ہم نے فیصلہ کیا کہ نئے پروڈکٹ کا آغاز چھٹیوں کے موسم میں کریں، جانتے ہوئے کہ ہمیں سورج چمکتے ہوئے چرس اٹھانا ہے۔,ہم نے فیصلہ کیا کہ ہم چھٹیوں کے موسم میں نئے پروڈکٹ کو لانچ کریں گے، یہ جانتے ہوئے کہ ہمیں سونے کو کھوٹا ہونے سے پہلے کام کرنا چاہیے۔,2.0,2.0,1.0,1.0
دور کے ڈھول سُہانے,"She left her stable job for what seemed like a dream position, only to find out that the grass isn't always greener on the other side.","Translate this sentence to Urdu: 'She left her stable job for what seemed like a dream position, only to find out that the grass isn't always greener on the other side.'",وہ اپنی مضبوط نوکری چھوڑ کر ایسی نوکری پر چلی گئی جو خوابوں جیسی لگتی تھی، مگر بعد میں پتا چلا کہ ہر وقت گھاس دوسری طرف ہری نہیں ہوتی۔,اُس نے اپنے مستحکم نوکری کو چھوڑ دیا ایک خواب جیسی ملازمت کے لئے، لیکن بعد میں پتہ چلا کہ ہمیشہ دوسرے طرف گھاس زیادہ سبز نہیں ہوتی۔,3.0,3.0,2.0,3.0
