Urdu_Idiom,English_Meaning,Best_Match,Similarity,ai_sentence,Idiomatic_Sent,Translation_Instruction,Urdu_Sentence_3.5,Urdu_Sentence_4o,3.5_Evaluation_4,4o_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4o
آنکھ اوجھل پہاڑاوجھل,"Out of sight, out of mind","out of sight, out of mind",1.0,no,"It is out of sight , out of mind for them but that is not a good thing in any way .","'آنکھ اوجھل پہاڑاوجھل' means 'out of sight, out of mind'. Given the above knowledge translate the following sentence to Urdu: 'It is out of sight , out of mind for them but that is not a good thing in any way .'",یہ ان کے لیے آنکھ اوجھل پہاڑاوجھل ہے لیکن یہ کسی بھی طریقے میں اچھی بات نہیں ہے۔,یہ ان کے لئے آنکھ اوجھل پہاڑ اوجھل ہے لیکن یہ کسی بھی طرح سے اچھی بات نہیں ہے۔,2.0,3.0,3.0,3.0
آدھا تیتر آدھا بٹیر,Neither fish nor fowl,neither fish nor fowl,1.0,yes,"The new hybrid gadget is neither fish nor fowl, leaving consumers confused about its true purpose.","'آدھا تیتر آدھا بٹیر' means 'neither fish nor fowl'. Given the above knowledge translate the following sentence to Urdu: 'The new hybrid gadget is neither fish nor fowl, leaving consumers confused about its true purpose.'",نیا ہائبرڈ گیجٹ نہ تو مچھلی ہے اور نہ ہی مرغی، جس سے صارفین کو اس کے اصل مقصد کے بارے میں الجھن ہے۔,نیا ہائبرڈ گیجٹ آدھا تیتر آدھا بٹیر ہے، جس کی وجہ سے صارفین اس کے حقیقی مقصد کے بارے میں الجھن کا شکار ہیں۔,3.0,2.0,3.0,3.0
ادلے کا بدلہ,Tit for tat,tit for tat,1.0000001192092896,yes,"After John spread rumors about her, Mary decided to give him a taste of his own medicine, engaging in a tit for tat strategy.","'ادلے کا بدلہ' means 'tit for tat'. Given the above knowledge translate the following sentence to Urdu: 'After John spread rumors about her, Mary decided to give him a taste of his own medicine, engaging in a tit for tat strategy.'",جان نے اس کے بارے میں افواہیں پھیلائیں تو مریم نے اسے ادلے کا بدلہ دینے کا فیصلہ کیا، اور اس نے اس کو اپنی ہی دوائی پلانے میں شامل کر لیا۔,جان کے اس کے بارے میں افواہیں پھیلانے کے بعد، مریم نے اسے ادلے کا بدلہ دینے کا فیصلہ کیا۔,3.0,2.0,3.0,3.0
سہج پکے سو میٹھا ہو,Slow and steady wins the race,slow and steady wins the race,0.9999998807907104,yes,"Despite the pressure to hurry, he reminded himself that slow and steady wins the race.","'سہج پکے سو میٹھا ہو' means 'slow and steady wins the race'. Given the above knowledge translate the following sentence to Urdu: 'Despite the pressure to hurry, he reminded himself that slow and steady wins the race.'",جلدی کرنے کی دباؤ کے باوجود، اس نے خود کو یاد دلایا کہ سہج پکے سو میٹھا ہو۔,دباؤ کے باوجود، اس نے خود کو یاد دلایا کہ سہج پکے سو میٹھا ہو۔,2.0,2.0,3.0,3.0
بہتی گنگا میں ہاتھ دھونا,To use available opportunity,make hay while the sun shines,0.7655985951423645,yes,"With the unexpected boom in sales, the company decided to make hay while the sun shines and launched several new products.","'بہتی گنگا میں ہاتھ دھونا' means 'make hay while the sun shines'. Given the above knowledge translate the following sentence to Urdu: 'With the unexpected boom in sales, the company decided to make hay while the sun shines and launched several new products.'",غیر متوقع فروخت میں اضافے سے، کمپنی نے سورج نکلتے وقت بہتی گنگا میں ہاتھ دھونے کا فیصلہ کیا اور کئی نئے مصنوعات لانچ کیے۔,سیلز میں غیر متوقع تیزی کے ساتھ، کمپنی نے بہتی گنگا میں ہاتھ دھونے کا فیصلہ کیا اور کئی نئے مصنوعات لانچ کیں۔,2.0,2.0,1.0,3.0
اب پچھتاۓ کیا ہؤت جب چڑیا چگ گئ کھیت,It is no use crying over spilled milk,don't cry over spilt milk,0.7578192949295044,yes,There's no use in getting upset about the missed opportunity; you shouldn't cry over spilt milk.,'اب پچھتاۓ کیا ہؤت جب چڑیا چگ گئ کھیت' means 'don't cry over spilt milk'. Given the above knowledge translate the following sentence to Urdu: 'There's no use in getting upset about the missed opportunity; you shouldn't cry over spilt milk.','موقع گئے بھولا کرنے سے کوئی فائدہ نہیں، آپ کو چڑیا چگ گئی دودھ پر رونا چاہئے۔',چھوٹی ہوئی موقع پر افسوس کرنے کا کوئی فائدہ نہیں؛ اب پچھتاۓ کیا ہؤت جب چڑیا چگ گئ کھیت۔,2.0,3.0,1.0,3.0
دونوں ہاتھوں سے دولت لٹانا,To burn the candle at both ends,burn the candle at both ends,0.970807671546936,yes,"Working two jobs and studying at night, she's really burning the candle at both ends.","'دونوں ہاتھوں سے دولت لٹانا' means 'burn the candle at both ends'. Given the above knowledge translate the following sentence to Urdu: 'Working two jobs and studying at night, she's really burning the candle at both ends.'",دو نوکریوں پر کام کرتے ہوئے رات کو پڑھائی کرنا، وہ واقعی دونوں ہاتھوں سے دولت لٹا رہی ہے۔,دو نوکریاں کرتے ہوئے اور رات کو پڑھائی کرتے ہوئے، وہ واقعی دونوں ہاتھوں سے دولت لٹا رہی ہے۔,1.0,1.0,1.0,1.0
ہتھیلی پر سرسوں نہیں جمتی,Rome was not built on a day,rome was not built in one day,0.9655030369758606,yes,"Learning a new language can be challenging, but remember, Rome was not built in one day.","'ہتھیلی پر سرسوں نہیں جمتی' means 'rome was not built in one day'. Given the above knowledge translate the following sentence to Urdu: 'Learning a new language can be challenging, but remember, Rome was not built in one day.'",ایک نئی زبان سیکھنا مشکل ہو سکتا ہے، مگر یاد رکھیں، ہتھیلی پر سرسوں نہیں جمتی۔,نئی زبان سیکھنا مشکل ہو سکتا ہے، لیکن یاد رکھیں، ہتھیلی پر سرسوں نہیں جمتی۔,2.0,2.0,3.0,3.0
اونٹ کے منہ میں زیرہ,A drop into the ocean,a drop in the bucket (or ocean),0.7430707216262817,yes,"Donating a few dollars to the massive relief fund felt like a drop in the bucket, but every contribution counted.","'اونٹ کے منہ میں زیرہ' means 'a drop in the bucket (or ocean)'. Given the above knowledge translate the following sentence to Urdu: 'Donating a few dollars to the massive relief fund felt like a drop in the bucket, but every contribution counted.'",کچھ ڈالر عوامی امدادی فنڈ میں دینا اونٹ کے منہ میں زیرہ محسوس ہوا، مگر ہر شراکت گنی۔,بڑے امدادی فنڈ میں چند ڈالر دینا اونٹ کے منہ میں زیرہ لگ رہا تھا، لیکن ہر تعاون کی اہمیت تھی۔,2.0,3.0,3.0,3.0
اول خویش بعد درویش,Charity begins at home,charity begins at home,1.0,yes,"Before donating to international causes, remember that charity begins at home and consider helping your local community first.","'اول خویش بعد درویش' means 'charity begins at home'. Given the above knowledge translate the following sentence to Urdu: 'Before donating to international causes, remember that charity begins at home and consider helping your local community first.'",بین الاقوامی مدد کرنے سے پہلے یاد رکھیں کہ اول خویش بعد درویش ہوتی ہے اور پہلے اپنی مقامی کمیونٹی کی مدد کرنے کو غور سے سوچیں۔,بین الاقوامی مقاصد کے لیے عطیہ کرنے سے پہلے یاد رکھیں کہ اول خویش بعد درویش اور پہلے اپنے مقامی کمیونٹی کی مدد پر غور کریں۔,3.0,3.0,3.0,3.0
بغل میں چھری منہ میں رام رام,A wolf in sheep’s clothing,a wolf in sheep's clothing,0.9985247850418092,yes,"Despite his friendly demeanor, Jake turned out to be a wolf in sheep's clothing, betraying everyone's trust for his own gain.","'بغل میں چھری منہ میں رام رام' means 'a wolf in sheep's clothing'. Given the above knowledge translate the following sentence to Urdu: 'Despite his friendly demeanor, Jake turned out to be a wolf in sheep's clothing, betraying everyone's trust for his own gain.'",جیک کا دوستانہ مزاج ہونے کے باوجود یہ ظاہر ہوا کہ وہ بغل میں چھری تھا، اپنے مفاد کے لئے سب کا بھروسہ دہوکہ دیتے ہوئے۔,دوستانہ رویے کے باوجود، جیک بغل میں چھری منہ میں رام رام نکلا، جس نے اپنے فائدے کے لئے سب کے اعتماد کو دھوکہ دیا۔,2.0,2.0,1.0,3.0
بھینس کے آگے بین بجانا,Casting pearls before swine,cast pearls before swine,0.9252103567123412,yes,Sharing advanced literary analysis with someone who never reads is like casting pearls before swine.,'بھینس کے آگے بین بجانا' means 'cast pearls before swine'. Given the above knowledge translate the following sentence to Urdu: 'Sharing advanced literary analysis with someone who never reads is like casting pearls before swine.',جو کبھی کتاب نہیں پڑھتا، اس کے ساتھ ترقی یافتہ ادبی تجزیہ بانٹنا بھینس کے آگے بین بجانا کی طرح ہے۔,کسی ایسے شخص کے ساتھ اعلیٰ ادبی تجزیہ شئیر کرنا جو کبھی نہیں پڑھتا، بھینس کے آگے بین بجانا ہے۔,3.0,2.0,3.0,3.0
پہلے تولوپھر بولو,Think before you leap,look before you leap,0.8946018218994141,no,You better check out the costs that you will have to incur through the duration of this lawsuit before filling it and It is always better to look before you leap .,'پہلے تولوپھر بولو' means 'look before you leap'. Given the above knowledge translate the following sentence to Urdu: 'You better check out the costs that you will have to incur through the duration of this lawsuit before filling it and It is always better to look before you leap .',تمہیں بہتر ہوگا کہ تو اس مقدمہ کے دوران جو خرچے تمہیں برداشت کرنے پڑیں گے ان کا جائزہ لیا کرو پھر مقدمہ درج کرنا، اور ہمیشہ پہلے تولو پھر بولو کرنا بہتر ہوتا ہے۔,آپ کو یہ مقدمہ دائر کرنے سے پہلے ان اخراجات کا جائزہ لینا چاہیے جو آپ کو اس کے دوران برداشت کرنے ہوں گے اور ہمیشہ پہلے تولو پھر بولو بہتر ہے۔,3.0,3.0,3.0,3.0
آگے کنواں پیچھے کھائی,Between the devil and the deep sea,between the devil and the deep blue sea,0.9378265142440796,yes,"Finding himself between the devil and the deep blue sea, Jack had to choose between losing his job or betraying his best friend.","'آگے کنواں پیچھے کھائی' means 'between the devil and the deep blue sea'. Given the above knowledge translate the following sentence to Urdu: 'Finding himself between the devil and the deep blue sea, Jack had to choose between losing his job or betraying his best friend.'",جیک نے خود کو آگے کنواں پیچھے کھائی میں پایا، اسے اپنی نوکری کھو دینے یا اپنے بہترین دوست کو دھوکا دینے کے درمیان انتخاب کرنا پڑا۔,'آگے کنواں پیچھے کھائی میں پھنسا ہوا، جیک کو اپنی نوکری کھونے یا اپنے بہترین دوست سے غداری کرنے کے درمیان انتخاب کرنا پڑا۔',3.0,3.0,3.0,3.0
بات کا بتنگڑ بنانا,To make a mountain of a maul hill,make a mountain out of a molehill,0.7713894248008728,no,"You are just making a mountain out of a molehill , you just gave a wrong answer , it does n't mean you 're not going to qualify to the second round .","'بات کا بتنگڑ بنانا' means 'make a mountain out of a molehill'. Given the above knowledge translate the following sentence to Urdu: 'You are just making a mountain out of a molehill , you just gave a wrong answer , it does n't mean you 're not going to qualify to the second round .'",تم صرف بات کا بتنگڑ بنا رہے ہو، تم نے صرف غلط جواب دیا ہے، یہ تو مطلب نہیں کہ تم دوسرے راؤنڈ میں قابل نہیں ہوگے۔,تم بات کا بتنگڑ بنا رہے ہو، تم نے صرف غلط جواب دیا ہے، اس کا مطلب یہ نہیں کہ تم دوسرے راؤنڈ کے لئے کوالیفائی نہیں کرو گے۔,3.0,3.0,3.0,3.0
بہتے دریا میں ہاتھ دھونا,To strike while the iron is hot,strike while the iron is hot,0.9625189900398254,no,"The study plans were such that it required you to read when your mind was fresh , strike while the iron is hot .","'بہتے دریا میں ہاتھ دھونا' means 'strike while the iron is hot'. Given the above knowledge translate the following sentence to Urdu: 'The study plans were such that it required you to read when your mind was fresh , strike while the iron is hot .'",مطالعہ کے منصوبے ایسے تھے کہ آپ کو پڑھنے کی ضرورت تھی جب آپ کا دماغ تازہ ہوتا، بہتے دریا میں ہاتھ دھونا۔,مطالعے کے منصوبے ایسے تھے کہ جب آپ کا ذہن تازہ ہو تو پڑھنے کی ضرورت تھی، بہتے دریا میں ہاتھ دھونا۔,1.0,1.0,1.0,1.0
جلدی کا کام شیطان کا,Haste makes waste,haste makes waste,1.000000238418579,no,"Try not to rush through things , even though you are in a hurry because haste makes waste .","'جلدی کا کام شیطان کا' means 'haste makes waste'. Given the above knowledge translate the following sentence to Urdu: 'Try not to rush through things , even though you are in a hurry because haste makes waste .'",جلدی سے کام کرنے سے بچیں، چاہے آپ جلدی میں ہی کیوں نہ ہوں، کیونکہ جلدی کا کام شیطان کا ہوتا ہے۔,چیزوں کو جلدی جلدی کرنے کی کوشش نہ کریں، اگرچہ آپ کو جلدی ہو کیونکہ جلدی کا کام شیطان کا۔,2.0,2.0,2.0,1.0
کام پیارا ہے جام پیارا نہیں,Handsome is that handsome does,handsome is as handsome does,0.9719446301460266,yes,"Despite his charming looks, he proved that handsome is as handsome does by volunteering tirelessly at the local shelter.","'کام پیارا ہے جام پیارا نہیں' means 'handsome is as handsome does'. Given the above knowledge translate the following sentence to Urdu: 'Despite his charming looks, he proved that handsome is as handsome does by volunteering tirelessly at the local shelter.'","اس کے دلکش انداز پر بھی، اس نے اپنی خوبصورتی کو ثابت کر دیا کہ ""کام پیارا ہے جام پیارا نہیں""، جب وہ مقامی شیلٹر میں بے حد خوشی سے خدمت انجام دیتا رہا۔",خوبصورت نظر آنے کے باوجود، اس نے مقامی پناہ گاہ میں مسلسل رضاکارانہ خدمت کر کے ثابت کیا کہ کام پیارا ہے جام پیارا نہیں۔,2.0,2.0,2.0,1.0
قدر کھو دیتا ہے روز کا آنا جانا,Too much familiarity breeds contempt,familiarity breeds contempt,0.9154865145683287,yes,"After working together for years, the constant arguments between the two colleagues proved that familiarity breeds contempt.","'قدر کھو دیتا ہے روز کا آنا جانا' means 'familiarity breeds contempt'. Given the above knowledge translate the following sentence to Urdu: 'After working together for years, the constant arguments between the two colleagues proved that familiarity breeds contempt.'",سالوں تک اکٹھے کام کرنے کے بعد، دونوں ساتھیوں کے درمیان لگاتار جھگڑے اس بات کا ثبوت دیتے ہیں کہ قدر کھو دیتا ہے روز کا آنا جانا۔,سالوں تک ساتھ کام کرنے کے بعد، دونوں ساتھیوں کے درمیان مسلسل جھگڑے اس بات کا ثبوت تھے کہ قدر کھو دیتا ہے روز کا آنا جانا۔,2.0,3.0,3.0,2.0
عشق نہ پوچھے ذات,Love is blind,love is blind,1.0,yes,"Despite all his flaws and the warnings from her friends, she couldn't see them because love is blind.","'عشق نہ پوچھے ذات' means 'love is blind'. Given the above knowledge translate the following sentence to Urdu: 'Despite all his flaws and the warnings from her friends, she couldn't see them because love is blind.'",انہوں نے اپنے تمام عیبوں اور اس کے دوستوں کی ہدایتوں کے باوجود انہیں نہیں دیکھ سکتی تھی کیونکہ عشق نہ پوچھے ذات ہوتا ہے۔,تمام خامیوں اور دوستوں کی وارننگز کے باوجود، وہ انہیں نہیں دیکھ پائی کیونکہ عشق نہ پوچھے ذات۔,2.0,1.0,1.0,1.0
دودھ کا جلا چھاچھ بھی پھونک پھونک کر پیتا ہے,A burnt child dreads the fire,a burnt child dreads the fire,1.0000001192092896,no,"After his first accident , Sam is quite careful in driving now because a burnt child dreads a fire .","'دودھ کا جلا چھاچھ بھی پھونک پھونک کر پیتا ہے' means 'a burnt child dreads the fire'. Given the above knowledge translate the following sentence to Urdu: 'After his first accident , Sam is quite careful in driving now because a burnt child dreads a fire .'",پہلے حادثے کے بعد، اب سام ڈرائیونگ میں بہت ہوشیار ہوگیا ہے کیونکہ دودھ کا جلا چھاچھ بھی پھونک پھونک کر پیتا ہے۔,پہلے حادثے کے بعد، سیم اب گاڑی چلانے میں بہت محتاط ہے کیونکہ دودھ کا جلا چھاچھ بھی پھونک پھونک کر پیتا ہے۔,3.0,3.0,3.0,3.0
ہرچمکتی ہوئی چیز سونا نہیں ہوتی,All that glitters is not gold,all that glitters is not gold,0.9999997615814208,yes,"Even though the new job offer seemed perfect, I reminded myself that all that glitters is not gold.","'ہرچمکتی ہوئی چیز سونا نہیں ہوتی' means 'all that glitters is not gold'. Given the above knowledge translate the following sentence to Urdu: 'Even though the new job offer seemed perfect, I reminded myself that all that glitters is not gold.'","""جب نیا نوکری کا پیشہ مکمل لگتا ہے، میں نے خود کو یاد دلا دیا کہ ہر چمکتی ہوئی چیز سونا نہیں ہوتی۔""",اگرچہ نئی ملازمت کی پیشکش بہترین لگ رہی تھی، میں نے خود کو یاد دلایا کہ ہرچمکتی ہوئی چیز سونا نہیں ہوتی۔,3.0,3.0,3.0,3.0
سیوہ بن میوہ نہیں,No pains no gains,"no pain, no gain",0.8317018747329712,yes,"If you want to build muscle, remember that no pain, no gain.","'سیوہ بن میوہ نہیں' means 'no pain, no gain'. Given the above knowledge translate the following sentence to Urdu: 'If you want to build muscle, remember that no pain, no gain.'",اگر آپ مسلسل مضبوطی بنانا چاہتے ہیں، تو یاد رکھیں کہ سیوہ بن میوہ نہیں۔,اگر آپ پٹھے بنانا چاہتے ہیں تو یاد رکھیں کہ سیوہ بن میوہ نہیں۔,1.0,1.0,3.0,3.0
ضرورت ایجاد کی ماں ہے,Necessity is the mother of invention,necessity is the mother of invention,1.000000238418579,yes,"When the power went out, Jake rigged up a makeshift generator from spare parts, proving that necessity is the mother of invention.","'ضرورت ایجاد کی ماں ہے' means 'necessity is the mother of invention'. Given the above knowledge translate the following sentence to Urdu: 'When the power went out, Jake rigged up a makeshift generator from spare parts, proving that necessity is the mother of invention.'",جب بجلی گئی تو جیک نے اضافی حصوں سے ایک بناوٹی جنریٹر بنایا، جس نے ثابت کیا کہ ضرورت ایجاد کی ماں ہے۔,جب بجلی چلی گئی تو جیک نے فالتو پرزوں سے ایک عارضی جنریٹر بنا لیا، ثابت ہوا کہ ضرورت ایجاد کی ماں ہے۔,3.0,3.0,3.0,3.0
ناچ نہ جانے آنگن ٹیڑھا,A bad workman always quarrels with his tools,a bad workman always blames his tools,0.8640862703323364,yes,"When the project didn't turn out well, Mark complained about his equipment, but we all knew that a bad workman always blames his tools.","'ناچ نہ جانے آنگن ٹیڑھا' means 'a bad workman always blames his tools'. Given the above knowledge translate the following sentence to Urdu: 'When the project didn't turn out well, Mark complained about his equipment, but we all knew that a bad workman always blames his tools.'",جب منصوبہ بری طرح نکلا تو مارک نے اپنے آلات پر شکایت کی، لیکن ہم سب جانتے تھے کہ ناچ نہ جانے آنگن ٹیڑھا۔,جب منصوبہ ٹھیک نہیں ہوا، مارک نے اپنے سامان کی شکایت کی، لیکن ہم سب جانتے تھے کہ ناچ نہ جانے آنگن ٹیڑھا۔,2.0,2.0,3.0,3.0
نو نقد نہ تیرہ ادھار,A bird in hand is worth two in the bush,a bird in the hand is worth two in the bush,0.9958815574645996,yes,"Deciding to sell his old car now rather than wait for a better offer because a bird in the hand is worth two in the bush, John felt relieved not to gamble on the uncertain future.","'نو نقد نہ تیرہ ادھار' means 'a bird in the hand is worth two in the bush'. Given the above knowledge translate the following sentence to Urdu: 'Deciding to sell his old car now rather than wait for a better offer because a bird in the hand is worth two in the bush, John felt relieved not to gamble on the uncertain future.'",جان نے اپنی پرانی گاڑی کو اب بیچنے کا فیصلہ کیا بہتر پیشکش کا انتظار نہیں کیا کیونکہ نو نقد نہ تیرہ ادھار ہوتا ہے، جان کو یقین ہوا کے وہ آنے والے غیر یقینی مستقبل پر جوا نہیں کھیل رہا۔,جان نے اپنے پرانے گاڑی کو ابھی بیچنے کا فیصلہ کیا بجائے اس کے کہ بہتر پیشکش کا انتظار کرے کیونکہ 'نو نقد نہ تیرہ ادھار'، اس نے غیر یقینی مستقبل پر داؤ نہ لگانے کی وجہ سے سکون محسوس کیا۔,3.0,3.0,3.0,3.0
وقت اورموت کسی کا انتظار نہیں کرتی,Time and tide wait for none,time and tide wait for no man,0.8891301155090332,yes,"Despite his best efforts to delay the project, he soon realized that time and tide wait for no man.","'وقت اورموت کسی کا انتظار نہیں کرتی' means 'time and tide wait for no man'. Given the above knowledge translate the following sentence to Urdu: 'Despite his best efforts to delay the project, he soon realized that time and tide wait for no man.'",اس کے بہترین کوششوں کے باوجود، اس نے جلد ہی محسوس کیا کہ وقت اور موت کسی کا انتظار نہیں کرتی۔,اپنی پوری کوششوں کے باوجود، اس نے جلد ہی یہ احساس کیا کہ وقت اور موت کسی کا انتظار نہیں کرتی۔,1.0,2.0,2.0,2.0
