Idiomatic_Sent,Original_Idiom,Original_Meaning,Translation_Instruction,Mandarin_Sentence_3.5,Mandarin_Sentence_4o,3.5_Evaluation_4,4o_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4o
"Not only did the club stop the team from playing , they also took away their equipment - that 's adding insult to injury .",add insult to injury,to make a bad situation worse by saying or doing something that is hurtful or offensive,"Translate this sentence to Chinese: 'Not only did the club stop the team from playing , they also took away their equipment - that 's adding insult to injury .'",俱乐部不仅停止了球队比赛，还没收了他们的装备 - 这是火上加油。,俱乐部不仅禁止了球队比赛，还拿走了他们的装备——这简直是雪上加霜。,2,3.0,3,3
"I prefer giving quality time to my children , these are their most precious year anyway .",quality time,to spend meaningful and valuable time with someone,"Translate this sentence to Chinese: 'I prefer giving quality time to my children , these are their most precious year anyway .'",我更喜欢给孩子们提供高质量的时间，这无论如何都是他们最珍贵的岁月。,我更喜欢把优质的时间留给我的孩子，毕竟这些是他们最宝贵的年华。,3,3.0,2,3
I could not account for the additional expenses at the wedding even though I added every guest 's stay as well as sight-seeing .,account for,to provide an explanation or answer for something,Translate this sentence to Chinese: 'I could not account for the additional expenses at the wedding even though I added every guest 's stay as well as sight-seeing .',我无法解释婚礼上的额外开销，即使我已经计算了每个客人的住宿和观光费用。,即使我把每位客人的住宿和观光费用都加上了，我还是无法解释婚礼的额外开支。,3,3.0,3,3
"I 'm new to this city , so I 'm still finding my feet .",find feet,to become comfortable or familiar in a new situation or environment,"Translate this sentence to Chinese: 'I 'm new to this city , so I 'm still finding my feet .'",我是对这个城市是新手，所以我还在摸索。,我刚到这个城市，所以我还在适应。,2,3.0,2,2
Media claims the cut in public spending coupled with a pay freeze is a double whammy for low-paid workers .,double whammy,simultaneous occurrence of two negative or difficult situations or events,Translate this sentence to Chinese: 'Media claims the cut in public spending coupled with a pay freeze is a double whammy for low-paid workers .',媒体声称公共支出削减加上薪资冻结对低收入工人来说是双重打击。,媒体称削减公共开支加上工资冻结对低收入工人来说是双重打击。,3,3.0,3,3
You will burn yourself out if you do not cool your heels when you can .,cool heels,to be made to wait or be kept waiting,Translate this sentence to Chinese: 'You will burn yourself out if you do not cool your heels when you can .',如果你不能在可以的时候冷静下来，你会把自己烧垮的。,如果你不趁机歇脚，你会把自己累垮的。,3,3.0,2,3
The birth of my daughter was the turning point of my life .,turning point,"crucial moment, a point in time where a significant change or shift occurs",Translate this sentence to Chinese: 'The birth of my daughter was the turning point of my life .',我的女儿出生是我生命的转折点。,我女儿的出生是我人生的转折点。,3,3.0,3,3
I understand that there 's no time like the present but I have to develop this idea further before I start working on the business plan .,there's no time like the present,do something now rather than later or not at all,Translate this sentence to Chinese: 'I understand that there 's no time like the present but I have to develop this idea further before I start working on the business plan .',我知道现在是最好的时机，但在开始制定商业计划之前，我必须进一步发展这个想法。,我明白机不可失，但我必须在开始制定商业计划之前进一步完善这个想法。,3,3.0,3,3
I zipped my lip for the entire presentation until I was forced to speak by Mrs and Shukla . ',zip oneâ€™s lip,to remain silent or keep a secret,Translate this sentence to Chinese: 'I zipped my lip for the entire presentation until I was forced to speak by Mrs and Shukla . '',我整个演示都闭嘴，直到被Mrs.和Shakula强迫才开始说话。,在整个演讲过程中，我一直保持沉默，直到被Shukla女士强迫发言。,3,3.0,1,2
Uncle Ben has been racing against time ever since he has found out about the terminal illness .,race against time,to work against a rapidly approaching deadline or limited time period; to attempt to complete a task or achieve a goal in a very short amount of time,Translate this sentence to Chinese: 'Uncle Ben has been racing against time ever since he has found out about the terminal illness .',贝恩叔叔自从发现了绝症之后一直在与时间赛跑。,自从本叔叔发现自己得了绝症以来，他一直在与时间赛跑。,3,3.0,3,3
"I heard you had a special date with Tom yesterday ; so did he pop the question , then ?",pop the question,to propose marriage,"Translate this sentence to Chinese: 'I heard you had a special date with Tom yesterday ; so did he pop the question , then ?'",我听说你昨天和汤姆有个特别的约会；那他有求婚吗？,我听说你昨天和汤姆有个特别的约会，那他向你求婚了吗？,3,3.0,2,3
Give yourselves a pat on the back for what you did .,pat on the back,to show approval or recognition for someone's achievements or efforts,Translate this sentence to Chinese: 'Give yourselves a pat on the back for what you did .',给自己一个鼓励，为你们所做的事情而自豪。,为你们所做的一切给自己一个鼓励的掌声。,3,2.0,2,2
He criticizes her food a bit much and He may as well cook for himself from tomorrow .,a bit much,excessive or unreasonable; more than one can handle or tolerate,Translate this sentence to Chinese: 'He criticizes her food a bit much and He may as well cook for himself from tomorrow .',他对她的食物批评过于严厉，明天他可能最好自己做饭。,他对她的饭菜批评得有点多，他不妨从明天开始自己做饭。,3,3.0,1,3
"Maria is so in love , she is as blind as a bat when it comes to Mark 's rude behavior .",blind as a bat,having extremely poor or no vision,"Translate this sentence to Chinese: 'Maria is so in love , she is as blind as a bat when it comes to Mark 's rude behavior .'",玛利亚如此恋爱，当涉及到马克的粗鲁行为时，她就像一只眼盲的蝙蝠一样。,玛丽亚如此沉浸在爱中，对于马克的粗鲁行为她简直是盲目。,3,2.0,1,2
This particular technology is quite out of the box in nature and should be a hit really easily.C196,think outside the box,to think creatively or unconventionally,Translate this sentence to Chinese: 'This particular technology is quite out of the box in nature and should be a hit really easily.C196',这种特殊的技术是非常独特的，应该很容易成功。C196,这种特定的技术非常有创意，应该很容易就会大受欢迎。,2,3.0,2,3
It is important that one does not neglect their children in order to spend quality time at work .,quality time,to spend meaningful and valuable time with someone,Translate this sentence to Chinese: 'It is important that one does not neglect their children in order to spend quality time at work .',重要的是不要忽视自己的孩子，而为了在工作上度过更多的质量时间。,重要的是，一个人不能为了在工作上花优质时间而忽视他们的孩子。,3,3.0,1,1
"Low paying jobs are a dime a dozen and anyone can get one if they try , but the high paying ones are not so easy to get and require proper and relevant skills .",a dime a dozen,something that is very common or easy to obtain,"Translate this sentence to Chinese: 'Low paying jobs are a dime a dozen and anyone can get one if they try , but the high paying ones are not so easy to get and require proper and relevant skills .'",低薪工作比比皆是，只要努力就可以获得一个，但高薪工作则不那么容易得到，需要适当和相关的技能。,低薪工作比比皆是，任何人只要努力都能找到，但高薪工作则不那么容易，需要适当且相关的技能。,3,3.0,3,3
"I 've heard my neighbour couple arguing , `` You are such a couch potato how can you dream about being slim you can only eat and watch television all the time . ''",couch potato,"someone who spends a lot of time sitting or lying down, typically watching television and being inactive","Translate this sentence to Chinese: 'I 've heard my neighbour couple arguing , `` You are such a couch potato how can you dream about being slim you can only eat and watch television all the time . '''",我听到我的邻居夫妇吵架：“你就是个电视迷，怎么可能做梦变瘦呢？你整天只会吃东西和看电视。”,我听到我的邻居夫妇在争吵，“你简直是个沙发土豆，怎么还能梦想变瘦，你只会整天吃东西和看电视。”,2,3.0,2,3
After the prisoner stabbed a guard he was sent to solitary confinement and It is called the black hole .,black hole,"a place or situation where things, especially money or resources, seem to disappear without trace",Translate this sentence to Chinese: 'After the prisoner stabbed a guard he was sent to solitary confinement and It is called the black hole .',在犯人刺伤一名警卫后，他被送进了单独监禁，并被称为黑洞。,囚犯刺伤了一名狱警后被送进了单独监禁，这被称为黑洞。,3,3.0,1,1
"Although the work is round the clock , the payment for the same is quite meager .",round the clock,"continuous or non-stop, without interruption or pause","Translate this sentence to Chinese: 'Although the work is round the clock , the payment for the same is quite meager .'",虽然工作是全天候的，但对此的报酬却很微薄。,虽然这份工作是全天候的，但报酬却非常微薄。,3,3.0,3,3
The social parties in this area are just meant for old ladies to gather around and bad-mouth everyone who did not show up .,bad-mouth,to speak negatively or criticize someone or something,Translate this sentence to Chinese: 'The social parties in this area are just meant for old ladies to gather around and bad-mouth everyone who did not show up .',这个地区的社交聚会只是为了老太太们聚集在一起，议论那些没出席的人。,在这个地区的社交聚会只是为了让老太太们聚在一起说闲话那些没有出现的人。,3,3.0,2,3
He is a loose cannon and would not be a good choice for a leader . ',loose cannon,an unpredictable or reckless person who can cause damage or harm,Translate this sentence to Chinese: 'He is a loose cannon and would not be a good choice for a leader . '',他是一颗脱缰的炮弹，不适合担任领导人。,他是个不可预测的人，不适合当领导。,3,2.0,2,3
The students were up in arms when they heard that their breaktime would be taken away due to poor behaviour .,up in arms,"to be angry, upset, or outraged about something",Translate this sentence to Chinese: 'The students were up in arms when they heard that their breaktime would be taken away due to poor behaviour .',当学生们听说由于行为不端他们的休息时间会被剥夺时，他们义愤填膺。,当学生们听说由于不良行为他们的休息时间将被取消时，他们非常愤怒。,3,3.0,3,2
"He did not want to say no to either of them , so he was just sitting on the fence .",sit on the fence,to remain neutral or undecided in a dispute or conflict,"Translate this sentence to Chinese: 'He did not want to say no to either of them , so he was just sitting on the fence .'",他不想拒绝任何一个，所以他只是墙头草。,他不想对他们中的任何一个说不，所以他只是保持中立。,3,3.0,3,3
"You ca n't sit on the fence any longer , you need to make up your mind .",sit on the fence,to remain neutral or undecided in a dispute or conflict,"Translate this sentence to Chinese: 'You ca n't sit on the fence any longer , you need to make up your mind .'",你不能再躺在这里观望，你需要做出决定。,你不能再犹豫不决了，你需要做出决定。,2,3.0,2,3
"I like to bide my time and get the cake out at the stroke of midnight , every year on my wife 's birthday .",bide time,to wait patiently for the right moment or opportunity to take action,"Translate this sentence to Chinese: 'I like to bide my time and get the cake out at the stroke of midnight , every year on my wife 's birthday .'",我喜欢等待时机，在每年我妻子的生日时半夜零点准时拿出蛋糕。,我喜欢耐心等待，在午夜钟声敲响时把蛋糕拿出来，每年我妻子生日时都是如此。,3,3.0,3,3
She has amazing sixth sense and is almost never wrong about such predictions .,sixth sense,a special ability to sense or perceive something that is not immediately apparent or obvious,Translate this sentence to Chinese: 'She has amazing sixth sense and is almost never wrong about such predictions .',她有惊人的第六感，几乎永远不会在这类预测上出错。,她有惊人的第六感，对这种预测几乎从不出错。,3,3.0,3,3
The teacher did not mean it in a bad way but the student felt insulted at being asked to explain anyway .,in a bad way,experiencing difficulties or problems; in a poor or unhealthy condition,Translate this sentence to Chinese: 'The teacher did not mean it in a bad way but the student felt insulted at being asked to explain anyway .',老师并不是有恶意，但学生还是感到被要求解释感到受伤。,老师并没有恶意，但学生还是因为被要求解释而感到侮辱。,3,3.0,1,3
"When the star actress made an appearance , the security team tried to control the crowd ; but they could n't care less and surged ahead to meet her .",couldn't care less,having no interest or concern; not caring at all,"Translate this sentence to Chinese: 'When the star actress made an appearance , the security team tried to control the crowd ; but they could n't care less and surged ahead to meet her .'",当这位明星女演员出场时，安保团队试图控制人群；但人群无视他们，继续蜂拥而上想见她。,当明星女演员出现时，保安队试图控制人群，但他们毫不在意，涌上前去见她。,3,3.0,3,3
"I know this is difficult work , but we are all in the same boat here , so we 'll have to do this together .",be in the same boat,to be in the same situation or facing the same problems as someone else,"Translate this sentence to Chinese: 'I know this is difficult work , but we are all in the same boat here , so we 'll have to do this together .'",我知道这很困难，但我们都在同一条船上，所以我们必须一起努力。,我知道这是艰难的工作，但我们都在同一条船上，所以我们必须一起完成。,3,3.0,3,3
"I never go to the cinemas , I just watch the movies at home as and when I need .",as and when,at the appropriate or necessary time or occasions,"Translate this sentence to Chinese: 'I never go to the cinemas , I just watch the movies at home as and when I need .'",我从来不去电影院，只是在家里需要的时候才看电影。,我从不去电影院，我只是需要的时候在家看电影。,3,3.0,1,1
The media had a field day when the news of the minister 's illicit affair was leaked .,field day,"an enjoyable or productive time, often taking advantage of a particular situation or circumstance",Translate this sentence to Chinese: 'The media had a field day when the news of the minister 's illicit affair was leaked .',当部长不正当关系的消息被曝光时，媒体大肆宣传。,当部长的非法情事被泄露时，媒体大肆报道。,3,3.0,3,2
It used to get on my nerves when I saw someone sleeping during the working hours .,get on nerves,to annoy or irritate someone,Translate this sentence to Chinese: 'It used to get on my nerves when I saw someone sleeping during the working hours .',我过去总是气恼的当看到有人在工作时间睡觉。,以前看到有人在工作时间睡觉的时候，我会很烦。,3,3.0,1,2
"First , they lost the match , and then , to add insult to injury , one of players was suspended for cheating .",add insult to injury,to make a bad situation worse by saying or doing something that is hurtful or offensive,"Translate this sentence to Chinese: 'First , they lost the match , and then , to add insult to injury , one of players was suspended for cheating .'",首先，他们输了比赛，然后更加气愤的是，其中一名球员因作弊被停赛。,首先，他们输了比赛，然后，更糟糕的是，其中一名球员因作弊被停赛。,3,3.0,3,2
"He stood at his door , foaming at the mouth , showering expletives at the miscreants who had damaged his lawn .",foam at the mouth,"to express extreme anger, rage, or excitement","Translate this sentence to Chinese: 'He stood at his door , foaming at the mouth , showering expletives at the miscreants who had damaged his lawn .'",他站在门口，口吐白沫，对那些破坏他草坪的恶棍们破口大骂。,他站在门口，嘴里骂骂咧咧，怒骂那些破坏他草坪的不法之徒。,3,2.0,3,2
The girl was betwixt and between which of her parents to choose during the divorce trial .,betwixt and between,"being undecided or uncertain, in a state of limbo",Translate this sentence to Chinese: 'The girl was betwixt and between which of her parents to choose during the divorce trial .',这个女孩在离婚审判期间左右为难，不知道选择哪个父母。,女孩在离婚审判期间对于选择哪一方父母感到左右为难。,3,3.0,3,3
"Although a good quality , it sometimes drives me crazy .",drive crazy,to cause someone to become extremely irritated or frustrated,"Translate this sentence to Chinese: 'Although a good quality , it sometimes drives me crazy .'",尽管质量很好，但有时候会让我抓狂。,虽然这是一个好品质，但有时候它让我抓狂。,3,3.0,3,3
A useful rule of thumb in serving food is that two handfuls make a portion .,rule of thumb,"a practical principle or guideline based on experience or common sense, rather than strict rules or scientific measurements",Translate this sentence to Chinese: 'A useful rule of thumb in serving food is that two handfuls make a portion .',在供应食物方面的一个有用的经验法则是，两把手掌大小的食物就是一份。,在提供食物时，一个有用的经验法则是两把就是一份。,3,3.0,3,3
I have had to eat my words about it never snowing in our town .,eat words,to retract or take back something that one has said,Translate this sentence to Chinese: 'I have had to eat my words about it never snowing in our town .',我不得不收回我之前说过我们镇从来不下雪的话。,我不得不收回我说过的关于我们镇从不下雪的话。,3,3.0,3,3
I was about 18 years old when my first piece of writing was published .,piece of writing,"written work or composition, such as an essay or article",Translate this sentence to Chinese: 'I was about 18 years old when my first piece of writing was published .',当我第一篇作品出版时，我大约18岁。,我第一次发表作品时大约18岁。,3,3.0,3,3
Do n't ask how much I make ; all you need to know is that it 's enough to make ends meet .,make ends meet,to have enough money to cover basic expenses; to make a living or get by financially,Translate this sentence to Chinese: 'Do n't ask how much I make ; all you need to know is that it 's enough to make ends meet .',不要问我赚多少钱；你只需要知道的是我挣的足够维持生计。,别问我赚多少；你只需要知道够糊口就行了。,3,3.0,3,3
"If you practise enough , driving will eventually become child 's play .",child's play,something that is very easy or simple,"Translate this sentence to Chinese: 'If you practise enough , driving will eventually become child 's play .'",如果你练习足够，驾驶最终会变得轻而易举。,如果你练习得足够多，开车最终会变得轻而易举。,3,3.0,3,3
"I do n't like what the new management has done , but give the devil his due , sales have improved .",give the devil his due,"acknowledge and give credit to someone, even if they are disliked or considered to be a bad person","Translate this sentence to Chinese: 'I do n't like what the new management has done , but give the devil his due , sales have improved .'",我不喜欢新管理层做的事情，但是要公平一点，销售已经有所改善。,我不喜欢新管理层的做法，但要实事求是，销售确实有所改善。,3,3.0,2,3
Prison really screwed him up .,screw up,to make a mistake or failure; to mess up or ruin something,Translate this sentence to Chinese: 'Prison really screwed him up .',监狱真的搞糟了他。,监狱真的把他搞得一团糟。,3,3.0,1,2
I was trying my best to chew the fat so the conversation would n't seem as awkward .,chew the fat,to chat or have a casual conversation,Translate this sentence to Chinese: 'I was trying my best to chew the fat so the conversation would n't seem as awkward .',我竭尽全力在聊天时闲话家常，以免尴尬。,我正在尽力闲聊，以免谈话显得尴尬。,3,3.0,3,3
"While dealing with his stubborn child , the teacher refused to give more coaching classes by saying that you ca n't teach an old dog new tricks .",you can't teach an old dog new tricks,"it is difficult to teach or change someone's habits or behaviors, especially if they are set in their ways or resistant to change","Translate this sentence to Chinese: 'While dealing with his stubborn child , the teacher refused to give more coaching classes by saying that you ca n't teach an old dog new tricks .'",在处理他顽固的孩子时，老师拒绝给更多的补习班，说不能教老狗新把戏。,在处理他固执的孩子时，老师拒绝提供更多辅导课，并说：“朽木不可雕也。”,3,2.0,2,3
She knows her craft well and can get it done for you at the drop of a dime . ',at the drop of a dime,to do something immediately or without hesitation,Translate this sentence to Chinese: 'She knows her craft well and can get it done for you at the drop of a dime . '',她精通自己的工艺，可以迅速地为您做好。,她非常精通她的手艺，可以立刻为你完成。,2,2.0,1,2
It took us a while to get cracking on this assignment but ever since we started it has been going smoothly .,get cracking,to start working or moving quickly,Translate this sentence to Chinese: 'It took us a while to get cracking on this assignment but ever since we started it has been going smoothly .',我们花了一些时间才开始着手处理这项任务，但自从我们开始后，一切都进行得很顺利。,我们花了一段时间才开始这个任务，但自从我们开始之后，一切都很顺利。,2,2.0,3,3
Most financial advisers try to pull the wool over their client 's eyes and sell them what they do n't need .,pull the wool over eyes,to deceive or mislead someone,Translate this sentence to Chinese: 'Most financial advisers try to pull the wool over their client 's eyes and sell them what they do n't need .',大多数财务顾问都会想办法迷惑客户，向他们推销他们根本不需要的产品。,大多数理财顾问试图蒙蔽客户的双眼，向他们推销不需要的东西。,3,3.0,3,3
A dog is undoubtedly a man 's best friend . ',man's best friend,"a dog, as dogs are often considered to be loyal and trustworthy companions to humans",Translate this sentence to Chinese: 'A dog is undoubtedly a man 's best friend . '',一只狗无疑是人类最好的朋友。,狗无疑是人类最好的朋友。,3,3.0,3,3
"At first light , the elephants went in search of a watering hole .",first light,the earliest moments of the day; dawn or sunrise,"Translate this sentence to Chinese: 'At first light , the elephants went in search of a watering hole .'",在破晓时刻，大象们开始寻找水源。,一大早，大象们就去寻找水源。,3,3.0,3,3
"You will have to check the list meticulously , from A to Z , and ensure that nothing is missing .",from A to Z,to encompass or cover everything; from beginning to end,"Translate this sentence to Chinese: 'You will have to check the list meticulously , from A to Z , and ensure that nothing is missing .'",你将不得不仔细检查清单，从A到Z，并确保没有遗漏任何东西。,你必须仔细检查清单，从头到尾，确保没有遗漏。,3,3.0,3,3
"Get rich quick schemes are usually meant to burn the fingers of the investors , some more than the others .",burn fingers,to suffer negative consequences or get hurt by one's own actions or decisions,"Translate this sentence to Chinese: 'Get rich quick schemes are usually meant to burn the fingers of the investors , some more than the others .'",快速致富计划通常旨在烧伤投资者的手指，有些更甚。,快速致富的计划通常会让投资者吃亏，有些人比其他人更惨。,1,3.0,1,3
"His wife is a free spirit , she does not believe in the work that we do .",free spirit,"someone who is independent, spontaneous, and not confined by societal norms or expectations","Translate this sentence to Chinese: 'His wife is a free spirit , she does not believe in the work that we do .'",他的妻子是一位自由灵魂，她不相信我们所做的工作。,他的妻子是个自由奔放的人，她不相信我们所做的工作。,3,3.0,2,2
"I took the risk with these stocks hoping that fortune will favour the bold , but I ended up losing my entire life saving in just one transaction .",fortune favours the bold,those who are brave and take risks are more likely to succeed.,"Translate this sentence to Chinese: 'I took the risk with these stocks hoping that fortune will favour the bold , but I ended up losing my entire life saving in just one transaction .'",我冒险投资这些股票，希望运气会眷顾勇敢者，但最终在一次交易中失去了我整个一生的积蓄。,我冒险投资这些股票，希望富贵险中求，但结果在一次交易中就赔光了我一生的积蓄。,3,3.0,3,3
The situation between then is not going to get any better than a status quo so it will be a waste of your time to try anything else .,status quo,"the existing state or condition, especially in social or political aspects, that is generally accepted or maintained",Translate this sentence to Chinese: 'The situation between then is not going to get any better than a status quo so it will be a waste of your time to try anything else .',它们之间的情况不会好转，只会保持现状，所以尝试其他方法会浪费时间。,他们之间的局势不会比现状更好，所以你再尝试其他方法也是浪费时间。,3,3.0,2,3
"When I chose to marry you , my father was very worried and Once he said , `` Do you really want to spend your life with that black sheep '",black sheep,someone who is seen as the disgrace or outcast of a group or family,"Translate this sentence to Chinese: 'When I chose to marry you , my father was very worried and Once he said , `` Do you really want to spend your life with that black sheep ''",当我选择嫁给你时，我父亲非常担心，有一次他说：“你真的愿意和那个害群之马共度一生吗？”,当我选择嫁给你时，我父亲非常担心，他曾经说过：“你真的想和那个害群之马共度一生吗？”,3,3.0,3,3
My friend and her partner have not been speaking to each other for the past five days and I wish they would stop all this and just kiss and make up .,kiss and make up,to reconcile or resolve a disagreement or conflict,Translate this sentence to Chinese: 'My friend and her partner have not been speaking to each other for the past five days and I wish they would stop all this and just kiss and make up .',我朋友和她的伴侣这五天来一直都没说话，我希望他们停下这一切，只管和好吧。,我的朋友和她的伴侣已经五天没说话了，我希望他们能停止这一切，和好如初。,3,3.0,2,3
She made it clear that her statement was off the record and could not be published anywhere or attributed to her .,off the record,not for publication or public knowledge; unofficial or confidential,Translate this sentence to Chinese: 'She made it clear that her statement was off the record and could not be published anywhere or attributed to her .',她明确表示，她的声明属于非正式记录，不能在任何地方发布或归因于她。,她明确表示她的发言不公开，不能在任何地方发布或归因于她。,3,3.0,2,3
"After five years of going around with each other , George and Mia have finally decided to tie the knot later this year .",tie the knot,to get married,"Translate this sentence to Chinese: 'After five years of going around with each other , George and Mia have finally decided to tie the knot later this year .'",经过五年的相处，乔治和米娅终于决定今年晚些时候结婚。,经过五年的交往，乔治和米娅终于决定在今年晚些时候结婚。,3,3.0,3,3
It is a general conception that every bride should be full of beans on their wedding day .,full of beans,"energetic, lively, or enthusiastic",Translate this sentence to Chinese: 'It is a general conception that every bride should be full of beans on their wedding day .',在结婚日，每个新娘都应该充满活力是一个普遍看法。,普遍认为每个新娘在婚礼当天都应该充满活力。,3,3.0,3,3
I am learning new methods of cutting down on sugar and salt consumption in my food .,cut down,"to reduce in size, quantity, or intensity",Translate this sentence to Chinese: 'I am learning new methods of cutting down on sugar and salt consumption in my food .',我正在学习新的方法来减少食物中的糖和盐的摄入量。,我正在学习减少食物中糖和盐摄入的新方法。,3,3.0,3,3
