Idiomatic_Sent,Original_Idiom,Original_Meaning,high_similarity_chinese_idioms,Chinese_Idiom,Translation_Instruction,Mandarin_Sentence_3.5,Mandarin_Sentence_4o,Evaluation_KB_4,3.5_Evaluation_4,4o_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4o
They had met in their salad days and had fallen in love .,salad days,"refers to a period of youth, often associated with inexperience and innocence",乳臭未干 (0.80),乳臭未干,"'salad days' means '乳臭未干'. Given the above knowledge, translate this sentence to Chinese: 'They had met in their salad days and had fallen in love .'.",他们在乳臭未干的年纪相遇并相爱。,他们在乳臭未干的年纪相识并坠入爱河。,,3.0,3,2,2
People these days have Uncle Tom Cobley and all in their friend list over social media and I wonder if they really talk or even know each other '',uncle Tom Cobley and all,a large or varied group of people or things; everyone and everything,,,"uncle Tom Cobley and all' means 'a large or varied group of people or things; everyone and everything'. Given the above knowledge, translate this sentence to Chinese: 'People these days have Uncle Tom Cobley and all in their friend list over social media and I wonder if they really talk or even know each other '''.",如今人们在社交媒体上的朋友列表里有各种人，我想知道他们是否真的交谈过或者认识彼此。,如今人们在社交媒体上的好友名单里有各种各样的人，我想知道他们是否真的交谈，甚至是否认识彼此。,,2.0,2,1,1
`` I heard that you made a whole week without a single drop of alcohol and Isn 't that great ? '',made it,achieve success or reach a goal,"一步登天 (0.74), 大有作为 (0.72), 更上一层楼 (0.76), 功成名遂 (0.73), 鸿鹄之志 (0.73), 有所作为 (0.76), 借风使船 (0.70), 奋发有为 (0.74), 鱼跃龙门 (0.71), 万里鹏程 (0.73), 志在千里 (0.70)",鱼跃龙门,"'made it' means '鱼跃龙门'. Given the above knowledge, translate this sentence to Chinese: '`` I heard that you made a whole week without a single drop of alcohol and Isn 't that great ? '''.",我听说你连续一个星期都没有喝一滴酒，这不是很棒吗？,我听说你一整周都滴酒未沾，这不是很棒吗？,,3.0,3,3,3
They promised that they will leave no stone unturned to find the solution to the problem .,leave no stone unturned,to search or investigate every possible option or avenue,"翻箱倒柜 (0.73), 扫穴犁庭 (0.70)",翻箱倒柜,"'leave no stone unturned' means '翻箱倒柜'. Given the above knowledge, translate this sentence to Chinese: 'They promised that they will leave no stone unturned to find the solution to the problem .'.",他们承诺会翻箱倒柜地找到解决问题的办法。,他们承诺会翻箱倒柜地找到解决问题的方法。,,3.0,2,3,3
"The final was going to be a toss-up between two evenly matched teams , both of which had equal chances of winning .",toss-up,a situation in which the outcome is uncertain and equally likely,捉摸不定 (0.73),捉摸不定,"'toss-up' means '捉摸不定'. Given the above knowledge, translate this sentence to Chinese: 'The final was going to be a toss-up between two evenly matched teams , both of which had equal chances of winning .'.",决赛将成为两支实力相当的球队之间的捉摸不定，它们都有同等机会获胜。,决赛将在两支实力相当的队伍之间进行，胜负难料。,,3.0,3,2,3
We were over the moon when we finally moved into our new house .,over the moon,extremely happy or delighted,"不亦乐乎 (0.79), 喜气洋洋 (0.76), 喜笑颜开 (0.72), 喜形于色 (0.91), 嘻嘻哈哈 (0.71), 大喜过望 (0.71), 如获至宝 (0.75), 心花怒放 (0.73), 手舞足蹈 (0.83), 乐不可支 (0.80), 欣喜若狂 (0.86), 欢天喜地 (0.94), 欢欣鼓舞 (0.88), 眉飞色舞 (0.89), 眉开眼笑 (0.93), 笑逐颜开 (0.72), 笑容满面 (0.73), 喜上眉梢 (0.85), 得意洋洋 (0.76), 兴高彩烈 (0.82), 痛快淋漓 (0.70), 扬扬得意 (0.71), 古道热肠 (0.72), 称心满意 (0.77), 大喜若狂 (0.87), 景星庆云 (0.70), 春风满面 (0.78), 得意扬扬 (0.72), 开心见诚 (0.71), 其乐融融 (0.72), 舒眉展眼 (0.70), 欢呼雀跃 (0.76), 欢若平生 (0.75), 喜逐颜开 (0.73), 得意之色 (0.74), 心悦神怡 (0.75), 扬扬自得 (0.72), 意得志满 (0.71)",欣喜若狂,"'over the moon' means '欣喜若狂'. Given the above knowledge, translate this sentence to Chinese: 'We were over the moon when we finally moved into our new house .'.",当我们终于搬进新房子时，我们欣喜若狂。,当我们终于搬进新房子时，我们欣喜若狂。,,3.0,3,3,3
"I am glad that you are enjoying your holiday , the best is yet to come .",the best is yet to come,better things are still to come in the future,,,"the best is yet to come' means 'better things are still to come in the future'. Given the above knowledge, translate this sentence to Chinese: 'I am glad that you are enjoying your holiday , the best is yet to come .'.",我很高兴你在度假，最好的还在后头。,我很高兴你在享受假期，最好的还在后面。,,3.0,3,3,3
"Not only did the club stop the team from playing , they also took away their equipment - that 's adding insult to injury .",add insult to injury,to make a bad situation worse by saying or doing something that is hurtful or offensive,"莫此为甚 (0.75), 雪上加霜 (0.77), 恶语伤人 (0.71)",雪上加霜,"'add insult to injury' means '雪上加霜'. Given the above knowledge, translate this sentence to Chinese: 'Not only did the club stop the team from playing , they also took away their equipment - that 's adding insult to injury .'.",俱乐部不仅阻止了球队比赛，还拿走了他们的装备-这就是雪上加霜。,不仅俱乐部不让球队比赛，他们还拿走了他们的装备——这就是雪上加霜。,,3.0,3,3,3
"I prefer giving quality time to my children , these are their most precious year anyway .",quality time,to spend meaningful and valuable time with someone,,,"quality time' means 'to spend meaningful and valuable time with someone'. Given the above knowledge, translate this sentence to Chinese: 'I prefer giving quality time to my children , these are their most precious year anyway .'.",我更喜欢给孩子们一些有意义的时间，毕竟这是他们最宝贵的岁月。,我更愿意陪伴孩子们享受有意义的时光，毕竟这些是他们最珍贵的几年。,,3.0,3,3,3
I could not account for the additional expenses at the wedding even though I added every guest 's stay as well as sight-seeing .,account for,to provide an explanation or answer for something,,,"account for' means 'to provide an explanation or answer for something'. Given the above knowledge, translate this sentence to Chinese: 'I could not account for the additional expenses at the wedding even though I added every guest 's stay as well as sight-seeing .'.",我无法解释婚礼上的额外费用，即使我把每位客人的住宿和观光费都计算了进去。,即使我把每位客人的住宿和观光费用都加上了，我还是无法解释婚礼的额外开支。,,3.0,3,3,3
"I 'm new to this city , so I 'm still finding my feet .",find feet,to become comfortable or familiar in a new situation or environment,"身临其境 (0.74), 新来乍到 (0.72)",新来乍到,"'find feet' means '新来乍到'. Given the above knowledge, translate this sentence to Chinese: 'I 'm new to this city , so I 'm still finding my feet .'.",我是新来乍到这个城市的，所以我还在适应中。,我刚到这个城市，所以我还在适应。,,3.0,3,3,2
Media claims the cut in public spending coupled with a pay freeze is a double whammy for low-paid workers .,double whammy,simultaneous occurrence of two negative or difficult situations or events,,,"double whammy' means 'simultaneous occurrence of two negative or difficult situations or events'. Given the above knowledge, translate this sentence to Chinese: 'Media claims the cut in public spending coupled with a pay freeze is a double whammy for low-paid workers .'.",媒体声称公共支出的削减和工资冻结对低收入工人来说是一次双重打击。,媒体称公共支出削减和工资冻结对低收入工人来说是双重打击。,,3.0,3,3,3
You will burn yourself out if you do not cool your heels when you can .,cool heels,to be made to wait or be kept waiting,"坐以待旦 (0.73), 放长线，钓大鱼 (0.73), 等因奉此 (0.70), 倚马可待 (0.75)",等因奉此,"'cool heels' means '等因奉此'. Given the above knowledge, translate this sentence to Chinese: 'You will burn yourself out if you do not cool your heels when you can .'.",如果你有时间却不等因奉此，你会搞得筋疲力尽的。,如果你不趁机等因奉此，你会把自己烧坏的。,,2.0,2,1,1
The birth of my daughter was the turning point of my life .,turning point,"crucial moment, a point in time where a significant change or shift occurs",,,"turning point' means 'crucial moment, a point in time where a significant change or shift occurs'. Given the above knowledge, translate this sentence to Chinese: 'The birth of my daughter was the turning point of my life .'.",我女儿的出生是我生活的转折点。,我女儿的出生是我人生的转折点。,,3.0,3,3,3
I understand that there 's no time like the present but I have to develop this idea further before I start working on the business plan .,there's no time like the present,do something now rather than later or not at all,,,"there's no time like the present' means 'do something now rather than later or not at all'. Given the above knowledge, translate this sentence to Chinese: 'I understand that there 's no time like the present but I have to develop this idea further before I start working on the business plan .'.",我知道现在是最好的时机，但在开始制定商业计划之前，我必须进一步发展这个想法。,我明白“机不可失，时不再来”，但我必须进一步完善这个想法，然后再开始制定商业计划。,,3.0,3,3,3
I zipped my lip for the entire presentation until I was forced to speak by Mrs and Shukla . ',zip oneâ€™s lip,to remain silent or keep a secret,"三缄其口 (0.83), 缄口不言 (0.71), 掩口葫芦 (0.70), 不言不语 (0.75), 不可言传 (0.78), 屏声息气 (0.74)",缄口不言,"'zip oneâ€™s lip' means '缄口不言'. Given the above knowledge, translate this sentence to Chinese: 'I zipped my lip for the entire presentation until I was forced to speak by Mrs and Shukla . ''.",我在整个演讲过程中一直缄口不言，直到被Mrs和Shukla逼迫说话。,在整个演示过程中，我都缄口不言，直到Shukla女士强迫我说话。,,3.0,3,3,3
Uncle Ben has been racing against time ever since he has found out about the terminal illness .,race against time,to work against a rapidly approaching deadline or limited time period; to attempt to complete a task or achieve a goal in a very short amount of time,,,"race against time' means 'to work against a rapidly approaching deadline or limited time period; to attempt to complete a task or achieve a goal in a very short amount of time'. Given the above knowledge, translate this sentence to Chinese: 'Uncle Ben has been racing against time ever since he has found out about the terminal illness .'.",本从得知自己患有绝症开始，一直在与时间赛跑。,自从叔叔本得知绝症以来，他一直在与时间赛跑。,,3.0,3,3,3
"I heard you had a special date with Tom yesterday ; so did he pop the question , then ?",pop the question,to propose marriage,,,"pop the question' means 'to propose marriage'. Given the above knowledge, translate this sentence to Chinese: 'I heard you had a special date with Tom yesterday ; so did he pop the question , then ?'.",我听说昨天你和汤姆有个特别的约会，那他求婚了吗？,我听说你昨天和汤姆有一个特别的约会；那么他向你求婚了吗？,,3.0,3,3,3
Give yourselves a pat on the back for what you did .,pat on the back,to show approval or recognition for someone's achievements or efforts,,,"pat on the back' means 'to show approval or recognition for someone's achievements or efforts'. Given the above knowledge, translate this sentence to Chinese: 'Give yourselves a pat on the back for what you did .'.",为你们的成就鼓掌。,为你们所做的事给自己一个表扬。,,2.0,3,1,1
He criticizes her food a bit much and He may as well cook for himself from tomorrow .,a bit much,excessive or unreasonable; more than one can handle or tolerate,,,"a bit much' means 'excessive or unreasonable; more than one can handle or tolerate'. Given the above knowledge, translate this sentence to Chinese: 'He criticizes her food a bit much and He may as well cook for himself from tomorrow .'.",他对她的食物批评有点过分，他明天可能也要自己动手做饭。,他对她的饭菜批评得有点过分了，他明天还是自己做饭吧。,,3.0,3,2,3
"Maria is so in love , she is as blind as a bat when it comes to Mark 's rude behavior .",blind as a bat,having extremely poor or no vision,目光如豆 (0.74),目光如豆,"'blind as a bat' means '目光如豆'. Given the above knowledge, translate this sentence to Chinese: 'Maria is so in love , she is as blind as a bat when it comes to Mark 's rude behavior .'.",玛丽亲如豆，对马克的粗鲁行为一无所知。,玛丽娅太恋爱了，对于马克的粗鲁行为她目光如豆。,,1.0,2,1,1
This particular technology is quite out of the box in nature and should be a hit really easily.C196,think outside the box,to think creatively or unconventionally,别出心裁 (0.71),别出心裁,"'think outside the box' means '别出心裁'. Given the above knowledge, translate this sentence to Chinese: 'This particular technology is quite out of the box in nature and should be a hit really easily.C196'.",这种特定的技术在性质上非常别出心裁，应该很容易受欢迎。,这项特殊技术本身就非常别出心裁，应该很容易就会大受欢迎。,,3.0,3,3,3
It is important that one does not neglect their children in order to spend quality time at work .,quality time,to spend meaningful and valuable time with someone,,,"quality time' means 'to spend meaningful and valuable time with someone'. Given the above knowledge, translate this sentence to Chinese: 'It is important that one does not neglect their children in order to spend quality time at work .'.",重要的是，一个人不应该忽视他们的孩子为了在工作中度过美好的时光。,重要的是，不要为了在工作中度过有意义的时间而忽视孩子。,,3.0,3,1,3
"Low paying jobs are a dime a dozen and anyone can get one if they try , but the high paying ones are not so easy to get and require proper and relevant skills .",a dime a dozen,something that is very common or easy to obtain,,,"a dime a dozen' means 'something that is very common or easy to obtain'. Given the above knowledge, translate this sentence to Chinese: 'Low paying jobs are a dime a dozen and anyone can get one if they try , but the high paying ones are not so easy to get and require proper and relevant skills .'.",低薪工作随处可见，只要努力就能找到，但高薪工作不那么容易得到，需要适当和相关的技能。,低薪的工作多如牛毛，任何人只要努力就能找到，但高薪的工作却不容易，需要合适且相关的技能。,,3.0,3,3,3
"I 've heard my neighbour couple arguing , `` You are such a couch potato how can you dream about being slim you can only eat and watch television all the time . ''",couch potato,"someone who spends a lot of time sitting or lying down, typically watching television and being inactive",,,"couch potato' means 'someone who spends a lot of time sitting or lying down, typically watching television and being inactive'. Given the above knowledge, translate this sentence to Chinese: 'I 've heard my neighbour couple arguing , `` You are such a couch potato how can you dream about being slim you can only eat and watch television all the time . '''.",我听到邻居夫妇争吵，``你真是个电视迷，怎么可能梦想变瘦，你整天只会吃东西和看电视。'',我听到我的邻居夫妻在争吵，“你真是个电视迷，你怎么能梦想变瘦呢？你整天只会吃和看电视。”,,3.0,2,1,1
After the prisoner stabbed a guard he was sent to solitary confinement and It is called the black hole .,black hole,"a place or situation where things, especially money or resources, seem to disappear without trace",,,"black hole' means 'a place or situation where things, especially money or resources, seem to disappear without trace'. Given the above knowledge, translate this sentence to Chinese: 'After the prisoner stabbed a guard he was sent to solitary confinement and It is called the black hole .'.",犯人刺伤了一名警卫后被送进了单独禁闭室，这被称为黑洞。,在囚犯刺伤了一名狱警后，他被送往单独监禁，那被称为黑洞。,,3.0,3,1,1
"Although the work is round the clock , the payment for the same is quite meager .",round the clock,"continuous or non-stop, without interruption or pause","马不停蹄 (0.95), 绵绵不绝 (0.78), 绵绵不断 (0.81), 接连不断 (0.86)",马不停蹄,"'round the clock' means '马不停蹄'. Given the above knowledge, translate this sentence to Chinese: 'Although the work is round the clock , the payment for the same is quite meager .'.",尽管工作马不停蹄，但报酬却相当微薄。,尽管工作马不停蹄，报酬却很微薄。,,3.0,3,3,3
The social parties in this area are just meant for old ladies to gather around and bad-mouth everyone who did not show up .,bad-mouth,to speak negatively or criticize someone or something,"口诛笔伐 (0.71), 指桑骂槐 (0.73), 说长道短 (0.80), 说长论短 (0.71), 指鸡骂狗 (0.78)",说长道短,"'bad-mouth' means '说长道短'. Given the above knowledge, translate this sentence to Chinese: 'The social parties in this area are just meant for old ladies to gather around and bad-mouth everyone who did not show up .'.",这个地区的社交聚会只是为了老太太们聚在一起说长道短那些没有出席的人。,这个地区的社交聚会只是让老年女士们聚在一起说长道短那些没有出现的人。,,3.0,3,3,3
He is a loose cannon and would not be a good choice for a leader . ',loose cannon,an unpredictable or reckless person who can cause damage or harm,小人得志 (0.72),小人得志,"'loose cannon' means '小人得志'. Given the above knowledge, translate this sentence to Chinese: 'He is a loose cannon and would not be a good choice for a leader . ''.",他是个小人得志，不太适合担任领导。,他是个小人得志，不适合当领导。,,1.0,1,1,1
The students were up in arms when they heard that their breaktime would be taken away due to poor behaviour .,up in arms,"to be angry, upset, or outraged about something","厝火积薪 (0.73), 心烦意乱 (0.74), 怒发冲冠 (0.70), 怒火中烧 (0.73), 怒形于色 (0.72), 气急败坏 (0.72), 火冒三丈 (0.70), 怒气冲冲 (0.82), 怒火冲天 (0.70), 大动肝火 (0.74), 破罐破摔 (0.73), 裂眦嚼齿 (0.82), 气冲霄汉 (0.79), 赫然而怒 (0.71), 心花怒发 (0.82), 藏怒宿怨 (0.71), 勃然大怒 (0.71), 横眉冷目 (0.70)",怒火冲天,"'up in arms' means '怒火冲天'. Given the above knowledge, translate this sentence to Chinese: 'The students were up in arms when they heard that their breaktime would be taken away due to poor behaviour .'.",当学生们听说因为不良行为他们的休息时间会被取消时，他们怒火冲天。,当学生们听说由于不良行为他们的休息时间将被取消时，他们怒火冲天。,,3.0,3,3,3
"He did not want to say no to either of them , so he was just sitting on the fence .",sit on the fence,to remain neutral or undecided in a dispute or conflict,持平之论 (0.71),持平之论,"'sit on the fence' means '持平之论'. Given the above knowledge, translate this sentence to Chinese: 'He did not want to say no to either of them , so he was just sitting on the fence .'.",他不想拒绝他们中的任何一个，所以他只是持平之论。,他不想对他们中的任何一个说不，所以他只是持平之论。,,2.0,2,1,1
"You ca n't sit on the fence any longer , you need to make up your mind .",sit on the fence,to remain neutral or undecided in a dispute or conflict,持平之论 (0.71),持平之论,"'sit on the fence' means '持平之论'. Given the above knowledge, translate this sentence to Chinese: 'You ca n't sit on the fence any longer , you need to make up your mind .'.",你不能再持平之论了，你需要下定决心。,你不能再持平之论了，你需要做出决定。,,3.0,2,1,1
"I like to bide my time and get the cake out at the stroke of midnight , every year on my wife 's birthday .",bide time,to wait patiently for the right moment or opportunity to take action,"以观后效 (0.73), 坐以待旦 (0.89), 守株待兔 (0.71), 拭目以待 (0.71), 放长线，钓大鱼 (0.82), 整装待发 (0.72), 翘足而待 (0.70), 等因奉此 (0.78), 倚马可待 (0.80)",以观后效,"'bide time' means '以观后效'. Given the above knowledge, translate this sentence to Chinese: 'I like to bide my time and get the cake out at the stroke of midnight , every year on my wife 's birthday .'.",我喜欢以观后效，每年在我妻子的生日那天午夜敲钟时拿出蛋糕。,我喜欢以观后效，并在午夜钟声敲响时把蛋糕拿出来，每年在我妻子的生日。,,2.0,2,1,1
She has amazing sixth sense and is almost never wrong about such predictions .,sixth sense,a special ability to sense or perceive something that is not immediately apparent or obvious,恍然大悟 (0.71),第六感,"'sixth sense' means '第六感'. Given the above knowledge, translate this sentence to Chinese: 'She has amazing sixth sense and is almost never wrong about such predictions .'.",她有惊人的第六感，几乎从不在这类预测上出错。,她有惊人的第六感，对这种预测几乎从未出错。,,3.0,3,3,3
The teacher did not mean it in a bad way but the student felt insulted at being asked to explain anyway .,in a bad way,experiencing difficulties or problems; in a poor or unhealthy condition,,,"in a bad way' means 'experiencing difficulties or problems; in a poor or unhealthy condition'. Given the above knowledge, translate this sentence to Chinese: 'The teacher did not mean it in a bad way but the student felt insulted at being asked to explain anyway .'.",老师并不是恶意的，但学生被要求解释仍感到受辱。,老师本意并不是恶意的，但学生被要求解释时还是感到被侮辱了。,,3.0,3,3,3
"When the star actress made an appearance , the security team tried to control the crowd ; but they could n't care less and surged ahead to meet her .",couldn't care less,having no interest or concern; not caring at all,"掉以轻心 (0.71), 满不在乎 (0.71), 无动于衷 (0.75), 不相闻问 (0.73)",满不在乎,"'couldn't care less' means '满不在乎'. Given the above knowledge, translate this sentence to Chinese: 'When the star actress made an appearance , the security team tried to control the crowd ; but they could n't care less and surged ahead to meet her .'.",当这位明星女演员出现时，保安团队试图控制人群；但他们满不在乎地冲上前去见她。,当那位明星女演员出现时，保安团队试图控制人群；但他们满不在乎，争先恐后地冲上前去见她。,,3.0,3,3,3
"I know this is difficult work , but we are all in the same boat here , so we 'll have to do this together .",be in the same boat,to be in the same situation or facing the same problems as someone else,内外交困 (0.71),同舟共济,"'be in the same boat' means '同舟共济'. Given the above knowledge, translate this sentence to Chinese: 'I know this is difficult work , but we are all in the same boat here , so we 'll have to do this together .'.",我知道这是困难的工作，但我们在这里都同舟共济，所以我们必须一起努力。,我知道这项工作很难，但我们都同舟共济，所以我们必须一起完成。,,3.0,3,3,3
"I never go to the cinemas , I just watch the movies at home as and when I need .",as and when,at the appropriate or necessary time or occasions,,,"as and when' means 'at the appropriate or necessary time or occasions'. Given the above knowledge, translate this sentence to Chinese: 'I never go to the cinemas , I just watch the movies at home as and when I need .'.",我从不去电影院，我只是在家里需要的时候看电影。,我从不去电影院，我只是需要的时候在家看电影。,,3.0,3,1,3
The media had a field day when the news of the minister 's illicit affair was leaked .,field day,"an enjoyable or productive time, often taking advantage of a particular situation or circumstance","好事多磨 (0.71), 顺手牵羊 (0.78), 苦中作乐 (0.73)",苦中作乐,"'field day' means '苦中作乐'. Given the above knowledge, translate this sentence to Chinese: 'The media had a field day when the news of the minister 's illicit affair was leaked .'.",媒体在部长通奸的消息曝光时大做文章。,当部长婚外情被泄露时，媒体苦中作乐。,,3.0,2,3,1
It used to get on my nerves when I saw someone sleeping during the working hours .,get on nerves,to annoy or irritate someone,,,"get on nerves' means 'to annoy or irritate someone'. Given the above knowledge, translate this sentence to Chinese: 'It used to get on my nerves when I saw someone sleeping during the working hours .'.",过去，当我看到有人在工作时间睡觉的时候，我会感到很烦。,过去看到有人在工作时间睡觉总让我心烦。,,3.0,3,3,3
"First , they lost the match , and then , to add insult to injury , one of players was suspended for cheating .",add insult to injury,to make a bad situation worse by saying or doing something that is hurtful or offensive,"莫此为甚 (0.75), 雪上加霜 (0.77), 恶语伤人 (0.71)",雪上加霜,"'add insult to injury' means '雪上加霜'. Given the above knowledge, translate this sentence to Chinese: 'First , they lost the match , and then , to add insult to injury , one of players was suspended for cheating .'.",首先，他们输掉了比赛，然后，雪上加霜的是，其中一名球员因作弊被停赛。,首先，他们输了比赛，然后，雪上加霜的是，其中一名球员因作弊被禁赛。,,3.0,3,3,3
"He stood at his door , foaming at the mouth , showering expletives at the miscreants who had damaged his lawn .",foam at the mouth,"to express extreme anger, rage, or excitement","七窍生烟 (0.73), 厝火积薪 (0.75), 大发雷霆 (0.78), 怒火中烧 (0.78), 怒形于色 (0.76), 火烧火燎 (0.75), 一吐为快 (0.70), 怒气冲冲 (0.77), 大动肝火 (0.74), 宜嗔宜喜 (0.71), 裂眦嚼齿 (0.77), 气冲霄汉 (0.72), 赫然而怒 (0.71), 心花怒发 (0.77), 勃然大怒 (0.71), 慷慨激扬 (0.73), 爆跳如雷 (0.72), 雷霆之怒 (0.70), 横眉冷目 (0.73)",大发雷霆,"'foam at the mouth' means '大发雷霆'. Given the above knowledge, translate this sentence to Chinese: 'He stood at his door , foaming at the mouth , showering expletives at the miscreants who had damaged his lawn .'.",他站在门口，大发雷霆，对那些损坏他草坪的坏人们破口大骂。,他站在门口，大发雷霆，向那些毁坏他草坪的不法之徒大骂脏话。,,3.0,3,3,3
The girl was betwixt and between which of her parents to choose during the divorce trial .,betwixt and between,"being undecided or uncertain, in a state of limbo",,,"betwixt and between' means 'being undecided or uncertain, in a state of limbo'. Given the above knowledge, translate this sentence to Chinese: 'The girl was betwixt and between which of her parents to choose during the divorce trial .'.",这个女孩在离婚审判中不知道选择哪个父母，感到左右为难。,那个女孩在离婚审判期间无法决定选择哪一方父母。,,3.0,3,3,1
