Idiomatic_Sent,Original_Idiom,Original_Meaning,ai_generated_idioms,chinese_idiom,Translation_Instruction,Mandarin_Sentence_3.5,Mandarin_Sentence_4o,3.5_Evaluation_4,4o_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4o
They had met in their salad days and had fallen in love .,salad days,"refers to a period of youth, often associated with inexperience and innocence","```json
{
	""English idiom"": ""salad days"",
	""English definition"": ""A period of youthful inexperience and innocence, often regarded nostalgically."",
	""Chinese idiom 1"": ""豆蔻年华"",
	""Chinese idiom 2"": ""青春年少"",
	""Chinese idiom 3"": ""年少轻狂""
}
```",豆蔻年华,"'salad days' means '豆蔻年华'. Given the above knowledge, translate the following sentence to Chinese: 'They had met in their salad days and had fallen in love .'",他们在豆蔻年华相遇并相爱了。,他们在豆蔻年华时相识并坠入爱河。,3,3,3,3
People these days have Uncle Tom Cobley and all in their friend list over social media and I wonder if they really talk or even know each other '',uncle Tom Cobley and all,a large or varied group of people or things; everyone and everything,"```json
{
  ""English idiom"": ""uncle Tom Cobley and all"",
  ""English definition"": ""It is used to indicate a long list of people, typically implying that many are included and it might be tedious to list them all."",
  ""Chinese idiom 1"": ""张三李四"",
  ""Chinese idiom 2"": ""三姑六婆"",
  ""Chinese idiom 3"": null
}
```",张三李四,"'uncle Tom Cobley and all' means '张三李四'. Given the above knowledge, translate the following sentence to Chinese: 'People these days have Uncle Tom Cobley and all in their friend list over social media and I wonder if they really talk or even know each other '''",如今的人们在社交媒体上的好友清单里有张三李四，我很怀疑他们是不是真的会交谈甚至互相认识。,如今人们在社交媒体上的好友名单里有张三李四，我想知道他们是否真的交谈，甚至是否认识彼此。,3,3,3,3
`` I heard that you made a whole week without a single drop of alcohol and Isn 't that great ? '',made it,achieve success or reach a goal,"```json
{
  ""English idiom"": ""made it"",
  ""English definition"": ""Achieved success or reached a significant accomplishment"",
  ""Chinese idiom 1"": ""功成名就"",
  ""Chinese idiom 2"": ""马到成功"",
  ""Chinese idiom 3"": ""一举成名""
}
```",功成名就,"'made it' means '功成名就'. Given the above knowledge, translate the following sentence to Chinese: '`` I heard that you made a whole week without a single drop of alcohol and Isn 't that great ? '''",我听说你整整一个星期没有喝一滴酒，这不是很棒吗？,「我听说你整整一周都没有喝一滴酒，这不是很棒吗？」,3,3,3,3
They promised that they will leave no stone unturned to find the solution to the problem .,leave no stone unturned,to search or investigate every possible option or avenue,"{
  ""English idiom"": ""leave no stone unturned"",
  ""English definition"": ""To do everything possible in order to achieve something or to find someone or something."",
  ""Chinese idiom 1"": ""挖地三尺"",
  ""Chinese idiom 2"": ""穷尽一切手段"",
  ""Chinese idiom 3"": ""不遗余力""
}",挖地三尺,"'leave no stone unturned' means '挖地三尺'. Given the above knowledge, translate the following sentence to Chinese: 'They promised that they will leave no stone unturned to find the solution to the problem .'",他们承诺将挖地三尺找到解决问题的办法。,他们承诺会挖地三尺来找到问题的解决方案。,3,3,3,3
"The final was going to be a toss-up between two evenly matched teams , both of which had equal chances of winning .",toss-up,a situation in which the outcome is uncertain and equally likely,"```json
{
  ""English idiom"": ""toss-up"",
  ""English definition"": ""A situation in which the outcome is uncertain and could go either way."",
  ""Chinese idiom 1"": ""五五开"",
  ""Chinese idiom 2"": ""各半对等"",
  ""Chinese idiom 3"": null
}
```",五五开,"'toss-up' means '五五开'. Given the above knowledge, translate the following sentence to Chinese: 'The final was going to be a toss-up between two evenly matched teams , both of which had equal chances of winning .'",这场决赛将是两支实力相当的球队之间的五五开，两队都有同等机会获胜。,决赛将在两支实力相当的队伍之间进行，双方获胜的机会均等。,3,3,3,3
We were over the moon when we finally moved into our new house .,over the moon,extremely happy or delighted,"{
  ""English idiom"": ""over the moon"",
  ""English definition"": ""extremely happy; elated"",
  ""Chinese idiom 1"": ""欣喜若狂"",
  ""Chinese idiom 2"": ""喜出望外"",
  ""Chinese idiom 3"": ""心花怒放""
}",欣喜若狂,"'over the moon' means '欣喜若狂'. Given the above knowledge, translate the following sentence to Chinese: 'We were over the moon when we finally moved into our new house .'",我们终于搬进新房子的时候欣喜若狂。,我们终于搬进新房子时欣喜若狂。,3,3,3,3
"I am glad that you are enjoying your holiday , the best is yet to come .",the best is yet to come,better things are still to come in the future,"```json
{
    ""English idiom"": ""the best is yet to come"",
    ""English definition"": ""The best moments or most positive experiences are still to occur in the future."",
    ""Chinese idiom 1"": ""精益求精"",
    ""Chinese idiom 2"": ""未来可期"",
    ""Chinese idiom 3"": ""后会有期""
}
```",精益求精,"'the best is yet to come' means '精益求精'. Given the above knowledge, translate the following sentence to Chinese: 'I am glad that you are enjoying your holiday , the best is yet to come .'",我很高兴你在度假中玩得愉快，精益求精。,我很高兴你在享受假期，精益求精。,1,1,1,1
"Not only did the club stop the team from playing , they also took away their equipment - that 's adding insult to injury .",add insult to injury,to make a bad situation worse by saying or doing something that is hurtful or offensive,"```json
{
  ""English idiom"": ""add insult to injury"",
  ""English definition"": ""To make a bad situation worse by adding further harm or discomfort."",
  ""Chinese idiom 1"": ""雪上加霜"",
  ""Chinese idiom 2"": ""火上浇油"",
  ""Chinese idiom 3"": ""落井下石""
}
```",落井下石,"'add insult to injury' means '落井下石'. Given the above knowledge, translate the following sentence to Chinese: 'Not only did the club stop the team from playing , they also took away their equipment - that 's adding insult to injury .'",俱乐部不仅停止了球队比赛，还拿走了他们的装备 - 这就是落井下石。,俱乐部不仅禁止球队比赛，还拿走了他们的装备——这就是落井下石。,3,3,3,3
"I prefer giving quality time to my children , these are their most precious year anyway .",quality time,to spend meaningful and valuable time with someone,"{
  ""English idiom"": ""quality time"",
  ""English definition"": ""Time spent in giving someone one's undivided attention in order to strengthen a relationship, especially time spent with family or loved ones."",
  ""Chinese idiom 1"": ""天伦之乐"",
  ""Chinese idiom 2"": ""相亲相爱"",
  ""Chinese idiom 3"": """"
}",天伦之乐,"'quality time' means '天伦之乐'. Given the above knowledge, translate the following sentence to Chinese: 'I prefer giving quality time to my children , these are their most precious year anyway .'",我更倾向于给孩子们天伦之乐，毕竟这是他们最宝贵的岁月。,我更愿意陪伴孩子们享受天伦之乐，反正这些年是他们最宝贵的时光。,3,3,1,3
I could not account for the additional expenses at the wedding even though I added every guest 's stay as well as sight-seeing .,account for,to provide an explanation or answer for something,"{
  ""English idiom"": ""account for"",
  ""English definition"": ""To provide an explanation or justification for something."",
  ""Chinese idiom 1"": ""解释说明"",
  ""Chinese idiom 2"": ""负责任"",
  ""Chinese idiom 3"": """"
}",解释说明,"'account for' means '解释说明'. Given the above knowledge, translate the following sentence to Chinese: 'I could not account for the additional expenses at the wedding even though I added every guest 's stay as well as sight-seeing .'",我不能解释说明婚礼上的额外开支，尽管我计算了每位客人的住宿和观光费用。,即使我将每位客人的住宿和观光费用都计算在内，我仍无法解释婚礼的额外开支。,3,3,3,3
"I 'm new to this city , so I 'm still finding my feet .",find feet,to become comfortable or familiar in a new situation or environment,"```json
{
    ""English idiom"": ""find feet"",
    ""English definition"": ""To become comfortable in a new situation, to gain confidence or to become established in a new environment."",
    ""Chinese idiom 1"": ""站稳脚跟"",
    ""Chinese idiom 2"": ""如鱼得水"",
    ""Chinese idiom 3"": ""得心应手""
}
```",站稳脚跟,"'find feet' means '站稳脚跟'. Given the above knowledge, translate the following sentence to Chinese: 'I 'm new to this city , so I 'm still finding my feet .'",我是新来的这个城市，所以我还在摸索中。,我刚来这座城市，所以还在努力站稳脚跟。,3,3,2,3
Media claims the cut in public spending coupled with a pay freeze is a double whammy for low-paid workers .,double whammy,simultaneous occurrence of two negative or difficult situations or events,"```json
{
  ""English idiom"": ""double whammy"",
  ""English definition"": ""A situation in which two unpleasant or undesirable things happen at almost the same time."",
  ""Chinese idiom 1"": ""雪上加霜"",
  ""Chinese idiom 2"": ""祸不单行"",
  ""Chinese idiom 3"": ""福无双至，祸不单行""
}
```",雪上加霜,"'double whammy' means '雪上加霜'. Given the above knowledge, translate the following sentence to Chinese: 'Media claims the cut in public spending coupled with a pay freeze is a double whammy for low-paid workers .'",媒体声称公共支出削减和工资冻结对低收入工人来说是雪上加霜。,媒体称削减公共开支加上工资冻结对低收入工人来说是雪上加霜。,3,3,3,3
You will burn yourself out if you do not cool your heels when you can .,cool heels,to be made to wait or be kept waiting,"```json
{
  ""English idiom"": ""cool heels"",
  ""English definition"": ""To wait or pass time, often impatiently, until something one is expecting takes place."",
  ""Chinese idiom 1"": ""翘首以待"",
  ""Chinese idiom 2"": ""耐心等待"",
  ""Chinese idiom 3"": ""望眼欲穿""
}
```",翘首以待,"'cool heels' means '翘首以待'. Given the above knowledge, translate the following sentence to Chinese: 'You will burn yourself out if you do not cool your heels when you can .'",如果有机会却不耐心等待，你会被逼得过于疲惫。,如果你不在可以的时候翘首以待，你会让自己筋疲力尽的。,2,1,1,1
The birth of my daughter was the turning point of my life .,turning point,"crucial moment, a point in time where a significant change or shift occurs","```json
{
    ""English idiom"": ""turning point"",
    ""English definition"": ""A specific, significant moment when something begins to change in a major way."",
    ""Chinese idiom 1"": ""转折点"",
    ""Chinese idiom 2"": ""契机"",
    ""Chinese idiom 3"": ""命运转折""
}
```",转折点,"'turning point' means '转折点'. Given the above knowledge, translate the following sentence to Chinese: 'The birth of my daughter was the turning point of my life .'",我的女儿的诞生是我人生的转折点。,我女儿的出生是我人生的转折点。,3,3,3,3
I understand that there 's no time like the present but I have to develop this idea further before I start working on the business plan .,there's no time like the present,do something now rather than later or not at all,"```json
{
  ""English idiom"": ""there's no time like the present"",
  ""English definition"": ""It means that the best time to do something is right now."",
  ""Chinese idiom 1"": ""机不可失，时不再来"",
  ""Chinese idiom 2"": ""一寸光阴一寸金"",
  ""Chinese idiom 3"": ""只争朝夕""
}
```",机不可失，时不再来,"'there's no time like the present' means '机不可失，时不再来'. Given the above knowledge, translate the following sentence to Chinese: 'I understand that there 's no time like the present but I have to develop this idea further before I start working on the business plan .'",我知道机不可失，时不再来，但我必须在开始制定商业计划之前进一步发展这个想法。,我明白机不可失，时不再来，但我必须在动手做商业计划之前进一步发展这个想法。,3,3,3,3
I zipped my lip for the entire presentation until I was forced to speak by Mrs and Shukla . ',zip oneâ€™s lip,to remain silent or keep a secret,"```json
{
  ""English idiom"": ""zip one’s lip"",
  ""English definition"": ""To remain silent or to stop talking, especially in situations where speaking may not be appropriate or desirable."",
  ""Chinese idiom 1"": ""守口如瓶"",
  ""Chinese idiom 2"": ""三缄其口"",
  ""Chinese idiom 3"": ""守口如瓶""
}
```",守口如瓶,"'zip oneâ€™s lip' means '守口如瓶'. Given the above knowledge, translate the following sentence to Chinese: 'I zipped my lip for the entire presentation until I was forced to speak by Mrs and Shukla . ''",我整个演讲过程中都守口如瓶，直到被Mrs和Shukla逼得不得不说话。,在整个演示过程中，我都守口如瓶，直到舒克拉女士逼我发言。,3,3,3,3
Uncle Ben has been racing against time ever since he has found out about the terminal illness .,race against time,to work against a rapidly approaching deadline or limited time period; to attempt to complete a task or achieve a goal in a very short amount of time,"```json
{
  ""English idiom"": ""race against time"",
  ""English definition"": ""To work very quickly to achieve a goal or complete a task because you have very little time available."",
  ""Chinese idiom 1"": ""分秒必争"",
  ""Chinese idiom 2"": ""争分夺秒"",
  ""Chinese idiom 3"": ""只争朝夕""
}
```",争分夺秒,"'race against time' means '争分夺秒'. Given the above knowledge, translate the following sentence to Chinese: 'Uncle Ben has been racing against time ever since he has found out about the terminal illness .'",本自本发现自己患终末疾病后一直在争分夺秒。,本叔自从得知患上绝症以来一直在争分夺秒。,3,3,3,3
"I heard you had a special date with Tom yesterday ; so did he pop the question , then ?",pop the question,to propose marriage,"{
    ""English idiom"": ""pop the question"",
    ""English definition"": ""To propose marriage."",
    ""Chinese idiom 1"": """",
    ""Chinese idiom 2"": """",
    ""Chinese idiom 3"": """"
}",To propose marriage.,"'pop the question' means 'To propose marriage.'. Given the above knowledge, translate the following sentence to Chinese: 'I heard you had a special date with Tom yesterday ; so did he pop the question , then ?'",我听说你昨天和汤姆有个特别的约会；那他求婚了吗？,我听说你昨天和汤姆有一个特别的约会；那么他向你求婚了吗？,3,3,3,3
Give yourselves a pat on the back for what you did .,pat on the back,to show approval or recognition for someone's achievements or efforts,"{
  ""English idiom"": ""pat on the back"",
  ""English definition"": ""An expression of praise or approval."",
  ""Chinese idiom 1"": ""赞不绝口"",
  ""Chinese idiom 2"": ""溢美之词"",
  ""Chinese idiom 3"": ""青睐有加""
}",赞不绝口,"'pat on the back' means '赞不绝口'. Given the above knowledge, translate the following sentence to Chinese: 'Give yourselves a pat on the back for what you did .'",为你们所做的事情自我赞赏。,为你们的所作所为好好地赞不绝口吧。,2,2,2,1
He criticizes her food a bit much and He may as well cook for himself from tomorrow .,a bit much,excessive or unreasonable; more than one can handle or tolerate,"{
  ""English idiom"": ""a bit much"",
  ""English definition"": ""Something that is excessive or unreasonable."",
  ""Chinese idiom 1"": ""过犹不及"",
  ""Chinese idiom 2"": ""得寸进尺"",
  ""Chinese idiom 3"": ""适得其反""
}",过犹不及,"'a bit much' means '过犹不及'. Given the above knowledge, translate the following sentence to Chinese: 'He criticizes her food a bit much and He may as well cook for himself from tomorrow .'",他对她的食物批评过于苛刻，从明天起他也许还不如自己动手做饭。,他对她的菜肴批评过犹不及，明天开始他不如自己做饭。,3,3,1,3
"Maria is so in love , she is as blind as a bat when it comes to Mark 's rude behavior .",blind as a bat,having extremely poor or no vision,"```json
{
  ""English idiom"": ""blind as a bat"",
  ""English definition"": ""Someone who is 'blind as a bat' has very poor eyesight or is unable to see well; it can also metaphorically mean someone who is unaware or ignorant of their surroundings."",
  ""Chinese idiom 1"": ""视而不见"",
  ""Chinese idiom 2"": ""睁眼瞎"",
  ""Chinese idiom 3"": """"
}
```",睁眼瞎,"'blind as a bat' means '睁眼瞎'. Given the above knowledge, translate the following sentence to Chinese: 'Maria is so in love , she is as blind as a bat when it comes to Mark 's rude behavior .'",玛丽亲如早盲，对马克的粗鲁行为视而不见。,玛丽亚深陷爱河，对于马克的粗鲁行为，她完全睁眼瞎。,3,3,1,1
This particular technology is quite out of the box in nature and should be a hit really easily.C196,think outside the box,to think creatively or unconventionally,"```json
{
  ""English idiom"": ""think outside the box"",
  ""English definition"": ""To think of creative or unconventional solutions, ideas, or thinking that is different from the norm."",
  ""Chinese idiom 1"": ""标新立异"",
  ""Chinese idiom 2"": ""别出心裁"",
  ""Chinese idiom 3"": ""异想天开""
}
```",标新立异,"'think outside the box' means '标新立异'. Given the above knowledge, translate the following sentence to Chinese: 'This particular technology is quite out of the box in nature and should be a hit really easily.C196'",这项特定技术的性质非常标新立异，应该很容易引起轰动。,这种特殊技术非常标新立异，很容易就会大受欢迎。,3,3,3,3
It is important that one does not neglect their children in order to spend quality time at work .,quality time,to spend meaningful and valuable time with someone,"{
  ""English idiom"": ""quality time"",
  ""English definition"": ""Time spent in giving someone one's undivided attention in order to strengthen a relationship, especially time spent with family or loved ones."",
  ""Chinese idiom 1"": ""天伦之乐"",
  ""Chinese idiom 2"": ""相亲相爱"",
  ""Chinese idiom 3"": """"
}",天伦之乐,"'quality time' means '天伦之乐'. Given the above knowledge, translate the following sentence to Chinese: 'It is important that one does not neglect their children in order to spend quality time at work .'",重要的是一个人不能忽视自己的孩子为了在工作中度过天伦之乐。,重要的是，一个人不要为了在工作上花费“天伦之乐”而忽视了自己的孩子。,3,2,1,1
"Low paying jobs are a dime a dozen and anyone can get one if they try , but the high paying ones are not so easy to get and require proper and relevant skills .",a dime a dozen,something that is very common or easy to obtain,"```json
{
  ""English idiom"": ""a dime a dozen"",
  ""English definition"": ""Very common and of little value"",
  ""Chinese idiom 1"": ""比比皆是"",
  ""Chinese idiom 2"": ""多如牛毛"",
  ""Chinese idiom 3"": """"
}
```",多如牛毛,"'a dime a dozen' means '多如牛毛'. Given the above knowledge, translate the following sentence to Chinese: 'Low paying jobs are a dime a dozen and anyone can get one if they try , but the high paying ones are not so easy to get and require proper and relevant skills .'",低薪工作多如牛毛，只要努力就能找到，但高薪工作不那么容易获得，需要适当和相关技能。,低薪工作多如牛毛，任何人只要努力都能找到，但高薪工作却没那么容易，需要适当且相关的技能。,3,3,3,3
"I 've heard my neighbour couple arguing , `` You are such a couch potato how can you dream about being slim you can only eat and watch television all the time . ''",couch potato,"someone who spends a lot of time sitting or lying down, typically watching television and being inactive","```json
{
  ""English idiom"": ""couch potato"",
  ""English definition"": ""A person who spends a lot of time sitting or lying down, usually watching television or playing video games and not being physically active."",
  ""Chinese idiom 1"": ""好逸恶劳"",
  ""Chinese idiom 2"": ""懒惰成性"",
  ""Chinese idiom 3"": """"
}
```",好逸恶劳,"'couch potato' means '好逸恶劳'. Given the above knowledge, translate the following sentence to Chinese: 'I 've heard my neighbour couple arguing , `` You are such a couch potato how can you dream about being slim you can only eat and watch television all the time . '''",我听到我的邻居夫妇争吵，“你是个好逸恶劳的人，怎么能梦想变瘦呢，你只会一直吃东西和看电视。”,我听到邻居夫妇在吵架，“你真是个好逸恶劳的人，你怎么能梦想变瘦呢，你只会吃和看电视。”,2,2,1,1
After the prisoner stabbed a guard he was sent to solitary confinement and It is called the black hole .,black hole,"a place or situation where things, especially money or resources, seem to disappear without trace","{
  ""English idiom"": ""black hole"",
  ""English definition"": ""A black hole is a metaphor for a situation or problem from which there is no escape and where things seem to be drawn in and lost, often referring to financial or resource drains."",
  ""Chinese idiom 1"": ""无底洞"",
  ""Chinese idiom 2"": """",
  ""Chinese idiom 3"": """"
}",无底洞,"'black hole' means '无底洞'. Given the above knowledge, translate the following sentence to Chinese: 'After the prisoner stabbed a guard he was sent to solitary confinement and It is called the black hole .'",在囚犯刺伤卫兵之后，他被送进了孤立监禁，这被称为无底洞。,囚犯刺伤狱警后被关进了单人禁闭室，那地方被称为无底洞。,3,3,1,1
"Although the work is round the clock , the payment for the same is quite meager .",round the clock,"continuous or non-stop, without interruption or pause","```json
{
  ""English idiom"": ""round the clock"",
  ""English definition"": ""Continuously for 24 hours, all day and all night."",
  ""Chinese idiom 1"": ""夜以继日"",
  ""Chinese idiom 2"": ""挑灯夜战"",
  ""Chinese idiom 3"": ""废寝忘食""
}
```",夜以继日,"'round the clock' means '夜以继日'. Given the above knowledge, translate the following sentence to Chinese: 'Although the work is round the clock , the payment for the same is quite meager .'",尽管工作是夜以继日，但报酬相当微薄。,虽然工作是夜以继日的，但报酬却很微薄。,3,3,3,3
The social parties in this area are just meant for old ladies to gather around and bad-mouth everyone who did not show up .,bad-mouth,to speak negatively or criticize someone or something,"```json
{
  ""English idiom"": ""bad-mouth"",
  ""English definition"": ""To speak negatively or criticize someone behind their back"",
  ""Chinese idiom 1"": ""说别人坏话"",
  ""Chinese idiom 2"": ""口出恶言"",
  ""Chinese idiom 3"": ""造谣生事""
}
```",说别人坏话,"'bad-mouth' means '说别人坏话'. Given the above knowledge, translate the following sentence to Chinese: 'The social parties in this area are just meant for old ladies to gather around and bad-mouth everyone who did not show up .'",这个地区的社交聚会只是为了老太太们聚在一起说别人没来的人的坏话。,这个地区的社交聚会只是为了让老年女士们聚在一起说没来参加聚会的人的坏话。,3,3,3,3
He is a loose cannon and would not be a good choice for a leader . ',loose cannon,an unpredictable or reckless person who can cause damage or harm,"```json
{
  ""English idiom"": ""loose cannon"",
  ""English definition"": ""A person who is unpredictable and can cause damage or problems due to their uncontrolled or reckless behavior."",
  ""Chinese idiom 1"": ""胡作非为"",
  ""Chinese idiom 2"": ""肆无忌惮"",
  ""Chinese idiom 3"": ""无法无天""
}
```",胡作非为,"'loose cannon' means '胡作非为'. Given the above knowledge, translate the following sentence to Chinese: 'He is a loose cannon and would not be a good choice for a leader . ''",他是个胡作非为的人，不适合当领袖。,他是个胡作非为的人，不是做领导的好选择。,3,3,2,2
The students were up in arms when they heard that their breaktime would be taken away due to poor behaviour .,up in arms,"to be angry, upset, or outraged about something","```json
{
  ""English idiom"": ""up in arms"",
  ""English definition"": ""Very angry or upset about something, ready to protest or fight."",
  ""Chinese idiom 1"": ""群情激愤"",
  ""Chinese idiom 2"": ""义愤填膺"",
  ""Chinese idiom 3"": """"
}
```",群情激愤,"'up in arms' means '群情激愤'. Given the above knowledge, translate the following sentence to Chinese: 'The students were up in arms when they heard that their breaktime would be taken away due to poor behaviour .'",学生们听说由于不良行为他们的休息时间会被取消时，群情激愤起来。,当学生们听说因行为不佳而要取消休息时间时，群情激愤。,3,3,3,3
