Idiomatic_Sent,Original_Idiom,en_meaning,high_similarity_english_idioms,Most_Relevant_English_Idiom,translation_instruction,English_Sentence_3.5,English_Sentence_4o,3.5_Evaluation_4,4o_Evaluation_4,"3,5_Evaluation_4o",4o_Evaluation_4o
平安夜祝福点评语：人品：公平正直。性格：四平八稳。特点：平易近人。家庭：歌舞升平。事业：平步青云。财运：七平八满。健康：心平气定。总结：平安无事。希望：欢若平生。祝你：。,四平八稳,steady and stable in all aspects,,,'四平八稳' means 'steady and stable in all aspects'. Given the above knowledge translate this sentence to English: 平安夜祝福点评语：人品：公平正直。性格：四平八稳。特点：平易近人。家庭：歌舞升平。事业：平步青云。财运：七平八满。健康：心平气定。总结：平安无事。希望：欢若平生。祝你：。.,Christmas Eve blessings and comments: Character: fair and upright. Personality: steady and stable in all aspects. Features: approachable. Family: harmonious and prosperous. Career: on the rise. Financial luck: stable and plentiful. Health: calm and peaceful. Conclusion: peace and security. Hope: happiness as always. Wishing you: .,Christmas Eve Blessing Review: Character: Fair and upright. Personality: Steady and stable in all aspects. Traits: Amiable and approachable. Family: Harmony and joy. Career: Smooth and successful. Wealth: Abundant prosperity. Health: Calm and composed. Summary: Peaceful and trouble-free. Wish: Happiness as always. Bless you:.,2,3,2.0,2
感情，也要棋逢对手才能缠绵缱倦。 #独木舟#,棋逢对手,encountering a capable opponent,,,'棋逢对手' means 'encountering a capable opponent'. Given the above knowledge translate this sentence to English: 感情，也要棋逢对手才能缠绵缱倦。 #独木舟#.,"In love, one must encounter a capable opponent in order to have a passionate and lingering relationship. #Canoe#","In love, only when encountering a capable counterpart can one experience deep and lingering affection.",3,3,2.0,2
蹉跎了岁月，也蹉跎了我们的心，但我们的意志是坚定的，你是我倾慕的海，是我义无返顾奔赴的海，是至死不变爱着的海！,至死不变,remain unwaveringly loyal or committed till death,,,'至死不变' means 'remain unwaveringly loyal or committed till death'. Given the above knowledge translate this sentence to English: 蹉跎了岁月，也蹉跎了我们的心，但我们的意志是坚定的，你是我倾慕的海，是我义无返顾奔赴的海，是至死不变爱着的海！.,"The years may have been wasted, our hearts may have been wasted, but our will is firm. You are the sea I adore, the sea I would rush to without looking back, the sea I love unswervingly till death!","""Wasted time and wasted hearts, but our resolve is firm; you are the sea I admire, the sea I resolutely rush towards, the sea I love unwaveringly till death!""",3,3,2.0,2
滕王阁修建在重峦叠嶂之间，因地制宜，美不胜收，是四大名楼之一。,美不胜收,"breathtakingly beautiful, to the point that it is beyond words",,,"'美不胜收' means 'breathtakingly beautiful, to the point that it is beyond words'. Given the above knowledge translate this sentence to English: 滕王阁修建在重峦叠嶂之间，因地制宜，美不胜收，是四大名楼之一。.","The Tengwang Pavilion is built between towering peaks and is breathtakingly beautiful, to the point that it is beyond words, making it one of the Four Great Towers.","The Pavilion of Prince Teng is built among overlapping mountain ranges, making full use of the terrain, breathtakingly beautiful, and is one of the Four Great Towers.",3,3,2.0,3
难怪信长在得到美浓以后，马上就把居城迁到这里，更是改为岐阜，使用‘天下布武’印，进而腾飞，迅速席卷天下。,席卷天下,"""sweep across the world"", referring to something or someone exerting a tremendous influence or impact on a global scale",,,"'席卷天下' means '""sweep across the world"", referring to something or someone exerting a tremendous influence or impact on a global scale'. Given the above knowledge translate this sentence to English: 难怪信长在得到美浓以后，马上就把居城迁到这里，更是改为岐阜，使用‘天下布武’印，进而腾飞，迅速席卷天下。.","No wonder after receiving Mino, Nobunaga immediately moved his residence here, renamed it Gifu, used the '天下布武' seal, and quickly swept across the world.","No wonder that after Nobunaga gained Mino, he immediately moved his residence here, renamed it Gifu, used the seal 'Tenka Fubu' (Unity Under Heaven), and then soared, swiftly sweeping across the world.",2,3,1.0,3
择善而从，是超越了所有的代价。,择善而从,choose the good and follow it,,,'择善而从' means 'choose the good and follow it'. Given the above knowledge translate this sentence to English: 择善而从，是超越了所有的代价。.,Choosing the good and following it is worth surpassing all costs.,Choosing the good and following it transcends all costs.,3,3,1.0,3
自从我跨入小学的大门以来，我上过许许多多的课，有生动活泼的语文课，有妙趣横生的数学课，还有奥妙无穷的自然课。,生动活泼,lively and vivacious,full of beans (0.78),full of beans,'生动活泼' means 'full of beans'. Given the above knowledge translate this sentence to English: 自从我跨入小学的大门以来，我上过许许多多的课，有生动活泼的语文课，有妙趣横生的数学课，还有奥妙无穷的自然课。.,"Since I stepped through the gates of elementary school, I have attended numerous classes, including lively Chinese lessons, fascinating math classes, and endless intriguing science classes.","Since I entered the gates of primary school, I have attended many classes: lively and engaging Chinese classes, fascinating and interesting math classes, and endlessly mysterious science classes.",3,3,2.0,3
在春风刚吹起的时节，绿油油的稻子昂首挺胸，颇有少年狂气，随着风的指挥左右摇摆；他曾经历过阳光雨露，也曾经历过暴风骤雨，但柔软的茎却未被折断，待秋天来到他饱含稻穗的头就悄然低下，那里面充满了智慧和感悟。,暴风骤雨,violent and sudden storm or situation,,,'暴风骤雨' means 'violent and sudden storm or situation'. Given the above knowledge translate this sentence to English: 在春风刚吹起的时节，绿油油的稻子昂首挺胸，颇有少年狂气，随着风的指挥左右摇摆；他曾经历过阳光雨露，也曾经历过暴风骤雨，但柔软的茎却未被折断，待秋天来到他饱含稻穗的头就悄然低下，那里面充满了智慧和感悟。.,"In the season when the spring breeze just started to blow, the lush green rice stood tall with a youthful vigor, swaying back and forth under the wind's command; it has experienced sunshine and rain, as well as violent and sudden storms, but its tender stalks remain unbroken. When autumn arrives, its head full of rice grains quietly bows down, filled with wisdom and insight.","In the season when the spring breeze just starts blowing, the lush green rice plants stand tall, exuding youthful exuberance, swaying left and right under the wind's command; they have endured sunshine and rain, as well as violent and sudden storms, yet their soft stems were not broken. When autumn arrives, their heads, heavy with rice grains, gently bow down, filled with wisdom and insight.",3,3,3.0,3
对日寇的进犯，军民们早已森严壁垒，严阵以待。也作“壁垒森严”。,壁垒森严,having a strict and formidable defense; also refers to a situation where there are many obstacles or barriers to overcome,,,'壁垒森严' means 'having a strict and formidable defense; also refers to a situation where there are many obstacles or barriers to overcome'. Given the above knowledge translate this sentence to English: 对日寇的进犯，军民们早已森严壁垒，严阵以待。也作“壁垒森严”。.,"Facing the invasion of the Japanese aggressors, the army and civilians had already set up a strict and formidable defense, standing ready for battle. Also known as ""having a strict and formidable defense"".","Regarding the Japanese invaders' attack, the military and civilians had long established a strict and formidable defense, ready for battle. This is also referred to as ""having a strict and formidable defense.""",3,3,2.0,2
雄鹰追求在万里无云的蓝天下展翅高飞；猎豹追求在一望无际的草原上飞快奔跑；鱼儿追求在波澜壮阔的大海中自由自在地游泳。,一望无际,"endless and boundless, stretching as far as the eye can see",,,"'一望无际' means 'endless and boundless, stretching as far as the eye can see'. Given the above knowledge translate this sentence to English: 雄鹰追求在万里无云的蓝天下展翅高飞；猎豹追求在一望无际的草原上飞快奔跑；鱼儿追求在波澜壮阔的大海中自由自在地游泳。.",The eagle pursues soaring high in the cloudless blue sky as far as the eye can see; the cheetah pursues running swiftly across the endless grasslands; the fish pursues swimming freely in the vast and tumultuous ocean.,"The eagle seeks to soar high under the vast, cloudless blue sky; the cheetah seeks to sprint across the boundless grasslands; the fish seeks to swim freely in the expansive, wave-filled ocean.",3,3,2.0,2
她默默地投身于创作，从不追求名利，就如此孑然一身地走完人生，但却活在众多读者的心中。,孑然一身,being alone or solitary,on your Tod (0.85),on your Tod,'孑然一身' means 'on your Tod'. Given the above knowledge translate this sentence to English: 她默默地投身于创作，从不追求名利，就如此孑然一身地走完人生，但却活在众多读者的心中。.,"She devoted herself quietly to creation, never seeking fame or fortune, walking through life on her Tod, but living in the hearts of many readers.","She quietly devoted herself to her creative work, never seeking fame or fortune, living her life alone, yet she lives on in the hearts of many readers.",2,3,1.0,3
天地会在漳厦和台湾地区扎根最深，举凡海陆运输、码头货栈、大小施工的行当被垄断了一半以上，甚至连官衙修堤造府，天地会都嘻皮笑脸的接工程、赚银子。,嘻皮笑脸,smiling and fawning,,,'嘻皮笑脸' means 'smiling and fawning'. Given the above knowledge translate this sentence to English: 天地会在漳厦和台湾地区扎根最深，举凡海陆运输、码头货栈、大小施工的行当被垄断了一半以上，甚至连官衙修堤造府，天地会都嘻皮笑脸的接工程、赚银子。.,"The Tiandihui has the deepest roots in Zhangsha and Taiwan, monopolizing over half of the industries such as sea and land transportation, dock warehouses, and construction. Even when it comes to official repairs and constructions, the Tiandihui is smiling and fawning, taking on projects and making money.","The Tiandihui had the deepest roots in Zhangsha and Taiwan, monopolizing more than half of the businesses of sea and land transport, docks and warehouses, and large and small construction projects. They even smiling and fawningly took on government projects like repairing dikes and building offices, making a profit in the process.",3,3,1.0,1
一天之计在于“辰”，辰时好光阴。吉祥壬辰年，生活有点甜。挑吉日良辰，干劲十足向前奔。邀日月星辰，赏美景良辰。龙年启程，龙马精神，祝马到功成！,马到功成,achieve success immediately and effortlessly,,,'马到功成' means 'achieve success immediately and effortlessly'. Given the above knowledge translate this sentence to English: 一天之计在于“辰”，辰时好光阴。吉祥壬辰年，生活有点甜。挑吉日良辰，干劲十足向前奔。邀日月星辰，赏美景良辰。龙年启程，龙马精神，祝马到功成！.,"A day's plan is determined by ""辰"", good times at 辰 hour. With auspicious year of Renchen, life is a bit sweet. Choose an auspicious day and time, full of energy to move forward. Invite the sun, moon, and stars, enjoy the beautiful scenery. Start the journey in the Year of the Dragon, full of vigor and vitality, wishing for success to come effortlessly like a galloping horse!","The plan of the day lies in the ""morning,"" and the morning hours are golden. Auspicious Renchen year, life is a bit sweet. Choose a good day and time, and move forward with full drive. Invite the sun, moon, and stars, and enjoy the beautiful scenery and good times. Set off in the Year of the Dragon with the spirit of a dragon and horse, wishing you immediate and effortless success!",2,3,2.0,2
让我们像勇敢的海燕，勇敢如诗，无视风雨的挑衅；让我们像勇敢的霍金，勇敢如风，改写生命的诗歌，让我们像那无边无际的大海，把自己的波澜壮阔献给世间！,波澜壮阔,a grand and magnificent sight or scene,,,'波澜壮阔' means 'a grand and magnificent sight or scene'. Given the above knowledge translate this sentence to English: 让我们像勇敢的海燕，勇敢如诗，无视风雨的挑衅；让我们像勇敢的霍金，勇敢如风，改写生命的诗歌，让我们像那无边无际的大海，把自己的波澜壮阔献给世间！.,"Let us be brave like the fearless storm petrel, fearless like a poem, ignoring the challenges of wind and rain; let us be brave like the fearless Hawking, fearless like the wind, rewriting the poetry of life, let us be like the boundless ocean, offering our grand and magnificent selves to the world!","Let us be like brave seabirds, as brave as poetry, ignoring the provocations of wind and rain; let us be like the brave Hawking, as brave as the wind, rewriting the poetry of life; let us be like the boundless ocean, offering our grand and magnificent waves to the world!",3,3,2.0,2
记事文不能只按事情的发展顺序，平铺直叙地写下来。,平铺直叙,presenting information in a straightforward and sequential manner,,,'平铺直叙' means 'presenting information in a straightforward and sequential manner'. Given the above knowledge translate this sentence to English: 记事文不能只按事情的发展顺序，平铺直叙地写下来。.,"Narrative writing should not only be written in the order of events, presented in a straightforward and sequential manner.",A narrative essay cannot be written merely by following the chronological order and presenting information in a straightforward manner.,3,3,1.0,3
童心是个宝，让我们共同呵护！做孩子的良师益友，与孩子共同成长！,良师益友,Good teacher and helpful friend,,,'良师益友' means 'Good teacher and helpful friend'. Given the above knowledge translate this sentence to English: 童心是个宝，让我们共同呵护！做孩子的良师益友，与孩子共同成长！.,"Childhood is a treasure, let's protect it together! Be a good teacher and helpful friend to children, and grow together with them!","A child's heart is a treasure, let's protect it together! Be a good teacher and helpful friend to children, and grow together with them!",3,3,2.0,2
诚心不曾感天动地，誓言没有惊天动地，爱情没有欢天喜地，人生不求经天纬地，只想和你谈天说地，哪怕经历冰天雪地，你嫁给我谢天谢地，和你一起写下幸福的铺天盖地。,欢天喜地,extremely happy or joyful,"as happy as a clam (0.77), be on cloud nine (0.90), feel like a million (0.75), full of the joys of spring (0.89), happy as a clam (0.88), on cloud nine (0.90), on top of the world (0.89), over the moon (0.94), pleased as punch (0.77), ray of sunshine (0.80), tickled pink (0.81), walk on air (0.88), walking on air (0.93), warm the cockles of someone's heart (0.73)",as happy as a clam,'欢天喜地' means 'as happy as a clam'. Given the above knowledge translate this sentence to English: 诚心不曾感天动地，誓言没有惊天动地，爱情没有欢天喜地，人生不求经天纬地，只想和你谈天说地，哪怕经历冰天雪地，你嫁给我谢天谢地，和你一起写下幸福的铺天盖地。.,"Sincerely never moving heaven and earth, vows not earth-shattering, love not as happy as a clam, life not seeking the four corners of the world, just want to chat with you, even if experiencing hardships, marry you gratefully, write down overwhelming happiness with you.","Sincerity was never earth-shattering, promises were not groundbreaking, love was not as happy as a clam, life does not seek greatness, but only to chat with you, even through trials and tribulations. If you marry me, I will be profoundly grateful, and together we will create overwhelming happiness.",2,3,1.0,2
爱情的，满面春风；友情的，满座宾朋；才华的，满腹经纶；事业的，满腔热忱。亲爱的，小满日来到，愿你一切，成功的，心满意足！,满腔热忱,full of enthusiasm,heart and soul (0.73),heart and soul,'满腔热忱' means 'heart and soul'. Given the above knowledge translate this sentence to English: 爱情的，满面春风；友情的，满座宾朋；才华的，满腹经纶；事业的，满腔热忱。亲爱的，小满日来到，愿你一切，成功的，心满意足！.,"In love, spring is in the air; in friendship, surrounded by guests; in talent, full of wisdom; in career, wholehearted. Dear one, Xiaoman Day has arrived, may all your endeavors be successful and fulfilling!","In love, a face full of spring; in friendship, a room full of guests; in talent, a mind full of knowledge; in career, heart and soul. Dear, as the Xiaoman day arrives, I wish you everything, and may you be completely satisfied with your successes!",3,2,2.0,2
他本来是一个很高明的司机，却偏偏在人烟稀少、道路平垣的地方出了事故，这真是所谓“骑驴觅驴”。,骑驴觅驴,Searching for something that is right in front of you,,,'骑驴觅驴' means 'Searching for something that is right in front of you'. Given the above knowledge translate this sentence to English: 他本来是一个很高明的司机，却偏偏在人烟稀少、道路平垣的地方出了事故，这真是所谓“骑驴觅驴”。.,"He was originally a very skilled driver, but unfortunately got into an accident in a remote and straight road, truly exemplifying the phrase ""Searching for something that is right in front of you"".","He was originally a very skilled driver, yet he had an accident in a sparsely populated, flat area; this truly is a case of ""searching for something that is right in front of you.""",3,3,2.0,2
在市场经济还不完善的情况下，市场上免不了出现泥沙俱下、鱼龙混杂的现象，只要我们加强管理，就能把假冒伪劣产品逐步消灭干净。,鱼龙混杂,"a mix of good and bad, with both genuine and deceitful people present",,,"'鱼龙混杂' means 'a mix of good and bad, with both genuine and deceitful people present'. Given the above knowledge translate this sentence to English: 在市场经济还不完善的情况下，市场上免不了出现泥沙俱下、鱼龙混杂的现象，只要我们加强管理，就能把假冒伪劣产品逐步消灭干净。.","In an imperfect market economy, it is inevitable to see a mix of good and bad, with both genuine and deceitful people present in the market. By strengthening management, we can gradually eliminate counterfeit products.","In the context of an underdeveloped market economy, the phenomenon of a mix of good and bad, with both genuine and deceitful products is inevitable in the market; however, as long as we strengthen management, we can gradually eliminate counterfeit and inferior products.",2,3,2.0,2
我们已经有太多法律条文和规定了，但是知法犯法的情况还是屡禁不止，所以我认为核心问题是法律的执行，而不是法律的制定。,知法犯法,knowing the law but still breaking it,,,'知法犯法' means 'knowing the law but still breaking it'. Given the above knowledge translate this sentence to English: 我们已经有太多法律条文和规定了，但是知法犯法的情况还是屡禁不止，所以我认为核心问题是法律的执行，而不是法律的制定。.,"We already have too many laws and regulations, but the act of knowing the law but still breaking it continues to persist, so I believe the core issue lies in the enforcement of the law, rather than the establishment of the law.","We already have too many laws and regulations, but instances of knowing the law yet still breaking it continue to occur repeatedly, so I believe the core issue lies in the enforcement of the law, not its creation.",3,3,1.0,2
她的最有挑战性的作品，《长恨歌》是一部优美的、超越历史足迹的往事之歌，是从40年代至今，一位早期上海叱咤风云人物的苦难。,风云人物,a prominent and influential figure in society,big hitter (0.78),big hitter,'风云人物' means 'big hitter'. Given the above knowledge translate this sentence to English: 她的最有挑战性的作品，《长恨歌》是一部优美的、超越历史足迹的往事之歌，是从40年代至今，一位早期上海叱咤风云人物的苦难。.,"Her most challenging work, ""Chang Hen Ge,"" is a beautiful, transcendent song of the past that goes beyond historical footprints, depicting the hardships of a big hitter in early Shanghai from the 1940s to the present day.","Her most challenging work, ""The Song of Everlasting Sorrow,"" is a beautiful, timeless story that transcends historical footprints, depicting the suffering of an early Shanghai big hitter from the 1940s to the present.",2,2,2.0,1
两年前，他就偃旗息鼓，不再搞文学创作了。,偃旗息鼓,"to retreat and remain silent, to stop all activities",,,"'偃旗息鼓' means 'to retreat and remain silent, to stop all activities'. Given the above knowledge translate this sentence to English: 两年前，他就偃旗息鼓，不再搞文学创作了。.","Two years ago, he retreated and remained silent, no longer engaging in literary creation.","Two years ago, he retreated and stopped writing literature.",2,2,1.0,1
他们不是为了精忠报国而去的吗，他们不是为了赤心报国而去的吗?一腔热血都洒了，忠胆头颅都抛了，可是国又给了他们什么?是阴谋迫害，是满门抄斩!,赤心报国,devotion to one's country with a sincere heart,,,'赤心报国' means 'devotion to one's country with a sincere heart'. Given the above knowledge translate this sentence to English: 他们不是为了精忠报国而去的吗，他们不是为了赤心报国而去的吗?一腔热血都洒了，忠胆头颅都抛了，可是国又给了他们什么?是阴谋迫害，是满门抄斩!.,"Aren't they going for the sake of devoting their loyalty to the country with a sincere heart? They've shed all their hot blood, thrown away their loyalty and courage, but what has the country given them? It's schemes of persecution, it's decimating their entire family!","Didn't they go for the sake of devoting themselves wholeheartedly to their country? Didn't they go for the sake of serving their country with a sincere heart? They shed all their blood and sacrificed their loyal hearts, but what did the country give them in return? It was conspiracies and persecution, it was the extermination of their entire families!",2,3,1.0,2
今天他打扮的花枝招展的像个小姑娘一样还真的有点不习惯。,花枝招展,"to appear attractive and eye-catching, especially in terms of appearance or attire",easy on the eye (0.83),easy on the eye,'花枝招展' means 'easy on the eye'. Given the above knowledge translate this sentence to English: 今天他打扮的花枝招展的像个小姑娘一样还真的有点不习惯。.,"Today he is dressed so easy on the eye that he looks a bit like a little girl, which feels a bit unusual.","Today, he dressed up so flamboyantly like a little girl that it was really a bit hard to get used to.",2,3,1.0,2
女人都八卦，越上岁数就更变本加厉。,变本加厉,to become even worse or more severe,"go to hell in a handbasket (0.76), to make matters worse (0.77)",go to hell in a handbasket,'变本加厉' means 'go to hell in a handbasket'. Given the above knowledge translate this sentence to English: 女人都八卦，越上岁数就更变本加厉。.,"Women are all gossipy, the older they get, the more they go to hell in a handbasket.","Women are all gossips, and as they get older, they go to hell in a handbasket.",1,1,1.0,1
软弱无能的晚清统治者，丧权辱国，与帝国主义签订了许多不平等条约。,丧权辱国,being humiliated and losing national sovereignty,,,'丧权辱国' means 'being humiliated and losing national sovereignty'. Given the above knowledge translate this sentence to English: 软弱无能的晚清统治者，丧权辱国，与帝国主义签订了许多不平等条约。.,The weak and incompetent rulers of the late Qing Dynasty were humiliated and lost national sovereignty by signing numerous unequal treaties with imperialist powers.,"The weak and incompetent late Qing rulers were humiliated and lost national sovereignty, signing numerous unequal treaties with imperialist powers.",3,3,1.0,2
历日经年，水滴石穿。持之以恒，功果自显。,持之以恒,persevere and persist in doing something,"go the distance (0.78), hang in there (0.86), hang tough (0.78), keep on trucking (0.76), roll with the punches (0.73), stay the course (0.78), stay the distance (0.77)",go the distance,'持之以恒' means 'go the distance'. Given the above knowledge translate this sentence to English: 历日经年，水滴石穿。持之以恒，功果自显。.,"Through days and years, water dripping on stone. Go the distance, and the fruits of your labor will show.","Through days and years, water drops can wear through stone. Go the distance, and success will naturally appear.",2,3,2.0,2
我一个人在家中，听到窗外传来毛骨悚然的猫叫声，不禁胆战心惊，一直处于提心吊胆的状态中。,提心吊胆,living in constant fear and anxiety,,,'提心吊胆' means 'living in constant fear and anxiety'. Given the above knowledge translate this sentence to English: 我一个人在家中，听到窗外传来毛骨悚然的猫叫声，不禁胆战心惊，一直处于提心吊胆的状态中。.,"I was at home alone when I heard a spine-chilling cat's meow outside the window, which made me tremble with fear and anxiety, constantly living in a state of fear and anxiety.","I was alone at home, and when I heard the eerie sound of a cat meowing outside the window, I couldn't help but feel frightened and anxious, constantly living in a state of fear and anxiety.",3,3,1.0,2
朱铭大师的太极系列，是目无全牛、大刀阔斧的巨作。,大刀阔斧,taking bold and decisive action,,,'大刀阔斧' means 'taking bold and decisive action'. Given the above knowledge translate this sentence to English: 朱铭大师的太极系列，是目无全牛、大刀阔斧的巨作。.,"Master Zhu Ming's Tai Chi series is a bold and decisive masterpiece, showing great skill and determination.","The Tai Chi series by Master Zhu Ming is a masterpiece created with great audacity and bold, decisive action.",3,3,1.0,2
