Idiomatic_Sent,Original_Idiom,en_meaning,translation_instruction,English_Sentence_3.5,English_Sentence_4o,3.5_Evaluation_4,4o_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4o
平安夜祝福点评语：人品：公平正直。性格：四平八稳。特点：平易近人。家庭：歌舞升平。事业：平步青云。财运：七平八满。健康：心平气定。总结：平安无事。希望：欢若平生。祝你：。,四平八稳,steady and stable in all aspects,Translate this sentence to English: '平安夜祝福点评语：人品：公平正直。性格：四平八稳。特点：平易近人。家庭：歌舞升平。事业：平步青云。财运：七平八满。健康：心平气定。总结：平安无事。希望：欢若平生。祝你：。',Christmas Eve blessings review: Character: fair and upright. Personality: steady and stable. Features: approachable. Family: harmonious. Career: thriving. Financial luck: abundant. Health: calm and composed. Conclusion: peace and safety. Hope: joy as always. Wishing you: peace and happiness.,Christmas Eve blessing comments: Character: Fair and upright. Personality: Steady and reliable. Traits: Amiable. Family: Peaceful and harmonious. Career: Smooth and successful. Wealth: Sufficient and stable. Health: Calm and composed. Summary: Safe and sound. Hope: Joyful as ever. Wishing you:.,3,3,2,2
感情，也要棋逢对手才能缠绵缱倦。 #独木舟#,棋逢对手,encountering a capable opponent,Translate this sentence to English: '感情，也要棋逢对手才能缠绵缱倦。 #独木舟#','Emotions need a worthy opponent to be entangled and linger.' #canoe#,"""Love, too, requires a worthy opponent to be truly entangled in passion. #Canoe#""",2,3,1,3
蹉跎了岁月，也蹉跎了我们的心，但我们的意志是坚定的，你是我倾慕的海，是我义无返顾奔赴的海，是至死不变爱着的海！,至死不变,remain unwaveringly loyal or committed till death,Translate this sentence to English: '蹉跎了岁月，也蹉跎了我们的心，但我们的意志是坚定的，你是我倾慕的海，是我义无返顾奔赴的海，是至死不变爱着的海！',"The years have been wasted, our hearts have been wasted, but our determination is firm. You are the sea I admire, the sea I will rush to without hesitation, the sea I will love until death!","""Wasted years have also wasted our hearts, but our will is resolute; you are the sea I admire, the sea I rush towards without hesitation, the sea I love unchangingly until death!""",2,3,2,2
滕王阁修建在重峦叠嶂之间，因地制宜，美不胜收，是四大名楼之一。,美不胜收,"breathtakingly beautiful, to the point that it is beyond words",Translate this sentence to English: '滕王阁修建在重峦叠嶂之间，因地制宜，美不胜收，是四大名楼之一。',"The Tengwang Pavilion is built among towering mountains and winding peaks, tailored to the local conditions, and is incredibly beautiful, making it one of the four famous towers.","""Tengwang Pavilion is built among a series of overlapping mountain ranges, adapting to the local conditions, and is exceptionally beautiful, being one of the Four Great Towers.""",3,3,2,2
难怪信长在得到美浓以后，马上就把居城迁到这里，更是改为岐阜，使用‘天下布武’印，进而腾飞，迅速席卷天下。,席卷天下,"""sweep across the world"", referring to something or someone exerting a tremendous influence or impact on a global scale",Translate this sentence to English: '难怪信长在得到美浓以后，马上就把居城迁到这里，更是改为岐阜，使用‘天下布武’印，进而腾飞，迅速席卷天下。',"No wonder after Nobunaga received Mino, he immediately moved his residence here, changed it to Gifu, used the 'Heavenly Military' seal, and quickly swept through the world.","""No wonder Nobunaga, after acquiring Mino, immediately moved his residence here, renamed it Gifu, used the seal 'Tenka Fubu,' and then soared, quickly sweeping across the land.""",2,3,1,3
择善而从，是超越了所有的代价。,择善而从,choose the good and follow it,Translate this sentence to English: '择善而从，是超越了所有的代价。',To choose the good and follow it is to surpass all costs.,"""Choose what is good and follow it, transcending all costs.""",3,3,1,2
自从我跨入小学的大门以来，我上过许许多多的课，有生动活泼的语文课，有妙趣横生的数学课，还有奥妙无穷的自然课。,生动活泼,lively and vivacious,Translate this sentence to English: '自从我跨入小学的大门以来，我上过许许多多的课，有生动活泼的语文课，有妙趣横生的数学课，还有奥妙无穷的自然课。',"Since I stepped through the gates of elementary school, I have taken many different classes, including lively Chinese classes, interesting math classes, and mysterious natural science classes.","Since I entered elementary school, I have attended many classes, including lively language classes, fascinating math classes, and endlessly intriguing science classes.",3,3,2,3
在春风刚吹起的时节，绿油油的稻子昂首挺胸，颇有少年狂气，随着风的指挥左右摇摆；他曾经历过阳光雨露，也曾经历过暴风骤雨，但柔软的茎却未被折断，待秋天来到他饱含稻穗的头就悄然低下，那里面充满了智慧和感悟。,暴风骤雨,violent and sudden storm or situation,Translate this sentence to English: '在春风刚吹起的时节，绿油油的稻子昂首挺胸，颇有少年狂气，随着风的指挥左右摇摆；他曾经历过阳光雨露，也曾经历过暴风骤雨，但柔软的茎却未被折断，待秋天来到他饱含稻穗的头就悄然低下，那里面充满了智慧和感悟。',"In the season when the spring breeze just started blowing, the lush green rice plants stood tall and proud, exuding a youthful vigor, swaying left and right as directed by the wind; they have experienced sunshine and rain, as well as storms, but their supple stems remain unbroken. As autumn arrives, their heads, filled with rice grains, quietly bow down, brimming with wisdom and insight.","In the season when the spring breeze just begins to blow, the lush green rice plants stand tall and proud, full of youthful exuberance, swaying with the wind's command; they have experienced sunshine and rain, as well as storms, but their soft stems have not been broken. When autumn arrives, their heads heavy with grains quietly bow down, filled with wisdom and insight.",3,3,3,3
对日寇的进犯，军民们早已森严壁垒，严阵以待。也作“壁垒森严”。,壁垒森严,having a strict and formidable defense; also refers to a situation where there are many obstacles or barriers to overcome,Translate this sentence to English: '对日寇的进犯，军民们早已森严壁垒，严阵以待。也作“壁垒森严”。',"The military and civilians have already built up a strong defense against the Japanese invaders, standing ready for battle. Also known as ""fortress-like defenses"".","""To counter the invasion of the Japanese aggressors, the military and civilians have long established impregnable defenses and are in full battle readiness. Also expressed as 'impregnable defenses'.""",3,3,2,3
雄鹰追求在万里无云的蓝天下展翅高飞；猎豹追求在一望无际的草原上飞快奔跑；鱼儿追求在波澜壮阔的大海中自由自在地游泳。,一望无际,"endless and boundless, stretching as far as the eye can see",Translate this sentence to English: '雄鹰追求在万里无云的蓝天下展翅高飞；猎豹追求在一望无际的草原上飞快奔跑；鱼儿追求在波澜壮阔的大海中自由自在地游泳。',The eagle pursues soaring high in the cloudless blue sky for thousands of miles; the cheetah pursues running swiftly across the boundless grassland; the fish pursues swimming freely in the vast and turbulent ocean.,"""The eagle aspires to soar high in the cloudless blue sky; the cheetah strives to sprint swiftly across the boundless grasslands; the fish seek to swim freely in the vast, rolling ocean.""",3,3,2,3
她默默地投身于创作，从不追求名利，就如此孑然一身地走完人生，但却活在众多读者的心中。,孑然一身,being alone or solitary,Translate this sentence to English: '她默默地投身于创作，从不追求名利，就如此孑然一身地走完人生，但却活在众多读者的心中。',"She quietly devoted herself to creation, never seeking fame or fortune, and walked through life alone, yet living on in the hearts of many readers.","Silently, she devoted herself to creation, never seeking fame or fortune, living her life alone but residing in the hearts of many readers.",3,3,3,3
天地会在漳厦和台湾地区扎根最深，举凡海陆运输、码头货栈、大小施工的行当被垄断了一半以上，甚至连官衙修堤造府，天地会都嘻皮笑脸的接工程、赚银子。,嘻皮笑脸,smiling and fawning,Translate this sentence to English: '天地会在漳厦和台湾地区扎根最深，举凡海陆运输、码头货栈、大小施工的行当被垄断了一半以上，甚至连官衙修堤造府，天地会都嘻皮笑脸的接工程、赚银子。',"The Heaven and Earth Society has the deepest roots in the Zhangzhou-Xiamen and Taiwan regions, monopolizing over half of various industries such as maritime and land transportation, dockyards, warehouses, and construction. They even jovially accept government projects like repairing embankments and building mansions to make money.","""The Tiandihui had the deepest roots in the Zhang-Xia and Taiwan regions, monopolizing more than half of the businesses related to land and sea transportation, docks, and warehouses, as well as large and small construction projects. They even cheekily took on contracts for government projects like repairing dikes and building offices, making money in the process.""",3,3,2,3
一天之计在于“辰”，辰时好光阴。吉祥壬辰年，生活有点甜。挑吉日良辰，干劲十足向前奔。邀日月星辰，赏美景良辰。龙年启程，龙马精神，祝马到功成！,马到功成,achieve success immediately and effortlessly,Translate this sentence to English: '一天之计在于“辰”，辰时好光阴。吉祥壬辰年，生活有点甜。挑吉日良辰，干劲十足向前奔。邀日月星辰，赏美景良辰。龙年启程，龙马精神，祝马到功成！',"A day's plan is in the ""hour of 辰"", as the hour of 辰 brings good time. In the auspicious year of Renchen, life is a little sweet. Choose an auspicious day and hour, and move forward with full energy. Invite the sun, moon, and stars, and enjoy the beautiful scenery. Setting off in the year of the Dragon, with the spirit of the dragon and horse, wishing success upon arrival!","""The plan of the day lies in the morning; morning time is good time. In the auspicious Year of the Water Dragon, life is a bit sweet. Choose a lucky day and time, and move forward with full vigor. Invite the sun, moon, and stars to enjoy beautiful moments. Set out in the Year of the Dragon with the spirit of the dragon and horse, and may you achieve success swiftly!""",2,3,2,2
让我们像勇敢的海燕，勇敢如诗，无视风雨的挑衅；让我们像勇敢的霍金，勇敢如风，改写生命的诗歌，让我们像那无边无际的大海，把自己的波澜壮阔献给世间！,波澜壮阔,a grand and magnificent sight or scene,Translate this sentence to English: '让我们像勇敢的海燕，勇敢如诗，无视风雨的挑衅；让我们像勇敢的霍金，勇敢如风，改写生命的诗歌，让我们像那无边无际的大海，把自己的波澜壮阔献给世间！',"Let us be brave like the fearless petrel, brave like poetry, ignoring the challenges of wind and rain; let us be brave like the fearless Hawking, brave like the wind, rewriting the poetry of life, let us be like the boundless ocean, offering our vast waves to the world!","""Let us be like the brave sea swallows, courageous as poetry, defying the provocation of storms; let us be like the brave Hawking, courageous as the wind, rewriting the poem of life; let us be like the boundless ocean, dedicating our vast and magnificent waves to the world!""",3,3,2,3
记事文不能只按事情的发展顺序，平铺直叙地写下来。,平铺直叙,presenting information in a straightforward and sequential manner,Translate this sentence to English: '记事文不能只按事情的发展顺序，平铺直叙地写下来。',Narratives should not be written just following the chronological order of events in a straightforward manner.,"""Descriptive essays cannot be written in a straightforward manner merely following the chronological order of events.""",3,3,2,2
童心是个宝，让我们共同呵护！做孩子的良师益友，与孩子共同成长！,良师益友,Good teacher and helpful friend,Translate this sentence to English: '童心是个宝，让我们共同呵护！做孩子的良师益友，与孩子共同成长！',"Childhood innocence is precious, let us protect it together! Be a good mentor and friend to children, and grow together with them!","""A child's heart is a treasure, let us nurture it together! Be a good mentor and friend to children, and grow together with them!""",3,3,3,3
诚心不曾感天动地，誓言没有惊天动地，爱情没有欢天喜地，人生不求经天纬地，只想和你谈天说地，哪怕经历冰天雪地，你嫁给我谢天谢地，和你一起写下幸福的铺天盖地。,欢天喜地,extremely happy or joyful,Translate this sentence to English: '诚心不曾感天动地，誓言没有惊天动地，爱情没有欢天喜地，人生不求经天纬地，只想和你谈天说地，哪怕经历冰天雪地，你嫁给我谢天谢地，和你一起写下幸福的铺天盖地。',"Sincerely never moved heaven and earth, vows not earth-shattering, love not ecstatic, life not seeking to move heaven and earth, just want to talk with you, even if experiencing extreme conditions, marry you and be grateful, and write down happiness with you.","Sincerity has never moved heaven and earth, vows have never shaken the world, love has never brought overwhelming joy, life doesn't aim to achieve great feats, I just want to chat with you about everything, even if we go through icy weather, I would be grateful if you marry me, and together we will write a story of boundless happiness.",2,3,1,2
爱情的，满面春风；友情的，满座宾朋；才华的，满腹经纶；事业的，满腔热忱。亲爱的，小满日来到，愿你一切，成功的，心满意足！,满腔热忱,full of enthusiasm,Translate this sentence to English: '爱情的，满面春风；友情的，满座宾朋；才华的，满腹经纶；事业的，满腔热忱。亲爱的，小满日来到，愿你一切，成功的，心满意足！',"Love brings a radiant smile; friendship fills the room with guests; talent is filled with wisdom; career is filled with passion. Dear one, the Grain Buds festival has arrived, wishing you all success and contentment!","""In love, beaming with joy; in friendship, surrounded by good company; in talent, full of wisdom; in career, filled with passion. Dear, as Xiaoman Day arrives, I wish you everything, successful and satisfying!""",3,3,2,3
他本来是一个很高明的司机，却偏偏在人烟稀少、道路平垣的地方出了事故，这真是所谓“骑驴觅驴”。,骑驴觅驴,Searching for something that is right in front of you,Translate this sentence to English: '他本来是一个很高明的司机，却偏偏在人烟稀少、道路平垣的地方出了事故，这真是所谓“骑驴觅驴”。',"He was originally a very skilled driver, but unfortunately got into an accident in a remote and deserted area with smooth roads, truly a case of ""looking for a donkey while riding on one"".","He was originally a very skilled driver, yet he had an accident in a sparsely populated, flat area, which is truly what they call ""looking for a donkey while riding one.""",2,2,1,1
在市场经济还不完善的情况下，市场上免不了出现泥沙俱下、鱼龙混杂的现象，只要我们加强管理，就能把假冒伪劣产品逐步消灭干净。,鱼龙混杂,"a mix of good and bad, with both genuine and deceitful people present",Translate this sentence to English: '在市场经济还不完善的情况下，市场上免不了出现泥沙俱下、鱼龙混杂的现象，只要我们加强管理，就能把假冒伪劣产品逐步消灭干净。',"In an imperfect market economy, it is inevitable to see a mixed bag of good and bad products. With strengthened management, we can gradually eliminate counterfeit and shoddy products.","""In a still-imperfect market economy, it is inevitable that there will be a mix of good and bad elements; as long as we strengthen management, we can gradually eliminate counterfeit and inferior products.""",3,3,2,3
我们已经有太多法律条文和规定了，但是知法犯法的情况还是屡禁不止，所以我认为核心问题是法律的执行，而不是法律的制定。,知法犯法,knowing the law but still breaking it,Translate this sentence to English: '我们已经有太多法律条文和规定了，但是知法犯法的情况还是屡禁不止，所以我认为核心问题是法律的执行，而不是法律的制定。',"I believe the core issue is the enforcement of laws, rather than the establishment of laws, as we already have too many legal provisions and regulations but the situation of breaking the law persists.","""We already have too many laws and regulations, but cases of knowing the law and breaking it still persist, so I believe the core issue is the enforcement of the law, not the making of the law.""",3,3,2,3
她的最有挑战性的作品，《长恨歌》是一部优美的、超越历史足迹的往事之歌，是从40年代至今，一位早期上海叱咤风云人物的苦难。,风云人物,a prominent and influential figure in society,Translate this sentence to English: '她的最有挑战性的作品，《长恨歌》是一部优美的、超越历史足迹的往事之歌，是从40年代至今，一位早期上海叱咤风云人物的苦难。',"Her most challenging work, ""Song of Everlasting Sorrow,"" is a beautiful, transcendent ballad of past events that spans from the 1940s to the present, depicting the struggles of an early Shanghai figure.","Her most challenging work, ""The Song of Everlasting Sorrow,"" is a beautiful song of bygone days that transcends historical footprints, recounting the suffering of a prominent figure in early Shanghai from the 1940s to the present.",3,3,2,2
两年前，他就偃旗息鼓，不再搞文学创作了。,偃旗息鼓,"to retreat and remain silent, to stop all activities",Translate this sentence to English: '两年前，他就偃旗息鼓，不再搞文学创作了。',"Two years ago, he laid down his pen and ceased literary creation.","""Two years ago, he laid down his pen and stopped his literary creation.""",3,3,2,1
他们不是为了精忠报国而去的吗，他们不是为了赤心报国而去的吗?一腔热血都洒了，忠胆头颅都抛了，可是国又给了他们什么?是阴谋迫害，是满门抄斩!,赤心报国,devotion to one's country with a sincere heart,Translate this sentence to English: '他们不是为了精忠报国而去的吗，他们不是为了赤心报国而去的吗?一腔热血都洒了，忠胆头颅都抛了，可是国又给了他们什么?是阴谋迫害，是满门抄斩!',"Did they not go in order to be loyal and serve their country? Did they not go in order to be devoted and serve their country? They shed their hot blood, they sacrificed their loyalty and courage, but what has their country given them? It is conspiracy and persecution, it is wiping out their entire family!","""Didn't they go for the sake of loyalty and patriotism, didn't they go for the sake of wholehearted devotion to the country? They shed all their blood and sacrificed their brave lives, but what did the country give them in return? Conspiracies, persecution, and the extermination of their entire families!""",3,3,2,2
今天他打扮的花枝招展的像个小姑娘一样还真的有点不习惯。,花枝招展,"to appear attractive and eye-catching, especially in terms of appearance or attire",Translate this sentence to English: '今天他打扮的花枝招展的像个小姑娘一样还真的有点不习惯。',Today he dressed up so flamboyantly like a little girl that it's really a bit unusual.,"""Today he dressed up flamboyantly like a little girl, and it really felt a bit unusual.""",3,3,2,2
女人都八卦，越上岁数就更变本加厉。,变本加厉,to become even worse or more severe,Translate this sentence to English: '女人都八卦，越上岁数就更变本加厉。',"Women are all gossips, and the older they get, the more relentless they become.","""Women are all gossipy, and they become even more so as they get older.""",3,3,2,2
软弱无能的晚清统治者，丧权辱国，与帝国主义签订了许多不平等条约。,丧权辱国,being humiliated and losing national sovereignty,Translate this sentence to English: '软弱无能的晚清统治者，丧权辱国，与帝国主义签订了许多不平等条约。',"The weak and incompetent rulers of the late Qing Dynasty, deprived of their rights and humiliated the country, signed many unequal treaties with imperialist powers.","""The weak and incompetent late Qing rulers humiliated the nation and signed many unequal treaties with imperialist powers.""",2,3,2,3
历日经年，水滴石穿。持之以恒，功果自显。,持之以恒,persevere and persist in doing something,Translate this sentence to English: '历日经年，水滴石穿。持之以恒，功果自显。',"Over time, water can wear away stone. Persistence pays off, and success will become evident.","""Over time, water drops can wear through stone. With perseverance, success will naturally reveal itself.""",3,3,3,3
我一个人在家中，听到窗外传来毛骨悚然的猫叫声，不禁胆战心惊，一直处于提心吊胆的状态中。,提心吊胆,living in constant fear and anxiety,Translate this sentence to English: '我一个人在家中，听到窗外传来毛骨悚然的猫叫声，不禁胆战心惊，一直处于提心吊胆的状态中。',"I was alone at home when I heard a hair-raising cat meow coming from outside the window, causing me to shiver with fear and remain in a state of constant anxiety.","I was home alone when I heard a terrifying cat's cry from outside the window, which made me shiver with fear and left me in a constant state of anxiety.",3,3,3,2
朱铭大师的太极系列，是目无全牛、大刀阔斧的巨作。,大刀阔斧,taking bold and decisive action,Translate this sentence to English: '朱铭大师的太极系列，是目无全牛、大刀阔斧的巨作。',Master Zhu Ming's Tai Chi series is a monumental work that is bold and innovative.,"""Master Ju Ming's Tai Chi series is a monumental work created with bold and sweeping strokes.""",3,3,3,3
而且最起码让人多了一个保障，对于那些想打小算盘逃到少数阵型的人而已，会让他们重新考虑自己的选择。,打小算盘,to calculate or plot one's own interests,Translate this sentence to English: '而且最起码让人多了一个保障，对于那些想打小算盘逃到少数阵型的人而已，会让他们重新考虑自己的选择。',"Moreover, it at least provides people with an additional safeguard, which will make those who are trying to escape to a minority group reconsider their choices.","""Moreover, it at least provides an extra safeguard, making those who are thinking of sneaking into the minority faction reconsider their choices.""",2,3,1,3
你有意见就请单刀直入地提，何必吞吞吐吐!,单刀直入,getting straight to the point without any deviation,Translate this sentence to English: '你有意见就请单刀直入地提，何必吞吞吐吐!',"If you have an opinion, please just come out and say it, there's no need to beat around the bush!","""If you have any opinions, please get straight to the point; why beat around the bush?""",3,3,3,3
一位哲学家说过：“没有书籍的人家，如同没有主人。”精读一本书如同一本万利，使你立于不败之地。,不败之地,a place or situation that is invincible or cannot be defeated,Translate this sentence to English: '一位哲学家说过：“没有书籍的人家，如同没有主人。”精读一本书如同一本万利，使你立于不败之地。',"A philosopher once said: ""A home without books is like a home without a master."" Reading a book carefully is like a book of boundless profits, enabling you to stand in an invincible position.","A philosopher once said, ""A home without books is like a house without a master."" Thoroughly reading a book is like gaining immense profit, placing you in an invincible position.",2,3,2,2
是你们每天迎接第一缕晨曦，日复一日，年复一年，兢兢业业，任劳任怨，无论三伏酷暑还是数九严寒，无论是风雨交加还是漫天飞雪，始终战斗在环境卫生工作第一线！,年复一年,year after year; repeatedly,Translate this sentence to English: '是你们每天迎接第一缕晨曦，日复一日，年复一年，兢兢业业，任劳任怨，无论三伏酷暑还是数九严寒，无论是风雨交加还是漫天飞雪，始终战斗在环境卫生工作第一线！',"You are the ones who greet the first light of dawn every day, day after day, year after year, diligently and tirelessly, regardless of scorching summers or freezing winters, whether it's raining or snowing heavily, always fighting on the front lines of environmental sanitation work!","You greet the first ray of dawn every day, day after day, year after year, diligently and tirelessly, whether in the scorching heat of midsummer or the severe cold of midwinter, whether in stormy weather or heavy snowfall, always fighting on the front line of environmental sanitation work!",3,3,3,3
近义词是牛鬼蛇神、为鬼为蜮，反义词为志士仁人，可见网友取名“魑魅魍魉2009”别有一番深意。,志士仁人,an idealist with integrity,Translate this sentence to English: '近义词是牛鬼蛇神、为鬼为蜮，反义词为志士仁人，可见网友取名“魑魅魍魉2009”别有一番深意。',"Synonyms are mysterious and sinister, while antonyms are virtuous and kind-hearted. It can be seen that the netizen's username ""魑魅魍魉2009"" has a deeper meaning.","The synonyms are ""monsters and demons"" and ""to be a ghost or a monstrous spirit,"" while the antonym is ""a person of high ideals and humanity,"" indicating that the netizen's name ""Chimera2009"" has a special meaning.",2,2,1,1
可是我那种杀伐似的决心渐渐变了滑稽，分明觉得自己是在做戏，人生就是这样的赌气与撒娇，哪里就到得当真决裂了？我就回转。回转是虎头蛇尾，会被耻笑，我亦不以为意。 #胡兰成#,不以为意,not take it seriously,Translate this sentence to English: '可是我那种杀伐似的决心渐渐变了滑稽，分明觉得自己是在做戏，人生就是这样的赌气与撒娇，哪里就到得当真决裂了？我就回转。回转是虎头蛇尾，会被耻笑，我亦不以为意。 #胡兰成#',"However, my decisive and resolute attitude gradually turned into something comical, as I clearly felt like I was acting, life is full of stubbornness and coquetry, where can one truly break up? I am turning back. Turning back is starting strong but ending weak, and may be ridiculed, but I do not care. #Hu Lancheng#","But my resolute determination to fight gradually turned into something comical, clearly feeling that I was just putting on an act. Life is all about such fits of pique and petulance; how could it ever lead to a real breakup? So I turned back. Turning back is anticlimactic and will be ridiculed, but I don't mind. #Hu Lancheng#",3,3,2,2
