Idiomatic_Sent,Original_Idiom,en_meaning,ai_generated_idioms,english_idiom,translation_instruction,English_Sentence_3.5,English_Sentence_4o,3.5_Evaluation_4,4o_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4o
平安夜祝福点评语：人品：公平正直。性格：四平八稳。特点：平易近人。家庭：歌舞升平。事业：平步青云。财运：七平八满。健康：心平气定。总结：平安无事。希望：欢若平生。祝你：。,四平八稳,steady and stable in all aspects,"```json
{
  ""Chinese idiom"": ""四平八稳"",
  ""English definition"": ""This idiom describes someone or something as being steady, reliable, and unadventurous, often used to describe a person who is cautious and avoids taking risks."",
  ""English idiom 1"": ""Steady as she goes"",
  ""English idiom 2"": ""Play it safe"",
  ""English idiom 3"": ""Keep on an even keel""
}
```",Steady as she goes,'四平八稳' means 'Steady as she goes'. Given the above knowledge translate this sentence to English: '平安夜祝福点评语：人品：公平正直。性格：四平八稳。特点：平易近人。家庭：歌舞升平。事业：平步青云。财运：七平八满。健康：心平气定。总结：平安无事。希望：欢若平生。祝你：。',Christmas Eve blessings evaluation: Character: fair and upright. Personality: steady as she goes. Features: approachable. Family: harmonious. Career: rising to the top. Financial luck: prosperous. Health: calm and composed. Summary: safe and sound. Wish: a lifetime of happiness. Wishing you: .,Christmas Eve Blessings Review: Character: Fair and upright. Personality: Steady as she goes. Traits: Amiable and easy-going. Family: Prosperous and harmonious. Career: Rapid promotion. Fortune: Everything goes as expected. Health: Calm and serene. Summary: Safe and sound. Hope: Joyful as ever. Wishing you: .,3,3,2,2
感情，也要棋逢对手才能缠绵缱倦。 #独木舟#,棋逢对手,encountering a capable opponent,"```json
{
  ""Chinese idiom"": ""棋逢对手"",
  ""English definition"": ""When two equally skilled opponents face off in a competition."",
  ""English idiom 1"": ""Meeting one's match"",
  ""English idiom 2"": ""A battle of equals"",
  ""English idiom 3"": ""A clash of the titans""
}
```",Meeting one's match,'棋逢对手' means 'Meeting one's match'. Given the above knowledge translate this sentence to English: '感情，也要棋逢对手才能缠绵缱倦。 #独木舟#',"In love, one must meet their match in order to experience true passion and longing. #canoe#","""In a relationship, both parties must meet their match to experience true passion and intimacy. #Canoe#""",3,3,3,3
蹉跎了岁月，也蹉跎了我们的心，但我们的意志是坚定的，你是我倾慕的海，是我义无返顾奔赴的海，是至死不变爱着的海！,至死不变,remain unwaveringly loyal or committed till death,"```json
{
  ""Chinese idiom"": ""至死不变"",
  ""English definition"": ""Unchanging until death; steadfast and unwavering in one's beliefs or principles until the very end."",
  ""English idiom 1"": ""Till death do us part"",
  ""English idiom 2"": ""Set in stone"",
  ""English idiom 3"": ""Come hell or high water""
}
```",Set in stone,'至死不变' means 'Set in stone'. Given the above knowledge translate this sentence to English: '蹉跎了岁月，也蹉跎了我们的心，但我们的意志是坚定的，你是我倾慕的海，是我义无返顾奔赴的海，是至死不变爱着的海！',"Wasted years, wasted hearts, but our will is steadfast, you are the sea I admire, the sea I rush towards without looking back, the sea I love unconditionally until death!","""Squandered the years, and also squandered our hearts, but our will is unwavering. You are the sea I admire, the sea I run to without hesitation, the sea I love steadfastly till death!""",3,2,3,2
滕王阁修建在重峦叠嶂之间，因地制宜，美不胜收，是四大名楼之一。,美不胜收,"breathtakingly beautiful, to the point that it is beyond words","```json
{
  ""Chinese idiom"": ""美不胜收"",
  ""English definition"": ""So many beautiful things that one cannot take them all in"",
  ""English idiom 1"": ""A feast for the eyes"",
  ""English idiom 2"": ""Too good to be true"",
  ""English idiom 3"": ""A sight for sore eyes""
}
```",A feast for the eyes,'美不胜收' means 'A feast for the eyes'. Given the above knowledge translate this sentence to English: '滕王阁修建在重峦叠嶂之间，因地制宜，美不胜收，是四大名楼之一。',"The Tengwang Pavilion, built among towering peaks and lush mountains, is a feast for the eyes and is one of the four famous towers.","""Prince Teng's Pavilion is built among the overlapping mountain ranges, adapting to local conditions, and is a feast for the eyes, being one of the Four Great Towers.""",3,3,3,3
难怪信长在得到美浓以后，马上就把居城迁到这里，更是改为岐阜，使用‘天下布武’印，进而腾飞，迅速席卷天下。,席卷天下,"""sweep across the world"", referring to something or someone exerting a tremendous influence or impact on a global scale","```json
{
  ""Chinese idiom"": ""席卷天下"",
  ""English definition"": ""To sweep across the land; to dominate or conquer the world"",
  ""English idiom 1"": ""Take the world by storm"",
  ""English idiom 2"": ""Sweep the board"",
  ""English idiom 3"": ""Rule the roost""
}
```",Take the world by storm,'席卷天下' means 'Take the world by storm'. Given the above knowledge translate this sentence to English: '难怪信长在得到美浓以后，马上就把居城迁到这里，更是改为岐阜，使用‘天下布武’印，进而腾飞，迅速席卷天下。',"No wonder after receiving Mino, Nobunaga immediately moved his residence here, changed it to Gifu, used the 'Tianxia Buwu' seal, and quickly took the world by storm.","""No wonder Nobunaga, after obtaining Mino, immediately moved his residence here and renamed it Gifu, using the 'Tenka Fubu' seal, then soared and quickly took the world by storm.""",3,3,3,3
择善而从，是超越了所有的代价。,择善而从,choose the good and follow it,"{
  ""Chinese idiom"": ""择善而从"",
  ""English definition"": ""To choose what is good and follow it"",
  ""English idiom 1"": ""Follow the straight and narrow"",
  ""English idiom 2"": ""Do the right thing"",
  ""English idiom 3"": ""Take the high road""
}",Follow the straight and narrow,'择善而从' means 'Follow the straight and narrow'. Given the above knowledge translate this sentence to English: '择善而从，是超越了所有的代价。',Choosing the right path and following it is worth every sacrifice.,"""Following the straight and narrow transcends all costs.""",3,2,2,1
自从我跨入小学的大门以来，我上过许许多多的课，有生动活泼的语文课，有妙趣横生的数学课，还有奥妙无穷的自然课。,生动活泼,lively and vivacious,"```json
{
  ""Chinese idiom"": ""生动活泼"",
  ""English definition"": ""Lively and vivid"",
  ""English idiom 1"": ""Full of life"",
  ""English idiom 2"": ""Bursting with energy"",
  ""English idiom 3"": ""Vivid and vibrant""
}
```",Vivid and vibrant,'生动活泼' means 'Vivid and vibrant'. Given the above knowledge translate this sentence to English: '自从我跨入小学的大门以来，我上过许许多多的课，有生动活泼的语文课，有妙趣横生的数学课，还有奥妙无穷的自然课。',"Since I stepped through the gates of elementary school, I have taken many classes, including vivid and vibrant Chinese classes, fascinating math classes, and endlessly mysterious science classes.","Since I stepped through the doors of elementary school, I have taken many classes, including vivid and vibrant language classes, fascinating math classes, and endlessly intriguing natural science classes.",3,3,3,3
在春风刚吹起的时节，绿油油的稻子昂首挺胸，颇有少年狂气，随着风的指挥左右摇摆；他曾经历过阳光雨露，也曾经历过暴风骤雨，但柔软的茎却未被折断，待秋天来到他饱含稻穗的头就悄然低下，那里面充满了智慧和感悟。,暴风骤雨,violent and sudden storm or situation,"{
  ""Chinese idiom"": ""暴风骤雨"",
  ""English definition"": ""A violent storm with strong winds and heavy rain, often used metaphorically to describe a sudden and intense situation, conflict, or outburst."",
  ""English idiom 1"": ""A tempest in a teapot"",
  ""English idiom 2"": ""When it rains, it pours"",
  ""English idiom 3"": ""Storm in a teacup""
}",A tempest in a teapot,'暴风骤雨' means 'A tempest in a teapot'. Given the above knowledge translate this sentence to English: '在春风刚吹起的时节，绿油油的稻子昂首挺胸，颇有少年狂气，随着风的指挥左右摇摆；他曾经历过阳光雨露，也曾经历过暴风骤雨，但柔软的茎却未被折断，待秋天来到他饱含稻穗的头就悄然低下，那里面充满了智慧和感悟。',"In the season when the spring breeze just started to blow, the lush green rice plants stood tall and proud, with a youthful vigor, swaying left and right as directed by the wind; they have experienced both sunshine and rain, as well as tempest in a teapot, but their tender stems remain unbroken. When autumn arrives, their heads heavy with rice grains will quietly bow down, filled with wisdom and insight.","""In the season when the spring breeze has just begun to blow, the lush green rice stands tall and proud, full of youthful arrogance, swaying back and forth under the command of the wind; it has experienced sunshine and rain, as well as tempests in a teapot, but its soft stems have not been broken. When autumn arrives, its head filled with rice grains quietly bows down, brimming with wisdom and insight.""",1,2,1,1
对日寇的进犯，军民们早已森严壁垒，严阵以待。也作“壁垒森严”。,壁垒森严,having a strict and formidable defense; also refers to a situation where there are many obstacles or barriers to overcome,"```json
{
  ""Chinese idiom"": ""壁垒森严"",
  ""English definition"": ""A situation or structure that is heavily fortified, impenetrable, or very difficult to overcome, often used to describe social, physical, or ideological barriers."",
  ""English idiom 1"": ""Fortress mentality"",
  ""English idiom 2"": ""An impenetrable wall"",
  ""English idiom 3"": ""Iron curtain""
}
```",Fortress mentality,'壁垒森严' means 'Fortress mentality'. Given the above knowledge translate this sentence to English: '对日寇的进犯，军民们早已森严壁垒，严阵以待。也作“壁垒森严”。',"In the face of the invasion by the Japanese aggressors, both the military and civilians have long been prepared with a fortress mentality, ready to defend themselves. Also known as ""fortress mentality"".","""Against the Japanese invaders, the soldiers and civilians had long established a fortress mentality and were in a state of full combat readiness. Also expressed as 'fortress mentality'.""",3,2,2,1
雄鹰追求在万里无云的蓝天下展翅高飞；猎豹追求在一望无际的草原上飞快奔跑；鱼儿追求在波澜壮阔的大海中自由自在地游泳。,一望无际,"endless and boundless, stretching as far as the eye can see","```json
{
  ""Chinese idiom"": ""一望无际"",
  ""English definition"": ""An endless expanse; as far as the eye can see"",
  ""English idiom 1"": ""As far as the eye can see"",
  ""English idiom 2"": ""Boundless horizon"",
  ""English idiom 3"": ""Stretch to the horizon""
}
```",As far as the eye can see,'一望无际' means 'As far as the eye can see'. Given the above knowledge translate this sentence to English: '雄鹰追求在万里无云的蓝天下展翅高飞；猎豹追求在一望无际的草原上飞快奔跑；鱼儿追求在波澜壮阔的大海中自由自在地游泳。',The eagle seeks to soar high in the boundless blue sky without a cloud for miles; the cheetah seeks to run swiftly on the endless grassland as far as the eye can see; the fish seeks to swim freely in the vast and majestic ocean.,"""The eagle strives to spread its wings and soar under the cloudless blue sky; the cheetah strives to run swiftly across the boundless grasslands; the fish strive to swim freely in the vast, tumultuous sea.""",3,3,3,3
她默默地投身于创作，从不追求名利，就如此孑然一身地走完人生，但却活在众多读者的心中。,孑然一身,being alone or solitary,"{
    ""Chinese idiom"": ""孑然一身"",
    ""English definition"": ""To be all alone in the world, without family or friends."",
    ""English idiom 1"": ""Lone wolf"",
    ""English idiom 2"": ""Go it alone"",
    ""English idiom 3"": ""On one's own""
}",Lone wolf,'孑然一身' means 'Lone wolf'. Given the above knowledge translate this sentence to English: '她默默地投身于创作，从不追求名利，就如此孑然一身地走完人生，但却活在众多读者的心中。',"She quietly devoted herself to creation, never seeking fame or fortune, walking through life like a lone wolf, but living in the hearts of many readers.","""She quietly devoted herself to writing, never seeking fame or fortune, thus walking through life as a lone wolf, yet she lives on in the hearts of many readers.""",3,3,1,2
天地会在漳厦和台湾地区扎根最深，举凡海陆运输、码头货栈、大小施工的行当被垄断了一半以上，甚至连官衙修堤造府，天地会都嘻皮笑脸的接工程、赚银子。,嘻皮笑脸,smiling and fawning,"{
  ""Chinese idiom"": ""嘻皮笑脸"",
  ""English definition"": ""To have a frivolous smile or to be facetious, often implying a lack of seriousness or respect."",
  ""English idiom 1"": ""Grinning like a Cheshire cat"",
  ""English idiom 2"": ""Smirk and giggle"",
  ""English idiom 3"": ""Not taking it seriously""
}",Smirk and giggle,'嘻皮笑脸' means 'Smirk and giggle'. Given the above knowledge translate this sentence to English: '天地会在漳厦和台湾地区扎根最深，举凡海陆运输、码头货栈、大小施工的行当被垄断了一半以上，甚至连官衙修堤造府，天地会都嘻皮笑脸的接工程、赚银子。',"Tian Di Hui has the deepest roots in the Zhangsha and Taiwan regions, monopolizing over half of the maritime and land transportation, dock warehouses, and construction industries, even taking on government projects with a smirk and giggle to earn money.","""The Tiandihui had the deepest roots in the Zhangzhou-Xiamen and Taiwan regions, monopolizing more than half of the business in sea and land transportation, docks, and construction projects, and even smirked and giggled while taking on government projects for building dikes and offices, earning silver in the process.""",3,3,1,1
一天之计在于“辰”，辰时好光阴。吉祥壬辰年，生活有点甜。挑吉日良辰，干劲十足向前奔。邀日月星辰，赏美景良辰。龙年启程，龙马精神，祝马到功成！,马到功成,achieve success immediately and effortlessly,"```json
{
  ""Chinese idiom"": ""马到功成"",
  ""English definition"": ""To achieve instant success"",
  ""English idiom 1"": ""To hit the ground running"",
  ""English idiom 2"": ""To come out swinging"",
  ""English idiom 3"": ""Strike while the iron is hot""
}
```",To hit the ground running,'马到功成' means 'To hit the ground running'. Given the above knowledge translate this sentence to English: '一天之计在于“辰”，辰时好光阴。吉祥壬辰年，生活有点甜。挑吉日良辰，干劲十足向前奔。邀日月星辰，赏美景良辰。龙年启程，龙马精神，祝马到功成！',"A day's plan is made at ""辰"", as good time shines at 辰. In the auspicious year of Renchen, life is a bit sweet. Choose an auspicious day and good time, and move forward with full vigor. Invite the sun, moon, and stars, and enjoy the beautiful scenery. Setting off in the Year of the Dragon, with the spirit of the dragon and horse, wishing for success as soon as one starts.","""Plans for the day start in the early morning, and the time of Chen brings good times. In the auspicious year of Renchen, life becomes a bit sweeter. Choose an auspicious date and time, and move forward with full vigor. Invite the sun, moon, and stars, and enjoy the beautiful scenery and good times. As the Year of the Dragon begins, with the spirit of the dragon and horse, wish you to hit the ground running!""",2,3,1,2
让我们像勇敢的海燕，勇敢如诗，无视风雨的挑衅；让我们像勇敢的霍金，勇敢如风，改写生命的诗歌，让我们像那无边无际的大海，把自己的波澜壮阔献给世间！,波澜壮阔,a grand and magnificent sight or scene,"```json
{
  ""Chinese idiom"": ""波澜壮阔"",
  ""English definition"": ""grand and magnificent, often describing a scene of great momentum and vastness"",
  ""English idiom 1"": ""sweeping grandeur"",
  ""English idiom 2"": ""epic in scale"",
  ""English idiom 3"": ""majestic sweep""
}
```",majestic sweep,'波澜壮阔' means 'majestic sweep'. Given the above knowledge translate this sentence to English: '让我们像勇敢的海燕，勇敢如诗，无视风雨的挑衅；让我们像勇敢的霍金，勇敢如风，改写生命的诗歌，让我们像那无边无际的大海，把自己的波澜壮阔献给世间！',"Let us be brave like the fearless storm petrel, bold as poetry, ignoring the challenges of wind and rain; let us be brave like the courageous Hawking, fearless as the wind, rewriting the poem of life; let us be like the boundless ocean, offering our majestic sweep to the world!","""Let us be like the brave sea birds, courageous as poems, disregarding the provocation of storms; let us be like the brave Hawking, courageous as the wind, rewriting the poetry of life; let us be like the boundless ocean, offering our majestic sweep to the world!""",3,3,3,2
记事文不能只按事情的发展顺序，平铺直叙地写下来。,平铺直叙,presenting information in a straightforward and sequential manner,"```json
{
  ""Chinese idiom"": ""平铺直叙"",
  ""English definition"": ""To narrate or describe something in a straightforward, simple, and unadorned manner."",
  ""English idiom 1"": ""Plain and simple"",
  ""English idiom 2"": ""Cut and dried"",
  ""English idiom 3"": ""Matter of fact""
}
```",Cut and dried,'平铺直叙' means 'Cut and dried'. Given the above knowledge translate this sentence to English: '记事文不能只按事情的发展顺序，平铺直叙地写下来。',Recorded essays cannot simply be written in a cut and dried manner according to the sequence of events.,"""A narrative essay cannot be written merely in a cut and dried manner, following the chronological order of events.""",2,3,2,2
童心是个宝，让我们共同呵护！做孩子的良师益友，与孩子共同成长！,良师益友,Good teacher and helpful friend,"```json
{
  ""Chinese idiom"": ""良师益友"",
  ""English definition"": ""A good teacher and a helpful friend"",
  ""English idiom 1"": ""Mentor and friend"",
  ""English idiom 2"": ""Guiding light"",
  ""English idiom 3"": ""A friend in need is a friend indeed""
}
```",Mentor and friend,'良师益友' means 'Mentor and friend'. Given the above knowledge translate this sentence to English: '童心是个宝，让我们共同呵护！做孩子的良师益友，与孩子共同成长！',"Childhood is precious, let us jointly cherish it! Be a mentor and friend to children, growing together with them!","""A child's innocence is a treasure, let us safeguard it together! Be the mentor and friend of a child, and grow together with them!""",3,3,2,2
诚心不曾感天动地，誓言没有惊天动地，爱情没有欢天喜地，人生不求经天纬地，只想和你谈天说地，哪怕经历冰天雪地，你嫁给我谢天谢地，和你一起写下幸福的铺天盖地。,欢天喜地,extremely happy or joyful,"{
    ""Chinese idiom"": ""欢天喜地"",
    ""English definition"": ""Extremely happy and joyful"",
    ""English idiom 1"": ""Over the moon"",
    ""English idiom 2"": ""On cloud nine"",
    ""English idiom 3"": ""Tickled pink""
}",On cloud nine,'欢天喜地' means 'On cloud nine'. Given the above knowledge translate this sentence to English: '诚心不曾感天动地，誓言没有惊天动地，爱情没有欢天喜地，人生不求经天纬地，只想和你谈天说地，哪怕经历冰天雪地，你嫁给我谢天谢地，和你一起写下幸福的铺天盖地。',"Sincerely, without shaking the heavens or earth, vows without shaking the heavens or earth, love without being on cloud nine, life not seeking greatness, just want to talk with you, even if we experience tough times together, I am grateful that you marry me, and together we create an overwhelming happiness.","""True feelings were never earth-shattering, vows were never monumental, love was never on cloud nine, life doesn't seek to astonish the world, I just want to chat with you about everything, even if we go through extreme hardships; if you marry me, I'll be profoundly grateful, and together we will write a happiness that overwhelms the world.""",2,3,1,2
爱情的，满面春风；友情的，满座宾朋；才华的，满腹经纶；事业的，满腔热忱。亲爱的，小满日来到，愿你一切，成功的，心满意足！,满腔热忱,full of enthusiasm,"```json
{
  ""Chinese idiom"": ""满腔热忱"",
  ""English definition"": ""To be full of enthusiasm and devotion"",
  ""English idiom 1"": ""Full of beans"",
  ""English idiom 2"": ""Heart and soul"",
  ""English idiom 3"": ""Fire in the belly""
}
```",Heart and soul,'满腔热忱' means 'Heart and soul'. Given the above knowledge translate this sentence to English: '爱情的，满面春风；友情的，满座宾朋；才华的，满腹经纶；事业的，满腔热忱。亲爱的，小满日来到，愿你一切，成功的，心满意足！',"In love, your face is full of happiness; in friendship, you are surrounded by companions; in talent, you are knowledgeable; in career, you are full of enthusiasm. Dear one, May the festival of Xiaoman bring you success and contentment in all things!","""Love, full of joy; friendship, surrounded by friends; talent, brimming with knowledge; career, heart and soul. Dear, as Xiaoman arrives, may everything in your life be successful and satisfying!""",3,3,1,1
