Hindi_Idiom,Hindi_Meaning,English_Meaning,Hindi_Sentence,high_similarity_english_idioms,Most_Relevant_English_Idiom,translation_instruction,English_Sentence_3.5,English_Sentence_4o,3.5_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4,4o_Evaluation_4o
बहुत होशियार होना,चतुर होना,To be very clever,"वह बहुत होशियार है, सब काम ठीक से करता है।",bright as a button (0.78),bright as a button,"'बहुत होशियार होना' means 'bright as a button'. Given the above knowledge, translate this sentence to English: 'वह बहुत होशियार है, सब काम ठीक से करता है।'","He is very bright as a button, does all the work properly.","He is bright as a button, does all the work properly.",2,1,3,3
मुँह का पर्दा गिराना,सच्चाई उजागर करना,To reveal one's true intentions.,आखिरकार उसने मुँह का पर्दा गिरा दिया और सब सच्चाई बता दी।,"blow cover (0.83), put your cards on the table (0.79)",blow cover,"'मुँह का पर्दा गिराना' means 'blow cover'. Given the above knowledge, translate this sentence to English: 'आखिरकार उसने मुँह का पर्दा गिरा दिया और सब सच्चाई बता दी।'","Finally, he blew the cover and revealed the truth to everyone.","""Finally, he blew his cover and revealed the whole truth.""",3,2,2,3
मुँह सीना,बोलने से रोकना,Sew up one's mouth,उसने अपने कर्मचारियों के मुँह सी दिए ताकि कोई विरोध न कर सके।,,,"'मुँह सीना' means 'Sew up one's mouth'. Given the above knowledge, translate this sentence to English: 'उसने अपने कर्मचारियों के मुँह सी दिए ताकि कोई विरोध न कर सके।'",He sewed up the mouths of his employees so that no one could oppose.,'He sewed up his employees' mouths so that no one could protest.',2,1,3,1
मुँह में मिठास भरना,किसी की खुशी की वजह बनना,To sweeten someone's mouth,उसकी सफलता ने सभी के मुँह में मिठास भर दी।,,,"'मुँह में मिठास भरना' means 'To sweeten someone's mouth'. Given the above knowledge, translate this sentence to English: 'उसकी सफलता ने सभी के मुँह में मिठास भर दी।'",His success sweetened everyone's mouth.,"""His success sweetened everyone's mouth.""",3,1,2,1
मुँह बंद रखना,चुप रहना,Keep your mouth shut.,मामले को गंभीर समझकर उसने मुँह बंद रखा।,,,"'मुँह बंद रखना' means 'Keep your mouth shut.'. Given the above knowledge, translate this sentence to English: 'मामले को गंभीर समझकर उसने मुँह बंद रखा।'","He kept his mouth shut, considering the matter seriously.","""Understanding the seriousness of the matter, he kept his mouth shut.""",3,3,3,3
मुँह देखना,किसी की प्रतिक्रिया देखना,To rely on someone for support or approval.,मैंने उसकी बात पर मुँह देखा।,bank on (0.74),bank on,"'मुँह देखना' means 'bank on'. Given the above knowledge, translate this sentence to English: 'मैंने उसकी बात पर मुँह देखा।'",I banked on his words.,"""I banked on his words.""",2,1,2,1
आपे से बाहर होना।,सामर्थ्य से अधिक क्रोध प्रकट करना।,To be out of control.,अपने साथी की पिटाई का समाचार सुनते ही छात्र आपे से बाहर हो गए।,get out of hand (0.80),get out of hand,"'आपे से बाहर होना।' means 'get out of hand'. Given the above knowledge, translate this sentence to English: 'अपने साथी की पिटाई का समाचार सुनते ही छात्र आपे से बाहर हो गए।'","Upon hearing the news of his friend being beaten up, the student got out of hand.","""Hearing the news of their companion's beating, the students got out of hand.""",3,1,3,1
"बीती ताहि बिसार दे, आगे की सुधि ले",पिछले दुख को भूलकर आगे की सोचना,Forget the past and focus on the future.,"जो हुआ सो हुआ, अब आगे की सोचो, बीती ताहि बिसार दे, आगे की सुधि ले।",,,"'बीती ताहि बिसार दे, आगे की सुधि ले' means 'Forget the past and focus on the future.'. Given the above knowledge, translate this sentence to English: 'जो हुआ सो हुआ, अब आगे की सोचो, बीती ताहि बिसार दे, आगे की सुधि ले।'","What happened has happened, now think about the future, forget the past and focus on the future.","'What's done is done, now think about the future, forget the past and focus on the future.'",3,3,3,3
मुँह देखना,किसी का अनुसरण करना,To wait for someone's approval or decision.,सब उसके मुँह देख रहे थे कि वह क्या कहेगा।,"bide time (0.81), cool heels (0.74), hold your horses (0.74), see which way the cat jumps (0.80), wait for the ball to drop (0.77)",bide time,"'मुँह देखना' means 'bide time'. Given the above knowledge, translate this sentence to English: 'सब उसके मुँह देख रहे थे कि वह क्या कहेगा।'",Everyone was waiting to see what he would say.,Everyone was biding their time to see what he would say.,3,2,2,1
मुँह में रेत डालना,चुप कराना,To silence someone.,उसकी धमकी ने मेरे मुँह में रेत डाल दी।,,,"'मुँह में रेत डालना' means 'To silence someone.'. Given the above knowledge, translate this sentence to English: 'उसकी धमकी ने मेरे मुँह में रेत डाल दी।'",His threat silenced me.,"""His threat silenced me.""",3,3,3,2
मुँह में मिश्री घोलना,मीठी बातें करना,To speak sweetly,उसने मुँह में मिश्री घोलकर सबको खुश कर दिया।,,,"'मुँह में मिश्री घोलना' means 'To speak sweetly'. Given the above knowledge, translate this sentence to English: 'उसने मुँह में मिश्री घोलकर सबको खुश कर दिया।'",He made everyone happy by speaking sweetly.,He made everyone happy by speaking sweetly.,3,2,3,2
मूँछों की लड़ाई,प्रतिष्ठा का झगड़ा,Clash of egos,उनके बीच मूँछों की लड़ाई चल रही है।,,,"'मूँछों की लड़ाई' means 'Clash of egos'. Given the above knowledge, translate this sentence to English: 'उनके बीच मूँछों की लड़ाई चल रही है।'",A clash of egos is going on between them.,"""There is a clash of egos between them.""",3,3,3,3
मुँह की मिट्टी करना,किसी की बातों को महत्व न देना,To humiliate someone,उसकी बातें सुनकर उसने मुँह की मिट्टी कर दी।,make a monkey out of (0.82),make a monkey out of,"'मुँह की मिट्टी करना' means 'make a monkey out of'. Given the above knowledge, translate this sentence to English: 'उसकी बातें सुनकर उसने मुँह की मिट्टी कर दी।'","After hearing what he said, he made a monkey out of himself.","""Listening to his words, he made a monkey out of him.""",1,3,1,1
मुँह में मिठास घोलना,मीठी बातें करना,To sweeten someone's mouth,उसने अपने शब्दों से मुँह में मिठास घोल दी।,,,"'मुँह में मिठास घोलना' means 'To sweeten someone's mouth'. Given the above knowledge, translate this sentence to English: 'उसने अपने शब्दों से मुँह में मिठास घोल दी।'",He sweetened their mouth with his words.,"""He sweetened the mouth with his words.""",3,2,2,1
मुँह पर उंगली रखना,चुप कराना,Keep a finger on the lips.,उसने शोर मचाने वाले बच्चों के मुँह पर उंगली रखकर उन्हें शांत किया।,,,"'मुँह पर उंगली रखना' means 'Keep a finger on the lips.'. Given the above knowledge, translate this sentence to English: 'उसने शोर मचाने वाले बच्चों के मुँह पर उंगली रखकर उन्हें शांत किया।'",She quieted the children making noise by putting a finger on their lips.,"""She quieted the noisy children by keeping a finger on their lips.""",3,3,3,3
अपना घर समझना।,संकोच न करना।,Make yourself at home.,राम अपने मित्र के घर को अपना घर समझता है। इसलिए वहाँ वह अपनी सब परेशानियाँ कह देता है।,,,"'अपना घर समझना।' means 'Make yourself at home.'. Given the above knowledge, translate this sentence to English: 'राम अपने मित्र के घर को अपना घर समझता है। इसलिए वहाँ वह अपनी सब परेशानियाँ कह देता है।'","Ram considers his friend's house as his own home, so he shares all his troubles there.","""Ram makes himself at home at his friend's house, so he shares all his troubles there.""",3,3,3,3
मुँह में मिठास घोलना,मीठी बातें करना,To sweeten someone's mouth,उसने अपनी बातों से सबके मुँह में मिठास घोल दी।,,,"'मुँह में मिठास घोलना' means 'To sweeten someone's mouth'. Given the above knowledge, translate this sentence to English: 'उसने अपनी बातों से सबके मुँह में मिठास घोल दी।'",He sweetened everyone's mouth with his words.,"""She sweetened everyone's mouth with her words.""",3,2,3,1
मुँह लटकाना,निराशा या उदासी व्यक्त करना,To look disappointed,रिजल्ट खराब आने पर उसने मुँह लटका लिया।,sick as a parrot (0.75),sick as a parrot,"'मुँह लटकाना' means 'sick as a parrot'. Given the above knowledge, translate this sentence to English: 'रिजल्ट खराब आने पर उसने मुँह लटका लिया।'",He felt sick as a parrot when the results were poor.,"""He looked sick as a parrot when the results were bad.""",2,3,2,3
मुँह के बोल उठना,अपनी बात रखना,To speak up impulsively,उसने मुँह के बोल उठाए और अपनी राय दी।,shoot from the hip (0.82),shoot from the hip,"'मुँह के बोल उठना' means 'shoot from the hip'. Given the above knowledge, translate this sentence to English: 'उसने मुँह के बोल उठाए और अपनी राय दी।'",He spoke off the cuff and gave his opinion.,He shot from the hip and gave his opinion.,3,1,2,3
मुँह फेरना,किसी से बात न करना,Turn away,उसकी बेवफाई के बाद मैंने उससे मुँह फेर लिया।,,,"'मुँह फेरना' means 'Turn away'. Given the above knowledge, translate this sentence to English: 'उसकी बेवफाई के बाद मैंने उससे मुँह फेर लिया।'","After his betrayal, I turned away from him.","""After his betrayal, I turned away from him.""",3,3,3,3
मुँह के आगे उंगली रखना,किसी को चुप कराना,To keep a finger on one's lips.,उसकी बकवास से तंग आकर मैंने मुँह के आगे उंगली रख दी।,,,"'मुँह के आगे उंगली रखना' means 'To keep a finger on one's lips.'. Given the above knowledge, translate this sentence to English: 'उसकी बकवास से तंग आकर मैंने मुँह के आगे उंगली रख दी।'",I put a finger on my lips in frustration with his nonsense.,"""Fed up with his nonsense, I kept a finger on my lips.""",2,3,2,1
मुँह पर तेल मलना,दूसरों की परवाह न करना,To ignore or neglect something.,उसने अपनी मुँह पर तेल मल कर सबको नजरअंदाज कर दिया।,"give _ _ cold shoulder (0.77), look the other way (0.80), never mind (0.82), send someone to Coventry (0.74), throw caution to _ wind (0.75), turn a blind eye (0.81)",give _ _ cold shoulder,"'मुँह पर तेल मलना' means 'give _ _ cold shoulder'. Given the above knowledge, translate this sentence to English: 'उसने अपनी मुँह पर तेल मल कर सबको नजरअंदाज कर दिया।'",He ignored everyone by giving them the cold shoulder.,"""He gave everyone the cold shoulder and ignored them.""",3,3,3,3
मुँह का मीठा,प्रिय या अच्छा बोलने वाला,Sweet-talker,"वह मुँह का मीठा है, सब उसे पसंद करते हैं।",,,"'मुँह का मीठा' means 'Sweet-talker'. Given the above knowledge, translate this sentence to English: 'वह मुँह का मीठा है, सब उसे पसंद करते हैं।'","He is a sweet-talker, everyone likes him.","""He is a sweet-talker, everyone likes him.""",3,3,3,3
मुँह का स्वाद बिगड़ना,बुरा लगना,To have a bad taste in one's mouth,ऐसी बातें सुनकर मुँह का स्वाद बिगड़ गया।,,,"'मुँह का स्वाद बिगड़ना' means 'To have a bad taste in one's mouth'. Given the above knowledge, translate this sentence to English: 'ऐसी बातें सुनकर मुँह का स्वाद बिगड़ गया।'","After hearing such things, I have a bad taste in my mouth.","""Hearing such things left a bad taste in my mouth.""",3,3,3,3
मुँह फेर लेना,अनदेखा करना,Turn one's back.,उसके गलत व्यवहार के कारण सबने उससे मुँह फेर लिया।,,,"'मुँह फेर लेना' means 'Turn one's back.'. Given the above knowledge, translate this sentence to English: 'उसके गलत व्यवहार के कारण सबने उससे मुँह फेर लिया।'","Because of his bad behavior, everyone turned their back on him.","Because of his bad behavior, everyone turned their backs on him.",3,3,3,3
मुँह का फोड़ा होना,बहुत कष्टकारी होना,To be a pain in the neck,उसकी बदनामी मेरे जीवन का मुँह का फोड़ा बन गई।,,,"'मुँह का फोड़ा होना' means 'To be a pain in the neck'. Given the above knowledge, translate this sentence to English: 'उसकी बदनामी मेरे जीवन का मुँह का फोड़ा बन गई।'",His infamy became a pain in the neck of my life.,"""His infamy became a pain in the neck for my life.""",2,2,2,2
मुँह की बात छिपाना,महत्वपूर्ण बात न बताना,To hide one's true feelings.,उसने मुँह की बात छिपाई और सब चौंक गए।,,,"'मुँह की बात छिपाना' means 'To hide one's true feelings.'. Given the above knowledge, translate this sentence to English: 'उसने मुँह की बात छिपाई और सब चौंक गए।'",She hid her true feelings and everyone was shocked.,"""He hid his true feelings, and everyone was surprised.""",3,2,3,2
मुँह तिरछा करना,नाक-भौं चढ़ाना,To pout,उसकी बात सुनकर उसने मुँह तिरछा कर लिया।,,,"'मुँह तिरछा करना' means 'To pout'. Given the above knowledge, translate this sentence to English: 'उसकी बात सुनकर उसने मुँह तिरछा कर लिया।'","After hearing what he said, he pouted.","""Hearing his words, she pouted.""",2,1,2,2
मुँह मसोसकर रह जाना,इच्छा पूरी न होने पर दुखी होना,To be left disappointed.,खराब प्रदर्शन के कारण उसे मुँह मसोसकर रह जाना पड़ा।,sick as a parrot (0.76),sick as a parrot,"'मुँह मसोसकर रह जाना' means 'sick as a parrot'. Given the above knowledge, translate this sentence to English: 'खराब प्रदर्शन के कारण उसे मुँह मसोसकर रह जाना पड़ा।'",He had to go away sick as a parrot due to the poor performance.,"Due to the poor performance, he was sick as a parrot.",2,1,2,1
मुँह पर ठंडा पानी डालना,किसी को शांत करना,To throw cold water on someone's face.,उसकी नाराजगी को मुँह पर ठंडा पानी डालकर शांत किया गया।,,,"'मुँह पर ठंडा पानी डालना' means 'To throw cold water on someone's face.'. Given the above knowledge, translate this sentence to English: 'उसकी नाराजगी को मुँह पर ठंडा पानी डालकर शांत किया गया।'",His anger was calmed by throwing cold water on his face.,"""His anger was calmed by throwing cold water on his face.""",2,1,2,1
बिल्ली के भाग से छींका टूटना,बिना प्रयास के सफलता मिलना,A stroke of luck.,"उसे अचानक ही विदेश यात्रा का मौका मिल गया, यह तो बिल्ली के भाग से छींका टूटना है।",stroke of luck (0.75),stroke of luck,"'बिल्ली के भाग से छींका टूटना' means 'stroke of luck'. Given the above knowledge, translate this sentence to English: 'उसे अचानक ही विदेश यात्रा का मौका मिल गया, यह तो बिल्ली के भाग से छींका टूटना है।'","He suddenly got the opportunity to travel abroad, it's a stroke of luck.","""He suddenly got the opportunity to travel abroad; it is a stroke of luck.""",3,2,3,2
मुँह में दही जमाना,चुप रहना,To keep silent,उसने सवालों का सामना करते हुए मुँह में दही जमा लिया।,"button (up) one's lip (0.90), button your lip (0.77), hold tongue (0.85), hold your tongue (0.84), keep mum (0.76), keep schtum (0.81), mum's the word (0.76), silent as the grave (0.78), zip oneâ€™s lip (0.84), zip your lip (0.76)",button,"'मुँह में दही जमाना' means 'button'. Given the above knowledge, translate this sentence to English: 'उसने सवालों का सामना करते हुए मुँह में दही जमा लिया।'",He remained quiet while facing the questions.,"""He buttoned his lips when faced with questions.""",2,1,1,3
बेआबरू करना,अपमानित करना,To disgrace,उसकी गंदी हरकतों ने उसे बेआबरू कर दिया।,,,"'बेआबरू करना' means 'To disgrace'. Given the above knowledge, translate this sentence to English: 'उसकी गंदी हरकतों ने उसे बेआबरू कर दिया।'",His dirty actions disgraced him.,"""His dirty deeds disgraced him.""",3,3,3,3
मुँह की मिठास छीनना,खुशियों को खत्म करना,To take away the sweetness of the mouth.,उसकी हरकतों ने मेरे मुँह की मिठास छीन ली।,,,"'मुँह की मिठास छीनना' means 'To take away the sweetness of the mouth.'. Given the above knowledge, translate this sentence to English: 'उसकी हरकतों ने मेरे मुँह की मिठास छीन ली।'",His actions took away the sweetness of my mouth.,'His actions took away the sweetness of my mouth.',2,1,2,1
मुँह की कसर निकालना,बदला लेना,To take revenge.,उसने मौके पर मुँह की कसर निकाल ली।,settle a score (0.81),settle a score,"'मुँह की कसर निकालना' means 'settle a score'. Given the above knowledge, translate this sentence to English: 'उसने मौके पर मुँह की कसर निकाल ली।'",He settled a score at the opportune moment.,"""He settled the score on the spot.""",3,2,3,2
मुँह तोड़ जवाब देना,कठोर प्रतिकार करना,Give a fitting reply,उसने अपने आलोचकों को मुँह तोड़ जवाब दिया।,,,"'मुँह तोड़ जवाब देना' means 'Give a fitting reply'. Given the above knowledge, translate this sentence to English: 'उसने अपने आलोचकों को मुँह तोड़ जवाब दिया।'",He gave a fitting reply to his critics.,"""He gave a fitting reply to his critics.""",3,3,3,3
मुँह धोना,सजग होना,To wash one's face,उसकी हरकतों पर मैंने मुँह धोने का निश्चय किया।,,,"'मुँह धोना' means 'To wash one's face'. Given the above knowledge, translate this sentence to English: 'उसकी हरकतों पर मैंने मुँह धोने का निश्चय किया।'",I decided to wash my hands of his actions.,"""I decided to wash my hands of his actions.""",3,3,3,3
मुँह की बात छुपाना,सच न बताना,To hide one's true feelings.,उसने मुँह की बात छुपाकर मुझे धोखा दिया।,,,"'मुँह की बात छुपाना' means 'To hide one's true feelings.'. Given the above knowledge, translate this sentence to English: 'उसने मुँह की बात छुपाकर मुझे धोखा दिया।'",He deceived me by hiding his true feelings.,"""He deceived me by hiding his true feelings.""",3,2,3,2
मुलायम बनावट,चिकनी और नरम संरचना,Soft texture,इस कपड़े की मुलायम बनावट बहुत पसंद आई।,,,"'मुलायम बनावट' means 'Soft texture'. Given the above knowledge, translate this sentence to English: 'इस कपड़े की मुलायम बनावट बहुत पसंद आई।'",I really liked the soft texture of this fabric.,"""I really liked the soft texture of this fabric.""",3,1,3,1
मुँह में पानी आना,लालच आना,Mouth-watering,उसकी मिठाई देखकर मेरे मुँह में पानी आ गया।,,,"'मुँह में पानी आना' means 'Mouth-watering'. Given the above knowledge, translate this sentence to English: 'उसकी मिठाई देखकर मेरे मुँह में पानी आ गया।'",Seeing his dessert made my mouth water.,Seeing his sweets made my mouth water.,3,3,3,3
मुफ्त में मिलना,बिना मूल्य चुकाए कुछ प्राप्त होना,To get for free,मेले में हमें बहुत सारी चीजें मुफ्त में मिलीं।,,,"'मुफ्त में मिलना' means 'To get for free'. Given the above knowledge, translate this sentence to English: 'मेले में हमें बहुत सारी चीजें मुफ्त में मिलीं।'",We got a lot of things for free at the fair.,"""We got many things for free at the fair.""",3,3,3,3
मुँह में अमृत घोलना,बहुत ही मीठा और सुखद बोलना,To speak sweetly,उसकी बातों ने मुँह में अमृत घोल दिया।,,,"'मुँह में अमृत घोलना' means 'To speak sweetly'. Given the above knowledge, translate this sentence to English: 'उसकी बातों ने मुँह में अमृत घोल दिया।'",His words were like sweet nectar in my mouth.,"""His words were very sweet.""",3,3,2,1
मुँह पर थप्पड़ मारना,अपमानित करना,To slap someone in the face,उसकी बातों ने जैसे मेरे मुँह पर थप्पड़ मारा।,,,"'मुँह पर थप्पड़ मारना' means 'To slap someone in the face'. Given the above knowledge, translate this sentence to English: 'उसकी बातों ने जैसे मेरे मुँह पर थप्पड़ मारा।'",His words felt like a slap in the face.,"""His words felt like a slap in the face.""",3,3,3,3
मुँह के बल गिरना,असफल होना,Fall flat on one's face,उसकी योजना मुँह के बल गिर गई।,,,"'मुँह के बल गिरना' means 'Fall flat on one's face'. Given the above knowledge, translate this sentence to English: 'उसकी योजना मुँह के बल गिर गई।'",His plan fell flat on its face.,His plan fell flat on its face.,3,3,3,3
मुँह में घी भरना,किसी को खुश करना,To speak sweetly,उसकी सफलता की खबर ने सबके मुँह में घी भर दिया।,,,"'मुँह में घी भरना' means 'To speak sweetly'. Given the above knowledge, translate this sentence to English: 'उसकी सफलता की खबर ने सबके मुँह में घी भर दिया।'",The news of his success made everyone speak sweetly.,"""His success news made everyone speak sweetly.""",2,1,1,1
"बड़े मियाँ तो बड़े मियाँ, छोटे मियाँ सुभान अल्लाह",एक से बढ़कर एक,"The elder one is impressive, but the younger one is extraordinary.","उसके पिता भी बहुत होशियार हैं और वह खुद भी, यह तो बड़े मियाँ तो बड़े मियाँ, छोटे मियाँ सुभान अल्लाह जैसी बात हो गई।",,,"'बड़े मियाँ तो बड़े मियाँ, छोटे मियाँ सुभान अल्लाह' means 'The elder one is impressive, but the younger one is extraordinary.'. Given the above knowledge, translate this sentence to English: 'उसके पिता भी बहुत होशियार हैं और वह खुद भी, यह तो बड़े मियाँ तो बड़े मियाँ, छोटे मियाँ सुभान अल्लाह जैसी बात हो गई।'","His father is very clever and he himself is also, the elder one is impressive, but the younger one is extraordinary.","""His father is very intelligent, and he himself is too; this is just like 'The elder one is impressive, but the younger one is extraordinary.'""",2,1,3,1
मूँछों की कसम से,प्रतिष्ठा की शपथ से,Swear on my mustache,उसने मूँछों की कसम से कहा कि वह सच बोल रहा है।,,,"'मूँछों की कसम से' means 'Swear on my mustache'. Given the above knowledge, translate this sentence to English: 'उसने मूँछों की कसम से कहा कि वह सच बोल रहा है।'",He said that he is telling the truth by swearing on his mustache.,"""He swore on his mustache that he was telling the truth.""",2,1,3,1
मुँह में बर्फ घुलना,धीरे-धीरे बात करना,To become very polite or sweet-spoken.,उसकी मुँह में बर्फ घुलने जैसी बातों ने सभी को प्रभावित किया।,"as nice as ninepence (0.87), nice as pie (0.85)",as nice as ninepence,"'मुँह में बर्फ घुलना' means 'as nice as ninepence'. Given the above knowledge, translate this sentence to English: 'उसकी मुँह में बर्फ घुलने जैसी बातों ने सभी को प्रभावित किया।'","His words, as nice as ninepence, impressed everyone.","""His as nice as ninepence words impressed everyone.""",2,1,1,1
मुँह में दही बघारना,चुप रहना,To remain silent.,उसके सवालों पर मैंने मुँह में दही बघार लिया।,"button (up) one's lip (0.82), hold tongue (0.86), hold your tongue (0.84), keep schtum (0.76), silent as the grave (0.78), zip oneâ€™s lip (0.77)",button,"'मुँह में दही बघारना' means 'button'. Given the above knowledge, translate this sentence to English: 'उसके सवालों पर मैंने मुँह में दही बघार लिया।'",I dodged the question.,"""I buttoned up at his questions.""",3,1,1,3
मुँह पर कसम खाना,सच्चाई की कसम लेना,Swear on one's face,उसने मुँह पर कसम खाकर कहा कि वह सच बोल रहा है।,,,"'मुँह पर कसम खाना' means 'Swear on one's face'. Given the above knowledge, translate this sentence to English: 'उसने मुँह पर कसम खाकर कहा कि वह सच बोल रहा है।'",He swore on his face that he is telling the truth.,"""He swore on his face that he was telling the truth.""",1,1,1,1
मुँह से अंगारे निकालना,बहुत क्रोध करना,To speak harshly,उसकी मुँह से अंगारे निकालने वाली बातें सुनकर सब डर गए।,bite someone's head off (0.77),bite someone's head off,"'मुँह से अंगारे निकालना' means 'bite someone's head off'. Given the above knowledge, translate this sentence to English: 'उसकी मुँह से अंगारे निकालने वाली बातें सुनकर सब डर गए।'","Upon hearing the words that could bite someone's head off from him, everyone got scared.",Everyone got scared hearing her biting remarks.,2,2,3,2
मुस्कान फैलाना,खुशी का माहौल बनाना,Spread a smile,उसकी उपस्थिति ने कमरे में मुस्कान फैला दी।,,,"'मुस्कान फैलाना' means 'Spread a smile'. Given the above knowledge, translate this sentence to English: 'उसकी उपस्थिति ने कमरे में मुस्कान फैला दी।'",His presence spread a smile in the room.,"""Her presence spread a smile in the room.""",3,1,3,1
मुँह तक पहुंचना,बहुत पास होना,Reach the mouth,"लक्ष्य मुँह तक पहुंचा, लेकिन अंत में वह असफल हो गया।",,,"'मुँह तक पहुंचना' means 'Reach the mouth'. Given the above knowledge, translate this sentence to English: 'लक्ष्य मुँह तक पहुंचा, लेकिन अंत में वह असफल हो गया।'",The goal reached the mouth but ultimately failed.,"""The goal was within reach, but in the end, he failed.""",1,1,3,3
बात का बतंगड़ बनाना,छोटी सी बात को बढ़ा देना,Make a mountain out of a molehill.,"तुम बात का बतंगड़ मत बनाओ, शांति से इसका हल निकालो।",,,"'बात का बतंगड़ बनाना' means 'Make a mountain out of a molehill.'. Given the above knowledge, translate this sentence to English: 'तुम बात का बतंगड़ मत बनाओ, शांति से इसका हल निकालो।'","Do not make a mountain out of a molehill, solve it peacefully.","""Don't make a mountain out of a molehill, find a peaceful solution to this.""",3,3,3,3
मुँह का कौर बनना,किसी का प्रिय होना,To be an easy prey,उसका बच्चा उसके मुँह का कौर बना हुआ है।,,,"'मुँह का कौर बनना' means 'To be an easy prey'. Given the above knowledge, translate this sentence to English: 'उसका बच्चा उसके मुँह का कौर बना हुआ है।'",Her child is an easy prey for her.,"""Her child is an easy prey for her.""",1,1,1,1
मुँह की राह देखना,किसी की प्रतीक्षा करना,To eagerly await someone's arrival.,उसने शाम तक उसके मुँह की राह देखी।,,,"'मुँह की राह देखना' means 'To eagerly await someone's arrival.'. Given the above knowledge, translate this sentence to English: 'उसने शाम तक उसके मुँह की राह देखी।'","By evening, he eagerly awaited her arrival.",'He eagerly awaited his arrival until the evening.',3,2,3,2
