id,idiom,en_meaning,zh_meaning,ja_meaning
67,一气呵成,"to complete a task or work in one go, without stopping or taking a break",做一件事情时不休息或中断,一気呵成
68,一窍不通,"not the slightest understanding, completely ignorant or clueless",形容对某个事物完全不懂或一点儿也不懂,全く理解できない
69,一丘之貉,birds of a feather flock together,指人互不相上下，同样不值得推崇,同じような性格や能力をもつ人同士が集まること
70,一钱不值,"worthless, not worth a penny",指某物或某事物质、价值等十分低微或微不足道,一文の価値もない
71,一清二楚,"clear and distinct, leaving no room for doubt",形容非常清楚，没有任何疑惑或模糊之处,非常に明確で、はっきりとしている
72,一去不复返,can never be returned or recovered once gone,去了就不再回来,一度過ぎたものは二度と戻ってこない
73,一穷二白,"completely impoverished, having nothing at all",形容一个人物质生活贫困，文化水平低下,全くの貧困状態で、まったくの無知であること。
74,一息尚存,"still alive, though barely",指临死前还有一口气，比喻虽然状况艰难，但还有一丝希望或生机,最後の一息を残している
75,一蟹不如一蟹,comparing two things and stating that one is not as good as the other,同类之间互相竞争,同じグループまたはレベルで比べると、品質や能力が非常に似ていることを指す。
76,一泻千里,go a long way at one go/ make rapid progress,形容水势迅猛，一泻而下；也形容文章或思想行动快而连续,一気に長距離を走ること
77,一笑置之,to dismiss or treat something (usually a problem or criticism) with a smile and ignore it,不把事情当回事，对待事情漠不关心,笑って放置する
78,一心一德,united in thought and purpose,指人心思一致，行动一致；也指人心胸宽大，肯为大众着想,一心一体となって、一つの目標に向かって努力する
79,一心一意,to be single-minded and wholeheartedly focused on something,全心全意地，彻底地,一つの目標や意志に集中する
80,一厢情愿,being wishful thinking and not considering the reality or other perspectives,指只顾自己的愿望和感情，不顾别人的意见和实际情况,一方的な好意や希望、思い込み
81,一知半解,having only a superficial or partial understanding,对某一事物或领域的了解只是片面和不全面的,一部分だけ理解していて、全体を理解していない。
82,一纸空文,empty words on paper,指空洞无实质内容的文件或文件的内容与实际相悖，不可相信,紙切れに過ぎない
83,一掷千金,spend a large amount of money at once,挥发大笔财富，毫不犹豫地花钱,大金を一度に使うこと
84,一朝被蛇咬，十年怕井绳,Having a lingering fear or trauma after a past negative experience; being cautious and apprehensive for a long time after a single incident,因为一次遭受到伤害或受骗，就会对同样的事情持谨慎态度很长一段时间,蛇に噛まれた一度、十年間井戸の綱を怖れる
85,一朝一夕,within a short period of time; very quickly,短时间内；很短的时间,短時間で、非常に短期間で
86,一枕黄粱,to have a fleeting dream or illusion; to wake up from a beautiful dream,形容经历的美好事物，后来发觉只是一场梦境,夢や幻想の一夜。理想的な状況や快楽的な体験が一度だけ訪れること
87,一针见血,hitting the nail on the head; getting straight to the point,直击要害，说中要害,的確に要点をついて、直接的かつ効果的に問題を指摘する
88,一张一弛,alternating between exertion and rest; maintaining a balance between work and relaxation,努力工作一段时间后，需要适当地休息，保持平衡,休息と労働をバランスよく取りながら進む
89,一着不慎，满盘皆输,one careless move leads to total failure; making a single mistake causes the whole plan to go wrong,如果一步走错，那么整个棋局都会失败。形容一旦出错，后果将非常严重。,一つの手違いで全てを失う
90,一差二错,"making one mistake after another, with each mistake being worse than the previous one",做事差错不断，屡屡失误,一回の差し引きや修正で完璧になることができるほど、何もかもが完全に間違っている。
91,一筹莫展,to be at a loss and unable to come up with a solution,无法找到解决问题的办法，陷入困境,解決策や手立てがひとつも見つからず、困り果てる
92,一尘不染,completely untainted or unaffected by worldly desires or influences,指心地纯洁，没有受到外界的污染,微塵も汚れていない
93,一唱百和,Everyone chimes in harmoniously; everyone speaks in unison,形容一人发起声来，众人附和跟随,一人が歌い始めれば、他の人も合唱する
94,一唱一和,"to sing in harmony, to cooperate well together",形容人的回答或行为完全一致或相互呼应,互いに呼応する、即座に返答する
95,一成不变,"unchanging, remaining the same",毫无变化，完全不变,変わらないままであること。一度決まったことを変更しないこと。
96,一触即发,on the verge of erupting or happening,形容形势或情况非常紧张，非常危险，很可能发生冲突或爆炸,緊張が高まり、いつ爆発するかわからない状態
97,一触即溃,"a situation that is on the verge of collapsing or breaking down, where a minor touch or disturbance could lead to a quick and complete failure",形容形势或防御力极弱，一触即破败,一瞬で崩れ去る、崩壊する
98,一视同仁,Treating everyone equally and impartially,对待每个人都一视同仁，毫不偏袒,全ての人を公平に扱う
99,一失足成千古恨,one mistake can lead to lifelong regret,一次错误的行动会造成长久的悔恨和遗憾,一度失敗すると、その後もずっと後悔することになる
100,一事无成,achieving nothing; being unsuccessful,没有任何事情成功或完成,何の成果も挙げられない、何も達成しない
101,一手包办,to handle or take care of everything oneself,指一个人独立完成一件事情，全权掌握并全面负责,一手で全てを取り仕切る
102,一手遮天,"dominating and controlling everything, covering up the truth and manipulating the situation",比喻能力强，手段高明，能够控制或掩盖一切事物,圧倒的な力や影響力で他者を制御し、真実を隠蔽する
103,一身是胆,having great courage,形容非常勇敢，没有一点胆怯,身の内にすべての勇気を持つ
104,一日千里,making rapid progress or advancing at an astonishing speed,表示进步或发展非常迅速,物事が非常に速く進むこと。また、成果や技術が驚くべき速さで進歩すること。
105,一日三秋,"feeling like a long time has passed, experiencing a deep longing or missing someone or something",形容久违的事物或人让人感觉像是分别已久,一日が過ぎるのに三回秋が経つほど、とても長い時間に感じること
106,一人得道，鸡犬升天,"when one person succeeds, even the chickens and dogs can ascend to heaven",一个人获得成功，连鸡犬也能升到天上去了,一人が道を得れば、鶏犬も天に昇る
107,一人传虚，万人传实,"One person spreads a rumor, but thousands believe it to be true",传播虚假的消息只需要一个人，而真实的消息则会被无数人传扬开来,一人が嘘を広めると、万人が真実と受け取る
108,一如既往,as usual; consistent; unchanged,始终保持一贯的态度或行为,相変わらず
109,一字千金,"extremely valuable, each word is worth a thousand pieces of gold",形容一字之书价值连城，字里藏金,一字の価値が千金に匹敵すること。非常に短い言葉や一文字で非常に重要な意味や価値を表現すること。
110,一则以喜，一则以惧,simultaneously experiencing both joy and fear,既带着喜悦，也带着恐惧,一つは喜ぶことであり、もう一つは恐れることである
111,一蹴而就,to achieve success quickly and effortlessly,迅速成功，一步达到目标,一気に成功し、容易に目標を達成する
112,一寸丹心,a strong and unwavering loyalty or devotion to someone or something,形容心意坚定、忠诚的信仰或感情,一寸の心意気
113,一寸光阴一寸金,Time is precious and should not be wasted.,时间既宝贵又宝贵,時間と金銭の価値は同等である
114,一丝不苟,meticulous and paying attention to every detail,形容十分细心，不敢稍有疏忽。,細部においても厳密であり、完璧さが欠けていないこと。
115,一丝不挂,completely naked; without any clothes,形容一点儿东西也不带，没有任何遮掩,一切をまったくない状態である
116,一丝一毫,even the smallest amount; the tiniest bit,形容非常细小，微不足道的量,極めて微細なものや僅かな変化を指す
117,一扫而空,"swept away completely, leaving nothing behind",完全清除或清空某物，使之一无所有,一網打尽のように、すっかり取り除かれる
118,一而再，再而三,"repeatedly, again and again",形容次数多，频繁重复的动作或事件,何度も繰り返し行われること。一回や二回ではなく、何度も続くこと。
119,一衣带水,"""a long river flowing through one's clothes"" or ""a river running just through one's clothes""",形容地理上两地非常相近，只有一条河隔开,境界線が非常に近い
120,一意孤行,to persist in one's own way or course of action regardless of others' opinions or advice,固执地坚持己见，不听别人的劝告或意见,自分の意志や方法に固執し、他の意見や助言を受け入れない
121,一叶知秋,to know the whole situation from a small clue,从一片叶子的变色就能判断秋天来了,少しの兆しや一つの例から、全体の状態や将来の見通しを推測すること
122,一叶障目，不见泰山,"Being blinded by a single leaf, unable to see Mount Tai",因为迷恋小事物而忽略了大事物,小さな問題が大きすぎて全体の視野を遮るため、重要なポイントを見失っている
123,一言难尽,difficult to fully explain or express in just a few words,难以用简单的话来完整表达清楚的意思,説明するのが難しいほど複雑な問題、状況、または感情がある
124,一言既出，驷马难追,"Once spoken, it is hard to take back or undo.",一旦说出来就难以追回，就像无法追上已经奔驰的驷马一样。形容事情一旦说出来就无法收回或挽回。,一度言葉が出た後では、四頭馬車を追い越すのは難しい
125,一言以蔽之,to sum it up in a few words; to put it simply,用一句话来概括或总结,簡潔に説明すると
126,一言为定,to make a firm decision or promise with just one statement,比喻表示答应或决定，一句话就能成定局,一言をもって決める
127,一无可取,"nothing worthwhile or beneficial, having no positive qualities",没有什么值得取得或赞许的地方,まったく受け入れられる価値がない。
128,一物降一物,one thing can counteract another,one thing suppresses or counters another thing,一つの物が他の物を制す
129,一无是处,completely without merit or value,没有一点好的地方，毫无价值,何一つ価値がない
130,一误再误,making one mistake after another,形容错误累积，一次又一次地犯错,一度間違えると、その間違いが再び起こること。同じ間違いを繰り返すこと。
131,一无所知,having no knowledge or being completely unaware,知道的东西很少或者什么也不知道,何も知らない
132,一无所长,having no particular skills or talents,指没有特长或技能,何の才能もないこと。何も得意とすることがないこと。
133,一无所有,having nothing at all,一点都没有，一样都没有,何も持っていない、全くの無一文
134,一五一十,give a detailed and accurate account,详详细细地讲述,事実を正確かつ詳細に説明する
135,一文不值,"worthless, of no value at all",没有任何价值，毫无意义,何の価値もなく、全く無価値である
136,一问三不知,Knowing nothing when asked multiple questions,形容对某一事物完全不了解或者不懂,質問されたことについて何も知らないということを3回続けて回答すること。
137,一网打尽,to capture or solve everything in one fell swoop,完全捕捉到或解决所有问题或困扰,一挙に全てを捕らえる
138,一往情深,"deeply in love, wholeheartedly devoted",深深地爱着一个人，情感无法割舍,一途に愛し続ける
139,一望而知,to know or understand something just by one quick glance or observation,一看就知道，看一眼就了解,一目見てすぐに分かる
140,一望无际,"endless and boundless, stretching as far as the eye can see",无边无际，看不到尽头。形容没有限制或界限,見渡す限り、果てしない
141,一往无前,"unstoppable, forging ahead without hesitation or doubt",毫不畏惧，勇往直前。形容决心坚定，毫不动摇,前へ進む勇気と決意を持って、一直続すること。
142,一语破的,saying something that hits the point and reveals the truth,形容说话直截了当，一语击中要害，将问题或情况揭示清楚,一言で理解される
143,一语道破,to directly and accurately point out a key issue or truth with just a single sentence,用一句话就能揭穿问题的关键所在,一言で真実を暴露すること。
144,七拼八凑,"gathering and assembling resources from different places in order to make do or complete something, often in a haphazard or makeshift way",凑合一块，勉强拼凑,あれこれ手を尽くして、とりあえず作り上げる
145,七颠八倒,totally confused; everything is turned upside down,形容事物错乱、颠倒无序,混乱している
146,七零八落,disorganized and scattered,杂乱无章，不整齐,物事や人々が散らばってばらばらで、まとまりや秩序がない状態
147,七窍生烟,getting extremely angry or losing control of one's temper,形容非常生气或愤怒。,激怒している
148,七长八短,unexpected accidents or problems that arise,形容事情的结果良好不良好、顺利不顺利等情况无法确定或未知，充满变数,いろいろな問題や困難が起きること。
149,七手八脚,being clumsily and uncoordinated; everyone being in the way,形容做事不统一，慌乱无序,手足を使って非常に忙しい。
150,七上八下,a state of extreme anxiety or uneasiness,心情焦虑不安、担心或忧虑的样子,心配したり不安になったりすること
151,七嘴八舌,Everybody talking at once,形容众多人一起发言，声音杂乱，意见纷纷,多くの人々が同時に話し、騒々しくなること
152,三番五次,repeatedly; over and over again,反复多次，屡次重复的做某事,何度も何度も繰り返して
153,三头六臂,having extraordinary capabilities; being able to handle multiple tasks at once,非常能干、非常厉害,多くのことを同時にこなすことができる能力や能力を持っている
154,三天打鱼，两天晒网,occasionally doing some work while mostly idling or being lazy,不持续，不稳定地进行某项活动或工作,三日魚を釣って、二日ひとしい日に干す。
155,三令五申,repeatedly and emphatically instructing or reminding someone,反复三次又五次地告诫、嘱咐,繰り返し命令や指示をする
156,三个臭皮匠，胜过一个诸葛亮,Three ordinary people working together can surpass the wisdom of a brilliant individual.,三个一般人联合起来，也能超过一个天才；团结合作的力量大于个人的智慧。,三人の匠より一人の诸葛亮が優れている
157,三顾茅庐,"""paying multiple visits to someone's humble abode"" (used to describe someone's persistent efforts to seek advice or assistance from someone highly respected or knowledgeable)",形容非常尊敬、重视某人，多次前去拜访。源自刘备三次到草庐拜访诸葛亮的故事。,何度か訪ねて求めることで、有能な人材を探し出す
158,三句话不离本行,always talking about one's own profession or area of expertise,总是谈论或思考同自己工作或行业相关的事情,自分の専門分野について話す際に、他の話題から逸れず、常に本業に関連している
159,三心二意,having conflicting or undecided thoughts or intentions,形容心思不专一，意志不坚定,心の中で迷いがあること。意志や態度が定まらないこと。
160,三长两短,unexpected misfortune or accident,形容意外事故或不幸的突发事件,思いがけない悲劇的な出来事。特に、予期せぬ死や事故を指すことが多い。
161,三十六计，走为上策,"Of the Thirty-Six Stratagems, fleeing is the best plan.",比喻遇到危险或困难时，逃走是最好的办法,計画がうまくいかない場合、回り道して逃げるほうが賢明である
162,三生有幸,to be fortunate enough to have three lifetimes,有福气，非常幸运,三度生まれ変わることは幸運である
163,三人行必有我师,I find something to learn from everyone I meet; there is always something to learn from others,在任何人群中，都能从他人身上学到一些东西,三人歩けば我が師あり
164,三足鼎立,Three powers holding the balance of power,三个势力或者利益平衡，相互竞争，互不相让,三位一体の地位を保つ
165,三寸不烂之舌,a silver tongue that can persuade others with just a few words,指能言善辩，口才极好,非常に巧妙な話術や弁舌の才能を指す
166,三思而行,Think thrice before you act,思考三次再采取行动,よく考えてから行動する
167,三三两两,in groups of two or three,形容人或事物分散、零散、不整齐的样子,少人数のグループ
168,三言两语,a few words; brief and concise,简短的话；表明态度或意图的几句话,簡単な言葉数で、要点を伝えること。
169,三五成群,gathering in small groups or cliques,几个人凑在一起,少数の人々が集まって行動する
170,三位一体,"""the three parts forming a whole"" or ""trinity""",指物体或事物的三个部分或方面相互联系，构成一个整体,三つの要素が一つに統一されている状態。
171,上不着天，下不着地,feeling stuck or in a difficult situation where one cannot make progress or find a solution,形容处境困窘，无处可依靠或找到安身立命的地方,天に上がれず、地に下がれない。何をするにも行き詰まることがある。
172,上天无路，入地无门,"no way out, nowhere to go",形容陷入极度困境，没有希望的出路,どこに行っても逃げ場がなく、全く希望がない状況。
173,上梁不正下梁歪,"If the upper beam is not straight, the lower beams will be crooked",比喻上面的人不正派，下面的人也会效仿，纷纷采取不正当行为,上司や指導者の欠点や誤りが、部下や後続の人々にも及ぶこと
174,上下其手,to use both hands (to work); also refers to being skillful or adept at something,"比喻作品或文章等上下非常费心, 仔细打磨",両手を使う
175,上行下效,to follow the example of superiors and learn from their success,下面的人效法上面的人的样子，形容模仿效法。,上の人が努力したり良い成果を出すと、下の人たちもそれに影響を受けて努力したり成果を上げること。
176,上谄下骄,Superiors flatter and inferior become arrogant,上级对下级谄媚奉承，下级对上级傲慢自大,上位者におべっかを使いへつらい、下位者に対して驕る態度を示す
177,上蹿下跳,be jumpy and restless,忙碌而不停，上下嬉戏,忙しくあたふたと動くことや、欲しいものを手に入れるために駆け引きをすること
178,上无片瓦，下无插针之地,having no place to stay; being in a difficult situation without any support or shelter,形容贫穷到了极点，没有一块可以遮风挡雨的地方,上に屋根もなく、下に針を差し込む場所もない
179,下笔千言，离题万里,Going off on tangents and writing a lot of words that are unrelated to the main topic,形容文章或讲话时，能够流畅地表达很多话，但与主题没有关联,筆を下すごとに言葉は千の言葉になり、話題からはるかに離れる
180,下不为例,should not be taken as a precedent,表示某种行为或做法不允许再重复或模仿,これを例にすべきではない。この場合は特別な例外である。
181,下马看花,making a superficial judgment without fully understanding or appreciating something,浅尝辄止，不仔细研究或欣赏,花をじっくり見るために馬を降りる
182,下里巴人,Uncivilized and uncultured,形容一个人或一个集体的资质、素质、能力低下或者不堪。,地方の人々
183,下车伊始,from the moment one gets off the car,形容刚下车或刚开始做某事的时候,車から降りたばかりの始まりの段階で
184,不败之地,a place or situation that is invincible or cannot be defeated,指一个地方或者一个领域在某方面十分强大，几乎无法被击败的状态,絶対に負けることのない場所
185,不白之冤,an injustice that cannot be righted,指无辜受冤枉或冤案没有得到昭雪的冤屈,冤罪が晴れて、真実が明らかになること
186,不辨菽麦,unable to tell the difference between right and wrong; unable to distinguish between the valuable and the worthless,指分辨不出好坏，形容眼光浅淡，没有辨别能力,真贋や本物と贋物を見分けられないこと。また、見抜けないこと。
187,不破不立,"No breakthrough, no progress",指要想建立新的事物，必须先推翻旧的制度或势力,壊さなければ新しいものは生まれない
188,不偏不倚,"impartial, fair and just",不偏向任何一方，不偏不倚地平衡对待,偏りや偏見がなく、公平かつ中立な態度を持つ
189,不平则鸣,to voice one's grievances or complaints when seeing injustice or unfairness,不满不公正的事情就发出声音来，寻求公正,不満があれば鳴く
190,不毛之地,a barren land; a place that is unproductive or lacks potential,没有土地肥沃、草木繁茂，以及没有发展前途或者投资机会的地方,何も生えない土地や田畑がない場所、特に発展の見込みがない場所
191,不谋而合,to coincide without prior planning; happening to have the same ideas or opinions without intentional coordination,指两个或多个人在没有事先商议的情况下，偶然或自然地达到相同的想法、意见、行动等。,計画しないままに、偶然同じ意見や行動をとる
192,不明不白,unclear; without clarity or understanding,情况不明，含糊不清,はっきりしないこと、明確でないこと。説明がなく、理解が難しいこと。
193,不名一文,without a penny; penniless; broke,一点钱都没有,一文も持っていないこと
194,不乏其人,"""not lacking such people""; ""there is no shortage of such individuals""",形容有很多能胜任某项工作或担任某种角色的人存在,多くの人がいて欠乏していないこと
195,不费吹灰之力,"accomplishing something effortlessly, without exerting much effort",轻而易举，极容易做到,ほとんど努力することなく、簡単に達成すること。
196,不分彼此,indistinguishable; unable to differentiate between two or more things,形容没有区别，没有分别,区別しないで、同じように扱う
197,不分皂白,"not distinguishing between right and wrong, unable to differentiate the truth from falsehood",对是非不加分辨，不分青红皂白,善悪を判別することなく、一方的に処理する
198,不打不成相识,Only through conflict can we get to know each other.,只有打过交道、发生矛盾，才能彼此认识、交朋友,互いに接触しなければ、関係を築くことはできない
199,不违农时,to follow the right timing; to act in accordance with the agricultural season,按照农业的耕作时间进行工作或行动，比喻按照规定或适时进行某项工作或活动,農作業の時期や季節に従って行動すること。また、事情や状況に適した行動を取ること。
200,不打自招,confessing without being interrogated,指犯罪嫌疑人在审讯时主动供出罪行，没有交代就已经被揭发。也泛指在言语或行为上，会暴露本意或犯错误。,自白する前に暴露する
201,不到黄河心不死,not giving up until one reaches the last resort or desperate situation,经历过激烈或艰难的事情，才会真正懂得人生的意义,黄河を渡らなければ心は死なない
202,不得人心,not being accepted or liked by the people,指在人心理不受欢迎、得不到支持、拥护,人々の心をつかむことができず、支持や好意を得ることができない
203,不得要领,Not grasping the key point,不理解或不掌握重点或要领,要点やポイントを理解したり把握したりすることができず、中心を外れること
204,不登大雅之堂,not up to the level of sophistication or elegance,指没有品行、品味、水平或才能达到一定的程度，不适宜或不足以在高雅的场合出现,上流社会や知識人の世界になかなか入れず、身分や品位が不釣り合いである
205,不动声色,not showing any outward emotions or reactions,不露声色，不表露出内心的情感或意图,冷静で落ち着いた態度を保ちながら、内心では驚きや感情を表さない
206,不痛不痒,neither painful nor itchy,对某事毫无感觉或兴趣,あまりにも弱くて効果のないこと。気持ちを慰めるだけで問題の解決にはなっていない
207,不同凡响,"extraordinary, outstanding",与众不同，超出寻常,一般の人と異なって優れている
208,不能自拔,"Unable to extricate oneself, being in a state where one cannot help themselves",太过沉湎于某种情感或境况，无法自拔出来,自分で抜け出すことができない
209,不念旧恶,"not holding grudges or seeking revenge, choosing to let go of past grievances",不再记恨过去的仇恨或恶行,過去の悪事や悪評を忘れ、和解しようとする
210,不宁唯是,Always restless and unsatisfied,形容心里不服气，一意孤行，不肯听取别人的意见,心が安定せず、いつも不満がある
211,不劳而获,gain something without putting in any effort or work,获得收获却没有努力付出,手間をかけずに得る
