id,idiom,en_meaning,zh_meaning,ja_meaning
36,a fact of life,something that is inevitable or unavoidable; a basic or fundamental truth or reality,生活中的事实或现实,生活の事実、現実の一部
37,a fate worse than death,an extremely bad or undesirable outcome or situation,比死亡更糟糕的命运,死よりも悪い運命
38,a feather in one's cap,an achievement or accomplishment that one can be proud of,引以为荣的成就或荣誉,誇りに思う成果や業績
39,a fish out of water,feeling uncomfortable or out of place in a certain situation,不知所措的人或物,場違いな存在、浮いた存在
40,a flash in the pan,something or someone that initially shows great promise but fails to meet expectations in the long run,昙花一现,一時的な成功や注目を浴びるが、長続きせずに失敗や忘れ去られること
41,a fly in the ointment,something that spoils or ruins a situation or plan,破坏完美计划、情况或享受的一件小事物,計画や行動を台無しにする要素、邪魔な要素
42,a fly on the wall,To be an unnoticed observer; to be able to witness a situation without being noticed,墙上的一只苍蝇（表示想要偷听或观察别人而不被发现的愿望）,壁にとまっているハエ
43,a fool and his money are soon parted,Someone who is foolish with their money will quickly lose it.,愚者与金钱很快就会分手,愚者の金はすぐに離れる
44,a fool's paradise,"to be in a state of false happiness or satisfaction, often due to ignorance or denial of reality",愚人的天堂,愚か者の楽園
45,a foot in the door,to have a small opportunity or opening that could lead to further success or advancement,获得一个机会或进入一个组织或行业的一种方式,小さな成功によって自分の立場を確立する
46,a golden key can open any door,having the right or influential connections can help you achieve success or gain access to opportunities,有些事情和某人需要钱才能成功,黄金の鍵はどんなドアでも開けることができる
47,a hair's breadth,an extremely narrow margin or very close distance,微小的差距或差异,髪の毛ほどの差
48,a hot potato,a controversial or sensitive issue that is difficult to handle or solve,一个棘手的问题或情况，难以处理或回避,危険な、扱いにくい問題
49,a house divided against itself cannot stand,internal conflict within a group or organization will lead to its downfall,家庭、群体、团队内部不团结，很难成功或持久,自ら分裂した家は持ちこたえることができない
50,a knight in shining armour,a person who comes to someone's aid or rescue; a heroic or chivalrous person,全副武装的骑士，通常指一个英勇和完美的男人,輝く鎧を身につけた騎士
51,a leopard can't change his spots,Someone cannot change their basic nature or character.,金矿再怎么催也不会变钢铁。形容人的根本性格很难改变。,豹は斑を変えない
52,a life-saver,someone or something that saves or rescues someone in a difficult or dangerous situation,救命恩人，救生员,救命具
53,a little bird told me,to have learned or obtained information from an unknown or secret source,有人告诉我,秘密情報を教えてもらった、何か特別な情報を持っている
54,a little learning is a dangerous thing,having a small amount of knowledge about something can lead to overconfidence and mistakes,知之甚少则危险,少しの学識が危険なものである
55,a load of cobblers,nonsense or rubbish; something that is not believable or of poor quality,一堆胡言乱语或无意义的话,error
56,a load of codswallop,nonsense or something that is completely untrue or unbelievable,完全胡扯的一堆话,ばかげた話、でたらめ、くだらないもの
57,a lost ball in the weeds,to be in a difficult or hopeless situation with little chance of success or rescue,茫然无助；不知所措,迷子のボール; 混乱した状況に取り残された人
58,a lot on my plate,having many tasks or responsibilities to deal with,任务繁重，忙得不可开交,自分の肩にたくさんの責任や仕事がある
59,a lot on your plate,Having a lot of tasks or responsibilities to deal with,应付或处理的事情太多，无法集中注意力或完成所有任务。,多くの仕事または責任がある
60,a man after my own heart,"someone who has the same attitudes, preferences, or interests as oneself",一个与自己志同道合的人,私の心の中の理想的な人
61,a man of action,"Someone who takes decisive and immediate action, rather than just talking or planning",行动派人物,行動派の人
62,a man of few words,"someone who does not talk much, someone who is not very talkative",少言寡语的人,口数の少ない人、言葉数を減らす人
63,a man's man,"to describe a man who is strong, tough, and exhibits stereotypically masculine qualities",一个具有男子气概、坚定、勇敢的男人,男らしい男
64,a miss is as good as a mile,Even a small mistake or failure has the same result as a larger one; being close to success or achieving a goal is not the same as actually succeeding.,差之毫厘，失之千里,微妙な違いや詳細によってはどちらも同じくらいの意味を持つ
65,a needle in a haystack,something that is very difficult or impossible to find or locate,大海捞针,針の穴を探すようなもの
66,a new lease of life,"renewed energy, vitality, or enthusiasm",重新获得活力，重新开始,新たな生命力または活力
67,a number cruncher,a person who performs a lot of numerical calculations or data analysis,做费时繁琐的数学计算的人,数字を処理する人; データを分析する人
68,a penny for your thoughts,an expression used to ask someone what they are thinking about or to invite them to share their thoughts or opinions,请让我知道你在想什么,考え事をしているのですか？
69,a penny saved is a penny earned,Saving money is the same as earning money; it is wise to save money.,省下来的一分钱就是挣来的一分钱,節約した1ペニーは1ペニーの価値がある
70,a perfect storm,a situation in which a combination of factors come together to create a very difficult or dangerous problem,一场灾难性的交织事件，多个不利因素同时出现导致的困难或灾难,完璧な嵐、混乱の完全な状態
71,a picture is worth 1000 words,An image or visual representation can convey a message or meaning more effectively than words can.,千言万语不如一张图片,一枚の絵が1000語に値する
72,a picture is worth a thousand words,An image can convey a complex idea or emotion more effectively than a written description.,一幅画胜过千言万语。,一枚の写真は千語に匹敵する価値がある
73,a picture paints a thousand words,Visual imagery is often more powerful or effective in conveying a message or expressing a concept than words alone.,一图胜千言,一枚の絵は千の言葉を物語る。
74,a piece of cake,something that is very easy to do or accomplish,非常容易完成的事情,非常に簡単なこと
75,a pig in a poke,buying something without inspecting it first,掩人耳目的买卖或交易，即对商品的真实情况毫无了解,見てもわからないものを買うこと。証拠や詳細を確認せずに何かを購入すること。
76,a place in the sun,having a comfortable or favorable position; a situation where one is prosperous or content,享受成功、尊重、优势或机会的位置,成功と幸福の状態や位置
77,a pretty penny,to cost a large amount of money,非常昂贵或值得的大笔金钱,非常に高価なもの
78,a red flag,something that indicates a potential danger or warning sign,一个警示信号或预警信号,危険や警告の兆候や象徴
79,a red rag to a bull,something that is certain to provoke or irritate someone,激怒别人的事物或行为,怒りや興奮を引き起こすもの、特に敵意や攻撃性をもつ人に対して
80,a roof over your head,having a place to live; having basic shelter and protection,提供住所,屋根の上にあること、特に住む場所の確保
81,a safe pair of hands,someone who can be relied upon to do a task or handle a situation competently and responsibly,一个可靠的人，能够信任的人,信頼できる、安心できる人
82,a sea change,a profound or significant transformation or change,巨大的变化或转变，尤指对某种情况或态度的完全转变,大きな変化、特に態度や思考の変化
83,a shot in the arm,a boost or stimulus; something that rejuvenates or revitalizes,给予鼓舞或帮助，尤指在情感或士气方面,活気やエネルギーを与えること、活気づけること
84,a sight for sore eyes,"something or someone that is very pleasing, comforting, or refreshing to see",一见到就让人心情愉快或感到欣慰的人、事或物,疲れた目に嬉しい光景
85,a skeleton in the closet (or cupboard),an embarrassing or shameful secret that someone keeps hidden from others,祸根；不愿对别人透露的不光彩的事情；不为人知的秘密,過去の秘密や恥ずかしい出来事
86,a slap on the wrist,a mild or lenient punishment or reprimand,轻微的惩罚,軽い注意や警告
87,a sledgehammer to crack a nut,using excessive force or taking extreme measures to solve a relatively small problem,用大砲打蚊子,ベンチを壊すためのスケッジハンマー
88,a snowball effect,The situation where an initial action or event leads to a series of increasingly significant consequences or reactions.,一个小事件或行动引发的连锁反应，导致问题或局势迅速变大或扩大,転機のきっかけとなり、拡大する影響を持つこと
89,a snowball's chance in hell,almost no chance at all,不可能成功的机会或可能性,成功する可能性がほとんどない、ほとんど不可能な状況
90,a sorry sight,"something or someone that is sad, pitiful, or pathetic to look at",一个令人惋惜或难看的景象,悲惨な光景
91,a steal,an exceptionally good deal; something that is obtained or purchased at a very low price,非常划算的交易,大変お得なもの
92,a stitch in time saves nine,Taking prompt action to solve a problem or address an issue can prevent greater problems or issues in the future.,及时处理问题，可以避免更大的麻烦或损失,手を早めに打つことで将来の大きな問題を防ぐ
93,a stone's throw,a short distance away; within close proximity,一箭之遥,ほど近い距離; 近くにある
94,a storm in a teacup,an overreaction to a small or insignificant issue,小题大做；无风起浪,騒ぎたてているけれど実はささいなこと
95,a taste (or dose) of your own medicine,experiencing the same negative treatment or action that one has given to others,被别人以同样的方式对待，尝尝自己的滋味,自分自身に向けた同じ行為や扱いを受けること; 復讐されること
96,a thorn in my flesh,"someone or something that causes constant annoyance, frustration, or difficulty",令人痛苦或苦恼的事物或人,私の肉に刺さるところ
97,a toss up,an uncertain or unpredictable outcome; a situation in which the result is unclear or equally likely,无法预测或决定的事情，两种选择具有相等的可能性,どちらが勝つかは分からない、等しい競争または意見の対立
98,a trip to the sun,"There is no widely recognized English idiom ""a trip to the sun.""",努力追求一个永远不会实现的目标或愿望,夢中になっている、非現実的な計画
99,a voice crying in the wilderness,someone who is expressing an unpopular or ignored opinion or viewpoint,無人聽從的呼聲,誰も相手にしない、注目されない意見や呼びかけ
100,a watched pot never boils,"when you are waiting for something to happen, it seems to take a very long time",过于焦虑等待某事并不会使其更快发生,見ている鍋はなかなか煮えない
101,a whole new ball game,"a completely different situation or set of circumstances, often more challenging or complex than before",完全不同的情况或局势,まったく新しい状況やルールの下での異なる展開
102,a wolf in sheep's clothing,someone who appears harmless or friendly but is actually dangerous or deceitful,伪装的狼，指的是外表善良，内心狡猾的人,羊の皮をかぶった狼
103,a woman of few words,someone who speaks very little or is not talkative,说话不多的女人,言葉数の少ない女性
104,a woman's work is never done,"to suggest that there is always more work or responsibilities for women, emphasizing the perception that women have a larger workload compared to men",婦女的工作永遠完不成,女性の仕事は決して終わらない
105,about as useful as a chocolate teapot,completely useless or ineffective,一点用处都没有,何の役にも立たない、全く役に立たない
106,about face,"to completely change one's opinion, attitude, or direction",完全改变方向或主意,意見や方針を180度変える
107,about time,"""finally"" or ""long overdue""",终于发生了该发生的事情,予想通り、期待された出来事や行動が起こったこと。または、長い間待っていたことが起こったこと。
108,above board,"open, honest, and transparent; without deceit or hidden agendas",光明正大的；公开透明的,公平で正直な
109,above par,better or higher quality than average or expected,超过一般水平，优于平均水平,平均以上の、優れた、または優れた状態である
110,above suspicion,immune to suspicion or doubt,毫无可疑地，无可指摘,疑惑をかけられない、信用できる、疑いを受けない
111,above the law,exempt from the rules or laws that apply to others,凌驾于法律之上,法律の適用を受けずに特権的な地位を持つ、あるいは法律を破ることができる状態にある
112,above the salt,to be of high rank or social standing,在高位或显要位置,上流階級、高位の人々と一緒にいる
113,absence makes the heart grow fonder,the feeling of affection or longing for someone or something increases when they are absent or distant,物以稀为贵,物事や人に遠ざかることで、その価値を高める
114,abso-bloody-lutely,absolutely; definitely; without a doubt,绝对肯定；肯定有理,絶対に，間違いなく
115,accidentally on purpose,doing something intentionally but making it seem like an accident,故意为之，虽然表面上看起来是意外的,故意に事故を起こす、わざと何かをする
116,account for,to provide an explanation or answer for something,解释或说明某事的原因或原理,説明する; 理解する
117,ace in the hole,a secret advantage or resource that can be used in a situation when it is needed,一个秘密的策略、计划或资源，可以在紧急情况下使用,秘しい強力な手段、秘策
118,achilles heel,the vulnerable or weak point of someone or something,致命弱点，某人的最大短处或最容易遭受攻击的方面,最も脆弱な点、弱点、欠点
119,achilles' heel,a weakness or vulnerable point,致命弱点；要害部位,弱点または欠点
120,aching heart,feeling deep sadness or longing,心痛或悲伤的感觉,胸が痛む、心が痛む、悲しみに耐える
121,acid test,a definitive and conclusive test to determine the true nature or quality of something,严酷的考验；真正检查品质或能力的试金石,厳しい試験やチャレンジによって真価が明らかになること
122,across the board,applying to everyone or everything; affecting all aspects or areas,涵盖各个方面或所有范围,全面的に、全ての領域にわたって
123,act _ age,to behave in a manner that is appropriate for someone of a certain age,按年龄表现,_歳相応に振る舞う
124,act of God,"an event or occurrence that is beyond human control, often used to refer to a natural disaster or other catastrophic event",不可抗力；天灾，不可预测或无法避免的自然事件或力量,神の摂理による自然災害や不可抗力の出来事
125,act of god,an unpredictable event or natural disaster that causes significant damage or loss,不可抗力；自然灾害,天災
126,act one's age,to behave in a manner that is appropriate for someone of a certain age or maturity level,按年龄行事,自分の年齢にふさわしい行動をする
127,act your age,to behave in a mature and responsible manner appropriate for one's age,按照年龄行事；成熟一些,年相応に振る舞う
128,actions speak louder than words,what someone does is more important than what they say they will do,行动胜于言辞,行動が言葉よりも大きく語る
129,adam's ale,"""water"" (referring to water as a simple and pure drink)",纯净水,水(非アルコール)のこと
130,add fuel to _ fire,To make a situation worse by aggravating or intensifying it,为某事火上浇油,燃え上がった感情や状況をより悪化させること
131,add fuel to the fire,to worsen or escalate a situation by saying or doing something that makes it more intense or contentious,火上浇油,火に油を注ぐ
132,add fuel to the fire (or flames),to make a tense situation worse by aggravating or intensifying it,火上浇油,火に油を注ぐ
133,add fuel to the flames,to make a bad situation worse,火上加油；煽风点火,火に油を注ぐ
134,add insult to injury,to make a bad situation worse by saying or doing something that is hurtful or offensive,火上加油，雪上加霜，用一种行为或对待使糟糕的情况更糟。,傷口に塩を塗る、さらに悪いことをする
135,affinity for,a natural liking or attraction towards something or someone,对某事或某人有特殊的喜爱、偏爱或亲近感,〜に対する親近感、好み、または嗜好
136,against the clock,to be in a race against time or to have limited time to complete a task,争分夺秒、赶时间,時間に追われて行動すること
137,against the grain,going against one's natural inclination or preference; doing something in a way that is contrary to what is expected or typical,违背个人本能或直觉去做某事,普通や一般的なことに反する; 当然ではない方向に進もうとする; 自分と他の人との間で対立を引き起こす
138,against time,attempting to complete or achieve something before a deadline or time constraint,争分夺秒地，迫在眉睫地，与时间竞争,時間との競争、時間に逆らいながらの努力
139,age before beauty,"to show respect for elders or allow them to go ahead in a certain situation, often with a touch of humor",年岁比美貌更重要，所以应该给比自己老的人先去做,年上の人が美しさを優先する
140,age out of something,to reach the age at which one is no longer eligible or required to participate in something,逐渐年龄过大而不再适合某事物,ある状況、活動、またはグループから年齢の制約により卒業する、成長し過ぎている
141,ahead of _ time,to be innovative or revolutionary in relation to a particular period or era,在某事发生之前或提前的时间,＿の時代を先取りして
142,ahead of one's time,to be more advanced or innovatiive than others; to have ideas or beliefs that are ahead of their time,过于先进或超前于时代的思想或观点,自分の時代よりも進んだ考え方やアイデアを持っている
143,ahead of the curve,"being ahead or more advanced than others in terms of knowledge, skills, or trends",在发展或趋势之前，比其他人更早或更有先见之明,他の人よりも進んでいる、より先進的である
144,ahead of the game,being in a favorable or advantageous position; being prepared or ahead in a particular situation,处于有利地位，比他人更先进或更成功,他の人よりも進んでいる; 優位な立場にいる
145,ain't my first rodeo,experienced; not easily fooled or taken advantage of,这不是我第一次经历，我有经验,これが初めての経験ではない；経験がある；初心者じゃない
146,al desko,"Refers to eating lunch at one's desk, typically in a work or office setting",在办公桌前用餐,デスクに席を外さずに食事すること
147,al fresco,"""outdoors"" or ""in the open air""",在户外（尤指用餐）,屋外で（特に食事をすること）
148,alive and kicking,still alive and healthy; active and energetic,活得好好的，充满活力,元気いっぱいで活動している、健在である
149,all Greek to me,something that is difficult or impossible to understand or comprehend,对某事一无所知、毫无概念或听不懂,わけがわからない、理解できない
150,all along,from the beginning; throughout the entire duration of something; at every stage or moment,一直以来；一直都知道,終始
151,all and sundry,"everyone, without exception",所有人，无论男女老幼都包括在内,誰でも、全員、だれにでも
152,all at sea,to be confused or disoriented,迷失方向；感到困惑或不确定,方向が分からない; 困っている; 混乱している
153,all bark and no bite,"someone who talks tough or acts aggressively, but lacks the courage or ability to follow through with their threats or actions",纸老虎，嘴上厉害但实际上没什么能耐,見かけや言動は凶暴であるが、実際には行動しないこと
154,all bets are off,to imply that previously established rules or expectations no longer apply,一切皆无法预测，没有确定性或保证,すべての予測が当てはまらない、すべてが不確定になる
155,all cats are grey in the dark,"when it is not possible to see or perceive differences, appearances or distinctions become irrelevant",暗中看来，所有的猫都是灰色的,暗闇では、すべての猫は灰色に見える
156,all day long,for the entire duration of the day,整天、一整天,一日中
157,all dressed up and nowhere to go,"being prepared for a special event or occasion, but having no opportunity or purpose to use it",打扮得漂漂亮亮却无处可去,身なりを整えているが、行く場所がない
158,all ears,eager to listen or hear something,全神贯注地倾听,注意を払って聞く
159,all hat and no cattle,"someone who talks boastfully or confidently about their abilities or accomplishments, but has no substance or evidence to support their claims",言行不一致，虚有其表,見た目は立派だが、実際には何も手柄を残せていない
160,all hell broke loose,chaos or extreme disorder ensued,局势变得混乱或失控,大混乱、大騒ぎが起こる
161,all in a day's work,something that is expected or typical; a task or situation that is a normal part of one's job or responsibilities,习以为常；不足为奇,日常的な仕事の一環として行われること
162,all in all,"considering everything, overall, in summary",总而言之，总体来说,全体的に考えると、結論として、総じて
163,all is fair in love and war,any type of behavior is acceptable or justified when dealing with love or war,爱情和战争中，一切皆公平,愛と戦争の中ではすべてが許される
164,all kidding aside,to be serious and stop joking or playing around,除开开玩笑不谈，严肃对待或认真思考某事,冗談はさておき
165,all one's eggs in one basket,"to put all of one's resources or hopes into a single, risky endeavor, rather than diversifying or spreading them out",把所有的希望或资源都集中在一个地方或一个事物上,一つの場所や方法に全ての賭けをすること
166,all over bar the shouting,all the essential or important parts or elements are completed or settled,胜券在握；胜利在望,終わりが近づいている; もう確定している
167,all over the map,unorganized or lacking focus; scattered,到处都在,あまりにも散らかった、まとまりのない
168,all over the place,"disorganized or chaotic, lacking focus or consistency",到处都有，无处不在,あちこちに、いたるところに、ひっくり返った状態で
169,all over the shop,"disorganized, scattered, or inconsistent; lacking focus or coherence",在很多不同的位置或方向上散乱或分散,あちこちに散らかっている、まとまりがない
170,all over the show,"being disorganized or scattered, lacking focus or direction",到处都是；乱七八糟；一塌糊涂,あちこちで、乱雑で、混乱している
171,all set,Ready or prepared for something,准备就绪；一切就绪,すべて準備完了
172,"all singing, all dancing",state-of-the-art; including many advanced features or capabilities,搭载了所有风格、功能或创新的；全能型的；多方面的,機能や特徴が一通り揃っていて、完全な形で完成している
173,all that glitters is not gold,"to be cautious of appearances, as things may not be as good as they seem",闪光的不一定都是金子,輝いているものが全て金ではない
174,all that jazz,and everything else of a similar nature or kind; and so on; and so forth,各种各样的事情；诸如此类的东西,その他の同様なもの、などといった何か
175,all the more,even more; to a greater extent,更加，尤其是,さらに一層、より一層
176,all the rage,extremely popular or fashionable,非常流行；风靡一时,非常に人気があり、流行っている
177,all the way,completely or fully; without any limitations or reservations,全程、从头到尾,最後まで完全に; すべてをやり遂げる
178,all things being equal,assuming that all conditions are the same; in a fair and unbiased situation,在一切情况都相等的条件下,全てが等しい状態であるならば
179,all thumbs,to be clumsy or awkward with one's hands,笨手笨脚,不器用でぎこちない
180,all to cock,"confused, disorganized, or in a state of chaos",一团糟，混乱不堪,全く間違ったやり方で
181,all together now,to do something simultaneously or in unison,一起进行某项活动或达到共识,皆一緒に; 全員が同じ行動や応答をする
182,all walks of life,people from all different backgrounds and social statuses,各行各业的人；来自不同背景或行业的人,あらゆる社会階層や職業の人々
183,all wet,completely wrong or mistaken,完全错误或误解的,思い違いや誤解をしている
184,all work and no play makes Jack a dull boy,"to imply that without time for leisure or recreation, a person becomes boring or uninteresting",只工作不玩耍使杰克成为一个乏味的男孩,仕事ばかりで遊ばないことはジャックを退屈な人にする
185,all's fair in love and war,"It is acceptable to use any means necessary to achieve one's goals, especially in situations involving strong emotions or conflict.",爱情与战争中一切皆可为,愛と戦争では、何でも許される
186,alley cat,"a person who leads a wild, carefree, and often promiscuous lifestyle",流浪猫，指一个行为不端的人,野良猫
187,along about,approximately or around a particular time or period,大约在...的时候,ある時間や場所に到達することが予想される
188,along the lines,similar or in a similar manner,按照某种方式；以某种方式,大まかなアイデアや計画に基づいて、同様の方法で進めること
189,alpha Mom,"an assertive, dominant, or controlling mother who takes charge of her family and is highly involved in her children's lives",一位非常自信和有能力的母亲，通常在职业和家庭生活中都非常成功,アルファマム
190,alpha and omega,the beginning and the end; the most important or essential part; the entirety or completion of something,始終;核心;重要部分,最初と最後、または全体的な存在や重要性を示すもの
191,alphabet soup,"a situation or organization in which there are too many acronyms or initials used, making it difficult to understand or navigate",一堆难以理解或混乱的首字母缩略词或短语,アルファベットスープ
192,always chasing rainbows,continuously pursuing something that is unlikely to be achieved,一直追逐不可能实现的事情,常に幸福や成功を求めるが、実現不可能である
193,amber nectar,beer,琥珀色的美酒,黄金の液体
194,amped up,to be extremely excited or energetic,兴奋或激动的状态,興奮している、エネルギッシュな状態になっている
195,an Englishman's home is his castle,one's home is a private and protected space where they have control and authority,一个人的家是他的庇护所,自分の家は個人の権利と自由の象徴であり、他の人が関与することを許さない
196,an act of God,an event or occurrence that is beyond human control or influence,不可抗力；天灾,天災、自然災害
197,an act of war,"an aggressive action, typically involving physical force, that is considered a provocation or cause for conflict",战争行为，指敌对行动或具有敌对性的行为,戦争行為
198,an apple a day keeps the doctor away,Regular consumption of healthy habits can help maintain good health and prevent illnesses.,每天吃一个苹果，远离医生,1日1個のリンゴは医者を遠ざける
199,an arm and a leg,an exorbitant or excessively high price,花费很多钱,非常に高価なもの、高い金額
200,an axe to grind,to have a hidden personal agenda or ulterior motive,别有目的地做某事，通常是出于个人利益或私人动机,個人的な利益や目的がある
201,an eye for an eye,retributive justice; the idea of punishment or revenge in which the punishment corresponds in degree and kind to the offense,以眼还眼；以暴制暴,報復の原則、同じぐらいの損害または罰を与えること
202,an item,an unspecified or non-specific thing or object,一对情侣或者一个团队的成员,仲の良いカップル
203,an old flame,an old love interest or former romantic partner,曾经的恋人或者过去的爱情,昔の恋人
204,an open and shut case,a situation or legal matter that is easily and clearly resolved or determined,显而易见的事情，没有争议的事情,決定的な結論がすぐに導き出される状況
205,an ounce of prevention is worth a pound of cure,"It is better to take precautions in advance to prevent a problem, rather than trying to resolve it later.",预防胜于治疗,予防は治療の一ポンドに値する
206,an ugly duckling,someone or something that initially appears unattractive or unimpressive but later develops into something beautiful or impressive,一个容貌不好看但后来成为美丽的人或事物,醜いアヒルの子
207,and all that jazz,and similar things; and other similar things,等等类似的东西,など、その他の関連する物事
208,and so on,continuing in the same manner; et cetera; and so forth,等等,など; その他の類似のものまたは事項
209,and then some,"to an even greater extent, or in addition to what has been mentioned or expected",不仅如此，还有更多,それ以上ないほど、それ以上のもの
210,and what not,and other similar things,等等；诸如此类的事物,他にも色々なものや事など
211,ankle biter,"a small child or an animal, especially one that is prone to biting or bothering others",小孩子或幼崽,小さな子供や動物、特にやんちゃな子供を指す
212,another nail in one's coffin,a further action or event that brings one closer to ruin or failure; something that worsens the already difficult or negative situation,加重某人困境或失败的因素,他の問題や失敗が、個人や組織の終わりを近づける原因であること
213,ants in pants,to be very restless or unable to sit still,坐立不安，无法静下心来,落ち着きがない、じっとしていられない
214,any minute soon now,"very soon, any moment now",马上即将到来,今すぐにでもすぐに
215,any port in a storm,to accept any solution or opportunity in a difficult or desperate situation,困境中，抓住任何机会或选择,困難な状況の中で、どんな選択肢でも受け入れること
216,any port in a storm,making do with whatever is available in a difficult or challenging situation,狂风暴雨中的任何避难所,「どんな嵐にも避難できればいい」
217,anyone's guess,uncertain or unknown; difficult to predict,无法预测、无法确定，任何人都无法知道的事情,誰の予想もつかない
218,anything but,the complete opposite; not at all,不是...而是...,全く違う、全然違う、まったく逆の
219,anything goes,"to allow or accept anything, regardless of standards or rules",不拘一格；随心所欲；什么都行,何でも許される、どんな行動や方法でも構わない
220,apple of discord,a source of disagreement or anger; a cause of conflict or strife,引起纷争或争议的事物,論争や紛争の原因となるもの
221,apple of eye,someone or something that is cherished or highly valued,心目中最喜爱的人或物,大切に思う人や物、愛する人や物
222,apple of somebody's eye,someone or something that is greatly cherished or loved,某人心目中的宠儿或宝贝；被某人特别喜爱和关注的人或物,大切な存在、最愛の人
223,apple polisher,someone who excessively flatters or ingratiates themselves with someone in a position of power or authority,拍马屁的人,おべっか使い
