Hindi_Idiom,Hindi_Meaning,English_Meaning,Hindi_Sentence,ai_generated_idioms,English_Idiom,english_idiom,translation_instruction,English_Sentence_3.5,English_Sentence_4o,3.5_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4,4o_Evaluation_4o
बहुत होशियार होना,चतुर होना,To be very clever,"वह बहुत होशियार है, सब काम ठीक से करता है।","{
  ""Hindi idiom"": ""बहुत होशियार होना"",
  ""English definition"": ""To be very clever or shrewd"",
  ""English idiom 1"": ""To be as sharp as a tack"",
  ""English idiom 2"": ""To be quick on the uptake"",
  ""English idiom 3"": ""To have one's wits about one""
}",,To be as sharp as a tack,"'बहुत होशियार होना' means 'To be as sharp as a tack'. Given the above knowledge, translate this sentence to English: 'वह बहुत होशियार है, सब काम ठीक से करता है।'","He is very sharp, does all the work properly.","""He is as sharp as a tack and does everything perfectly.""",3,2,3,3
मुँह का पर्दा गिराना,सच्चाई उजागर करना,To reveal one's true intentions.,आखिरकार उसने मुँह का पर्दा गिरा दिया और सब सच्चाई बता दी।,"```json
{
  ""Hindi idiom"": ""मुँह का पर्दा गिराना"",
  ""English definition"": ""To lose face or be embarrassed in public due to one's actions or words."",
  ""English idiom 1"": ""Lose face"",
  ""English idiom 2"": ""Egg on one's face"",
  ""English idiom 3"": ""Eat humble pie""
}
```",,Lose face,"'मुँह का पर्दा गिराना' means 'Lose face'. Given the above knowledge, translate this sentence to English: 'आखिरकार उसने मुँह का पर्दा गिरा दिया और सब सच्चाई बता दी।'","Finally, he lost face and told the truth.","""Eventually, he lost face and revealed the whole truth.""",1,1,1,1
मुँह सीना,बोलने से रोकना,Sew up one's mouth,उसने अपने कर्मचारियों के मुँह सी दिए ताकि कोई विरोध न कर सके।,"```json
{
  ""Hindi idiom"": ""मुँह सीना"",
  ""English definition"": ""To remain silent or to not speak on a matter."",
  ""English idiom 1"": ""Button one's lip"",
  ""English idiom 2"": ""Keep mum"",
  ""English idiom 3"": ""Seal one's lips""
}
```",,Button one's lip,"'मुँह सीना' means 'Button one's lip'. Given the above knowledge, translate this sentence to English: 'उसने अपने कर्मचारियों के मुँह सी दिए ताकि कोई विरोध न कर सके।'",He silenced his employees to prevent any opposition.,"""He buttoned his employees' lips so that no one could protest.""",3,2,3,2
मुँह में मिठास भरना,किसी की खुशी की वजह बनना,To sweeten someone's mouth,उसकी सफलता ने सभी के मुँह में मिठास भर दी।,"```json
{
  ""Hindi idiom"": ""मुँह में मिठास भरना"",
  ""English definition"": ""To speak sweetly or say pleasant things to someone, often with the intention of pleasing or flattering them."",
  ""English idiom 1"": ""Sugarcoat one's words"",
  ""English idiom 2"": ""Butter someone up"",
  ""English idiom 3"": ""Sweet-talk someone""
}
```",,Sugarcoat one's words,"'मुँह में मिठास भरना' means 'Sugarcoat one's words'. Given the above knowledge, translate this sentence to English: 'उसकी सफलता ने सभी के मुँह में मिठास भर दी।'",His success sugarcoated everyone's words.,"""His success sugarcoated everyone's words.""",2,1,2,1
मुँह बंद रखना,चुप रहना,Keep your mouth shut.,मामले को गंभीर समझकर उसने मुँह बंद रखा।,"{
  ""Hindi idiom"": ""मुँह बंद रखना"",
  ""English definition"": ""To keep quiet or to keep a secret."",
  ""English idiom 1"": ""Keep your lips sealed"",
  ""English idiom 2"": ""Button your lip"",
  ""English idiom 3"": ""Zip your lip""
}",,Keep your lips sealed,"'मुँह बंद रखना' means 'Keep your lips sealed'. Given the above knowledge, translate this sentence to English: 'मामले को गंभीर समझकर उसने मुँह बंद रखा।'","He kept his lips sealed, understanding the seriousness of the matter.","""Understanding the seriousness of the matter, he kept his lips sealed.""",3,3,3,3
मुँह देखना,किसी की प्रतिक्रिया देखना,To rely on someone for support or approval.,मैंने उसकी बात पर मुँह देखा।,"```json
{
  ""Hindi idiom"": ""मुँह देखना"",
  ""English definition"": ""To wait for someone's response or approval before taking action or to be dependent on someone else's approval."",
  ""English idiom 1"": ""Wait for the green light"",
  ""English idiom 2"": ""Toe the line"",
  ""English idiom 3"": """"
}
```",,Wait for the green light,"'मुँह देखना' means 'Wait for the green light'. Given the above knowledge, translate this sentence to English: 'मैंने उसकी बात पर मुँह देखा।'",I waited for his response.,"""I waited for the green light on what he said.""",2,1,2,1
आपे से बाहर होना।,सामर्थ्य से अधिक क्रोध प्रकट करना।,To be out of control.,अपने साथी की पिटाई का समाचार सुनते ही छात्र आपे से बाहर हो गए।,"```json
{
  ""Hindi idiom"": ""आपे से बाहर होना।"",
  ""English definition"": ""To lose one's temper or self-control."",
  ""English idiom 1"": ""Blow a fuse"",
  ""English idiom 2"": ""Fly off the handle"",
  ""English idiom 3"": ""Lose one's cool""
}
```",,Blow a fuse,"'आपे से बाहर होना।' means 'Blow a fuse'. Given the above knowledge, translate this sentence to English: 'अपने साथी की पिटाई का समाचार सुनते ही छात्र आपे से बाहर हो गए।'","Upon hearing news of his friend being beaten up, the student blew a fuse.","""Hearing the news of their classmate's beating, the students blew a fuse.""",3,3,3,3
"बीती ताहि बिसार दे, आगे की सुधि ले",पिछले दुख को भूलकर आगे की सोचना,Forget the past and focus on the future.,"जो हुआ सो हुआ, अब आगे की सोचो, बीती ताहि बिसार दे, आगे की सुधि ले।","```json
{
  ""Hindi idiom"": ""बीती ताहि बिसार दे, आगे की सुधि ले"",
  ""English definition"": ""Forget the past and focus on the future"",
  ""English idiom 1"": ""Let bygones be bygones"",
  ""English idiom 2"": ""Water under the bridge"",
  ""English idiom 3"": ""Don't cry over spilt milk""
}
```",,Let bygones be bygones,"'बीती ताहि बिसार दे, आगे की सुधि ले' means 'Let bygones be bygones'. Given the above knowledge, translate this sentence to English: 'जो हुआ सो हुआ, अब आगे की सोचो, बीती ताहि बिसार दे, आगे की सुधि ले।'","What happened has happened, now think ahead, let bygones be bygones, focus on the future.","""What's done is done, now think ahead, let bygones be bygones.""",3,3,3,3
मुँह देखना,किसी का अनुसरण करना,To wait for someone's approval or decision.,सब उसके मुँह देख रहे थे कि वह क्या कहेगा।,"```json
{
  ""Hindi idiom"": ""मुँह देखना"",
  ""English definition"": ""To wait for someone's response or approval before taking action or to be dependent on someone else's approval."",
  ""English idiom 1"": ""Wait for the green light"",
  ""English idiom 2"": ""Toe the line"",
  ""English idiom 3"": """"
}
```",,Wait for the green light,"'मुँह देखना' means 'Wait for the green light'. Given the above knowledge, translate this sentence to English: 'सब उसके मुँह देख रहे थे कि वह क्या कहेगा।'",Everyone was waiting for him to speak.,Everyone was waiting for the green light from him to see what he would say.,3,1,2,1
मुँह में रेत डालना,चुप कराना,To silence someone.,उसकी धमकी ने मेरे मुँह में रेत डाल दी।,"```json
{
  ""Hindi idiom"": ""मुँह में रेत डालना"",
  ""English definition"": ""To silence someone or prevent them from speaking."",
  ""English idiom 1"": ""Put a sock in it"",
  ""English idiom 2"": ""Button your lip"",
  ""English idiom 3"": ""Zip your lip""
}
```",,Put a sock in it,"'मुँह में रेत डालना' means 'Put a sock in it'. Given the above knowledge, translate this sentence to English: 'उसकी धमकी ने मेरे मुँह में रेत डाल दी।'",His threat put a sock in my mouth.,"""His threat put a sock in it for me.""",2,1,1,1
मुँह में मिश्री घोलना,मीठी बातें करना,To speak sweetly,उसने मुँह में मिश्री घोलकर सबको खुश कर दिया।,"```json
{
  ""Hindi idiom"": ""मुँह में मिश्री घोलना"",
  ""English definition"": ""To speak sweetly or say pleasant things to someone."",
  ""English idiom 1"": ""Sugarcoat one's words"",
  ""English idiom 2"": ""Sweet-talk someone"",
  ""English idiom 3"": ""Honeyed words""
}
```",,Sweet-talk someone,"'मुँह में मिश्री घोलना' means 'Sweet-talk someone'. Given the above knowledge, translate this sentence to English: 'उसने मुँह में मिश्री घोलकर सबको खुश कर दिया।'",He sweet-talked everyone by sugar-coating his words.,"""He sweet-talked everyone and made them happy.""",3,2,3,3
मूँछों की लड़ाई,प्रतिष्ठा का झगड़ा,Clash of egos,उनके बीच मूँछों की लड़ाई चल रही है।,"```json
{
  ""Hindi idiom"": ""मूँछों की लड़ाई"",
  ""English definition"": ""A contest or rivalry primarily focused on proving one's superiority or dominance, often involving ego or pride."",
  ""English idiom 1"": ""Clash of the titans"",
  ""English idiom 2"": ""Test of wills"",
  ""English idiom 3"": ""Battle of egos""
}
```",,Battle of egos,"'मूँछों की लड़ाई' means 'Battle of egos'. Given the above knowledge, translate this sentence to English: 'उनके बीच मूँछों की लड़ाई चल रही है।'",A battle of egos is going on between them.,"""There is a battle of egos going on between them.""",3,3,3,3
मुँह की मिट्टी करना,किसी की बातों को महत्व न देना,To humiliate someone,उसकी बातें सुनकर उसने मुँह की मिट्टी कर दी।,"```json
{
  ""Hindi idiom"": ""मुँह की मिट्टी करना"",
  ""English definition"": ""To embarrass or disgrace oneself"",
  ""English idiom 1"": ""Make a fool of oneself"",
  ""English idiom 2"": ""Eat humble pie"",
  ""English idiom 3"": ""Put one's foot in one's mouth""
}
```",,Make a fool of oneself,"'मुँह की मिट्टी करना' means 'Make a fool of oneself'. Given the above knowledge, translate this sentence to English: 'उसकी बातें सुनकर उसने मुँह की मिट्टी कर दी।'","After listening to him, he made a fool of himself.","""Hearing his words, he made a fool of himself.""",1,3,1,2
मुँह में मिठास घोलना,मीठी बातें करना,To sweeten someone's mouth,उसने अपने शब्दों से मुँह में मिठास घोल दी।,"```json
{
  ""Hindi idiom"": ""मुँह में मिठास घोलना"",
  ""English definition"": ""To speak sweetly or flatteringly to someone"",
  ""English idiom 1"": ""Sugarcoat one's words"",
  ""English idiom 2"": ""Sweet talk"",
  ""English idiom 3"": ""Butter someone up""
}
```",,Sugarcoat one's words,"'मुँह में मिठास घोलना' means 'Sugarcoat one's words'. Given the above knowledge, translate this sentence to English: 'उसने अपने शब्दों से मुँह में मिठास घोल दी।'",She sugarcoated her words.,"""He sugarcoated his words.""",3,1,3,1
मुँह पर उंगली रखना,चुप कराना,Keep a finger on the lips.,उसने शोर मचाने वाले बच्चों के मुँह पर उंगली रखकर उन्हें शांत किया।,"```json
{
  ""Hindi idiom"": ""मुँह पर उंगली रखना"",
  ""English definition"": ""To remain silent or keep quiet."",
  ""English idiom 1"": ""Hold your tongue"",
  ""English idiom 2"": ""Button your lip"",
  ""English idiom 3"": ""Bite your tongue""
}
```",,Hold your tongue,"'मुँह पर उंगली रखना' means 'Hold your tongue'. Given the above knowledge, translate this sentence to English: 'उसने शोर मचाने वाले बच्चों के मुँह पर उंगली रखकर उन्हें शांत किया।'",He quieted the noisy children by holding a finger to their mouths.,"""He quieted the noisy children by holding his finger to his lips.""",2,3,3,3
अपना घर समझना।,संकोच न करना।,Make yourself at home.,राम अपने मित्र के घर को अपना घर समझता है। इसलिए वहाँ वह अपनी सब परेशानियाँ कह देता है।,"```json
{
  ""Hindi idiom"": ""अपना घर समझना।"",
  ""English definition"": ""To feel at home; to be comfortable and act as if one is in their own home."",
  ""English idiom 1"": ""Make yourself at home"",
  ""English idiom 2"": ""Feel at home"",
  ""English idiom 3"": ""Mi casa es su casa""
}
```",,Make yourself at home,"'अपना घर समझना।' means 'Make yourself at home'. Given the above knowledge, translate this sentence to English: 'राम अपने मित्र के घर को अपना घर समझता है। इसलिए वहाँ वह अपनी सब परेशानियाँ कह देता है।'","Ram considers his friend's house as his own, so he shares all his troubles there.","""Ram makes himself at home at his friend's house. Therefore, he shares all his troubles there.""",3,3,3,3
मुँह में मिठास घोलना,मीठी बातें करना,To sweeten someone's mouth,उसने अपनी बातों से सबके मुँह में मिठास घोल दी।,"```json
{
  ""Hindi idiom"": ""मुँह में मिठास घोलना"",
  ""English definition"": ""To speak sweetly or flatteringly to someone"",
  ""English idiom 1"": ""Sugarcoat one's words"",
  ""English idiom 2"": ""Sweet talk"",
  ""English idiom 3"": ""Butter someone up""
}
```",,Sugarcoat one's words,"'मुँह में मिठास घोलना' means 'Sugarcoat one's words'. Given the above knowledge, translate this sentence to English: 'उसने अपनी बातों से सबके मुँह में मिठास घोल दी।'",He sugarcoated his words for everyone.,"""He sugarcoated his words for everyone.""",3,1,3,1
मुँह लटकाना,निराशा या उदासी व्यक्त करना,To look disappointed,रिजल्ट खराब आने पर उसने मुँह लटका लिया।,"```json
{
  ""Hindi idiom"": ""मुँह लटकाना"",
  ""English definition"": ""To be visibly disappointed or dejected"",
  ""English idiom 1"": ""To have a long face"",
  ""English idiom 2"": ""Down in the dumps"",
  ""English idiom 3"": ""Feeling blue""
}
```",,To have a long face,"'मुँह लटकाना' means 'To have a long face'. Given the above knowledge, translate this sentence to English: 'रिजल्ट खराब आने पर उसने मुँह लटका लिया।'",He had a long face when the results came out bad.,He had a long face when the results were bad.,3,3,3,3
मुँह के बोल उठना,अपनी बात रखना,To speak up impulsively,उसने मुँह के बोल उठाए और अपनी राय दी।,"```json
{
  ""Hindi idiom"": ""मुँह के बोल उठना"",
  ""English definition"": ""To speak up suddenly or to reveal one's thoughts or feelings unexpectedly."",
  ""English idiom 1"": ""Blurt out"",
  ""English idiom 2"": ""Speak off the cuff"",
  ""English idiom 3"": ""Speak out of turn""
}
```",,Blurt out,"'मुँह के बोल उठना' means 'Blurt out'. Given the above knowledge, translate this sentence to English: 'उसने मुँह के बोल उठाए और अपनी राय दी।'",He blurted out and gave his opinion.,"""He blurted out and gave his opinion.""",2,1,2,1
मुँह फेरना,किसी से बात न करना,Turn away,उसकी बेवफाई के बाद मैंने उससे मुँह फेर लिया।,"```json
{
  ""Hindi idiom"": ""मुँह फेरना"",
  ""English definition"": ""To turn one's face away; to ignore or refuse to acknowledge someone or something."",
  ""English idiom 1"": ""Turn a blind eye"",
  ""English idiom 2"": ""Give someone the cold shoulder"",
  ""English idiom 3"": ""Look the other way""
}
```",,Give someone the cold shoulder,"'मुँह फेरना' means 'Give someone the cold shoulder'. Given the above knowledge, translate this sentence to English: 'उसकी बेवफाई के बाद मैंने उससे मुँह फेर लिया।'","After his betrayal, I gave him the cold shoulder.","After his betrayal, I gave him the cold shoulder.",3,3,3,3
मुँह के आगे उंगली रखना,किसी को चुप कराना,To keep a finger on one's lips.,उसकी बकवास से तंग आकर मैंने मुँह के आगे उंगली रख दी।,"```json
{
  ""Hindi idiom"": ""मुँह के आगे उंगली रखना"",
  ""English definition"": ""To warn someone to be silent or to keep a secret."",
  ""English idiom 1"": ""Put a finger to one's lips"",
  ""English idiom 2"": ""Button one's lip"",
  ""English idiom 3"": ""Keep it under wraps""
}
```",,Put a finger to one's lips,"'मुँह के आगे उंगली रखना' means 'Put a finger to one's lips'. Given the above knowledge, translate this sentence to English: 'उसकी बकवास से तंग आकर मैंने मुँह के आगे उंगली रख दी।'","Fed up with his nonsense, I put a finger to my lips.","""Fed up with his nonsense, I put a finger to my lips.""",3,3,3,3
मुँह पर तेल मलना,दूसरों की परवाह न करना,To ignore or neglect something.,उसने अपनी मुँह पर तेल मल कर सबको नजरअंदाज कर दिया।,"{
  ""Hindi idiom"": ""मुँह पर तेल मलना"",
  ""English definition"": ""To turn a blind eye or ignore something deliberately."",
  ""English idiom 1"": ""Turn a blind eye"",
  ""English idiom 2"": ""Bury one's head in the sand"",
  ""English idiom 3"": ""Look the other way""
}",,Turn a blind eye,"'मुँह पर तेल मलना' means 'Turn a blind eye'. Given the above knowledge, translate this sentence to English: 'उसने अपनी मुँह पर तेल मल कर सबको नजरअंदाज कर दिया।'",He turned a blind eye to everyone after greasing his palm.,"""He turned a blind eye and ignored everyone.""",2,1,3,2
मुँह का मीठा,प्रिय या अच्छा बोलने वाला,Sweet-talker,"वह मुँह का मीठा है, सब उसे पसंद करते हैं।","```json
{
  ""Hindi idiom"": ""मुँह का मीठा"",
  ""English definition"": ""A person who speaks sweetly or pleasantly."",
  ""English idiom 1"": ""Honey-tongued"",
  ""English idiom 2"": ""Silver-tongued"",
  ""English idiom 3"": ""Sugar-coated words""
}
```",,Honey-tongued,"'मुँह का मीठा' means 'Honey-tongued'. Given the above knowledge, translate this sentence to English: 'वह मुँह का मीठा है, सब उसे पसंद करते हैं।'","He is honey-tongued, everyone likes him.","""He is honey-tongued; everyone likes him.""",3,3,3,3
मुँह का स्वाद बिगड़ना,बुरा लगना,To have a bad taste in one's mouth,ऐसी बातें सुनकर मुँह का स्वाद बिगड़ गया।,"```json
{
  ""Hindi idiom"": ""मुँह का स्वाद बिगड़ना"",
  ""English definition"": ""To experience a sudden displeasure or disappointment, often due to an unpleasant event or comment."",
  ""English idiom 1"": ""Leave a bad taste in one's mouth"",
  ""English idiom 2"": ""Sour the mood"",
  ""English idiom 3"": null
}
```",,Leave a bad taste in one's mouth,"'मुँह का स्वाद बिगड़ना' means 'Leave a bad taste in one's mouth'. Given the above knowledge, translate this sentence to English: 'ऐसी बातें सुनकर मुँह का स्वाद बिगड़ गया।'",Listening to such things left a bad taste in my mouth.,"""Hearing such things left a bad taste in my mouth.""",3,3,3,3
मुँह फेर लेना,अनदेखा करना,Turn one's back.,उसके गलत व्यवहार के कारण सबने उससे मुँह फेर लिया।,"{
  ""Hindi idiom"": ""मुँह फेर लेना"",
  ""English definition"": ""To turn one's face away, implying to ignore or abandon someone, especially in a time of need."",
  ""English idiom 1"": ""Turn a blind eye"",
  ""English idiom 2"": ""Give someone the cold shoulder"",
  ""English idiom 3"": ""Look the other way""
}",,Turn a blind eye,"'मुँह फेर लेना' means 'Turn a blind eye'. Given the above knowledge, translate this sentence to English: 'उसके गलत व्यवहार के कारण सबने उससे मुँह फेर लिया।'","Due to his inappropriate behavior, everyone turned a blind eye to him.","Because of his bad behavior, everyone turned a blind eye to him.",2,1,2,1
मुँह का फोड़ा होना,बहुत कष्टकारी होना,To be a pain in the neck,उसकी बदनामी मेरे जीवन का मुँह का फोड़ा बन गई।,"```json
{
    ""Hindi idiom"": ""मुँह का फोड़ा होना"",
    ""English definition"": ""To be a constant source of irritation or annoyance."",
    ""English idiom 1"": ""A thorn in one's side"",
    ""English idiom 2"": ""A pain in the neck"",
    ""English idiom 3"": ""A fly in the ointment""
}
```",,A pain in the neck,"'मुँह का फोड़ा होना' means 'A pain in the neck'. Given the above knowledge, translate this sentence to English: 'उसकी बदनामी मेरे जीवन का मुँह का फोड़ा बन गई।'",His infamy became a pain in the neck of my life.,"""His infamy became a pain in the neck of my life.""",2,2,2,2
मुँह की बात छिपाना,महत्वपूर्ण बात न बताना,To hide one's true feelings.,उसने मुँह की बात छिपाई और सब चौंक गए।,"```json
{
  ""Hindi idiom"": ""मुँह की बात छिपाना"",
  ""English definition"": ""To hide one's true feelings or thoughts"",
  ""English idiom 1"": ""Keep a stiff upper lip"",
  ""English idiom 2"": ""Bite your tongue"",
  ""English idiom 3"": ""Keep it under wraps""
}
```",,Keep a stiff upper lip,"'मुँह की बात छिपाना' means 'Keep a stiff upper lip'. Given the above knowledge, translate this sentence to English: 'उसने मुँह की बात छिपाई और सब चौंक गए।'",He kept a stiff upper lip and everyone was surprised.,"""He kept a stiff upper lip and everyone was surprised.""",2,1,1,1
मुँह तिरछा करना,नाक-भौं चढ़ाना,To pout,उसकी बात सुनकर उसने मुँह तिरछा कर लिया।,"```json
{
    ""Hindi idiom"": ""मुँह तिरछा करना"",
    ""English definition"": ""To show dissatisfaction or disapproval by making a face or expressing contempt"",
    ""English idiom 1"": ""Turn up one's nose"",
    ""English idiom 2"": ""Give a dirty look"",
    ""English idiom 3"": ""Curl one's lip""
}
```",,Turn up one's nose,"'मुँह तिरछा करना' means 'Turn up one's nose'. Given the above knowledge, translate this sentence to English: 'उसकी बात सुनकर उसने मुँह तिरछा कर लिया।'","After listening to him, he turned up his nose.","""Listening to him, she turned up her nose.""",3,3,3,3
मुँह मसोसकर रह जाना,इच्छा पूरी न होने पर दुखी होना,To be left disappointed.,खराब प्रदर्शन के कारण उसे मुँह मसोसकर रह जाना पड़ा।,"```json
{
  ""Hindi idiom"": ""मुँह मसोसकर रह जाना"",
  ""English definition"": ""To be left disappointed or dejected, often after expecting something favorable."",
  ""English idiom 1"": ""Left high and dry"",
  ""English idiom 2"": ""Left in the lurch"",
  ""English idiom 3"": ""Left holding the bag""
}
```",,Left high and dry,"'मुँह मसोसकर रह जाना' means 'Left high and dry'. Given the above knowledge, translate this sentence to English: 'खराब प्रदर्शन के कारण उसे मुँह मसोसकर रह जाना पड़ा।'",He was left high and dry due to poor performance.,"Due to poor performance, he was left high and dry.",2,1,2,1
मुँह पर ठंडा पानी डालना,किसी को शांत करना,To throw cold water on someone's face.,उसकी नाराजगी को मुँह पर ठंडा पानी डालकर शांत किया गया।,"```json
{
  ""Hindi idiom"": ""मुँह पर ठंडा पानी डालना"",
  ""English definition"": ""To shock or surprise someone, often in a way that is disheartening or disappointing."",
  ""English idiom 1"": ""Throw cold water on something"",
  ""English idiom 2"": ""Burst someone's bubble"",
  ""English idiom 3"": ""Rain on someone's parade""
}
```",,Throw cold water on something,"'मुँह पर ठंडा पानी डालना' means 'Throw cold water on something'. Given the above knowledge, translate this sentence to English: 'उसकी नाराजगी को मुँह पर ठंडा पानी डालकर शांत किया गया।'",His anger was calmed by throwing cold water on it.,"""His anger was calmed by throwing cold water on it.""",3,1,3,1
