Hindi_Idiom,Hindi_Meaning,English_Meaning,Hindi_Sentence,translation_instruction,English_Sentence_3.5,English_Sentence_4o,3.5_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4,4o_Evaluation_4o
मुँह देखना,किसी का अनुसरण करना,To wait for someone's approval or decision.,सब उसके मुँह देख रहे थे कि वह क्या कहेगा।,'Translate this sentence to English: 'सब उसके मुँह देख रहे थे कि वह क्या कहेगा।',Everyone was watching to see what he would say.,"""Everyone was looking at him to see what he would say.""",3,2,3,2
मुँह में रेत डालना,चुप कराना,To silence someone.,उसकी धमकी ने मेरे मुँह में रेत डाल दी।,'Translate this sentence to English: 'उसकी धमकी ने मेरे मुँह में रेत डाल दी।',His threat made me eat humble pie.,'His threat left me speechless.',2,1,3,3
मुँह में मिश्री घोलना,मीठी बातें करना,To speak sweetly,उसने मुँह में मिश्री घोलकर सबको खुश कर दिया।,'Translate this sentence to English: 'उसने मुँह में मिश्री घोलकर सबको खुश कर दिया।',He made everyone happy by putting sugar candy in their mouths.,He sweetened everyone's mood with his words.,1,1,3,3
मूँछों की लड़ाई,प्रतिष्ठा का झगड़ा,Clash of egos,उनके बीच मूँछों की लड़ाई चल रही है।,'Translate this sentence to English: 'उनके बीच मूँछों की लड़ाई चल रही है।',A battle of mustaches is going on between them.,"""There is a battle of egos going on between them.""",1,1,3,3
मुँह की मिट्टी करना,किसी की बातों को महत्व न देना,To humiliate someone,उसकी बातें सुनकर उसने मुँह की मिट्टी कर दी।,'Translate this sentence to English: 'उसकी बातें सुनकर उसने मुँह की मिट्टी कर दी।',"After hearing what he said, he put his foot in his mouth.","""Listening to his words, he was left speechless.""",2,3,3,1
मुँह में मिठास घोलना,मीठी बातें करना,To sweeten someone's mouth,उसने अपने शब्दों से मुँह में मिठास घोल दी।,'Translate this sentence to English: 'उसने अपने शब्दों से मुँह में मिठास घोल दी।',He sweetened his words.,"""She sweetened the atmosphere with her words.""",3,2,2,2
मुँह पर उंगली रखना,चुप कराना,Keep a finger on the lips.,उसने शोर मचाने वाले बच्चों के मुँह पर उंगली रखकर उन्हें शांत किया।,'Translate this sentence to English: 'उसने शोर मचाने वाले बच्चों के मुँह पर उंगली रखकर उन्हें शांत किया।',He quieted the children making noise by placing a finger on their lips.,He quieted the noisy children by placing a finger on their lips.,3,3,3,3
अपना घर समझना।,संकोच न करना।,Make yourself at home.,राम अपने मित्र के घर को अपना घर समझता है। इसलिए वहाँ वह अपनी सब परेशानियाँ कह देता है।,'Translate this sentence to English: 'राम अपने मित्र के घर को अपना घर समझता है। इसलिए वहाँ वह अपनी सब परेशानियाँ कह देता है।',"Ram considers his friend's house as his own house. Therefore, he shares all his troubles there.","""Ram considers his friend's house as his own, so he shares all his problems there.""",3,2,3,2
मुँह में मिठास घोलना,मीठी बातें करना,To sweeten someone's mouth,उसने अपनी बातों से सबके मुँह में मिठास घोल दी।,'Translate this sentence to English: 'उसने अपनी बातों से सबके मुँह में मिठास घोल दी।',He sweetened everyone's mouth with his words.,"""His words sweetened everyone's mouths.""",3,2,3,1
मुँह लटकाना,निराशा या उदासी व्यक्त करना,To look disappointed,रिजल्ट खराब आने पर उसने मुँह लटका लिया।,'Translate this sentence to English: 'रिजल्ट खराब आने पर उसने मुँह लटका लिया।',He hung his head in disappointment when the result came out bad.,He became crestfallen when the results were bad.,3,3,3,3
मुँह के बोल उठना,अपनी बात रखना,To speak up impulsively,उसने मुँह के बोल उठाए और अपनी राय दी।,'Translate this sentence to English: 'उसने मुँह के बोल उठाए और अपनी राय दी।',He spoke up and gave his opinion.,"""He spoke up and gave his opinion.""",3,1,3,1
मुँह फेरना,किसी से बात न करना,Turn away,उसकी बेवफाई के बाद मैंने उससे मुँह फेर लिया।,'Translate this sentence to English: 'उसकी बेवफाई के बाद मैंने उससे मुँह फेर लिया।',"After his betrayal, I turned away from him.","""After his betrayal, I turned my face away from him.""",3,3,2,2
मुँह के आगे उंगली रखना,किसी को चुप कराना,To keep a finger on one's lips.,उसकी बकवास से तंग आकर मैंने मुँह के आगे उंगली रख दी।,'Translate this sentence to English: 'उसकी बकवास से तंग आकर मैंने मुँह के आगे उंगली रख दी।',I got fed up with his nonsense and put my finger in front of my mouth.,"Fed up with his nonsense, I put my finger to my lips.",1,1,3,3
मुँह पर तेल मलना,दूसरों की परवाह न करना,To ignore or neglect something.,उसने अपनी मुँह पर तेल मल कर सबको नजरअंदाज कर दिया।,'Translate this sentence to English: 'उसने अपनी मुँह पर तेल मल कर सबको नजरअंदाज कर दिया।',He acted as if nothing had happened after greasing his own palm.,He ignored everyone by turning a blind eye.,2,1,3,1
मुँह का मीठा,प्रिय या अच्छा बोलने वाला,Sweet-talker,"वह मुँह का मीठा है, सब उसे पसंद करते हैं।","'Translate this sentence to English: 'वह मुँह का मीठा है, सब उसे पसंद करते हैं।'","He is sweet-tongued, everyone likes him.","""He is sweet-talking, everyone likes him.""",3,2,2,1
मुँह का स्वाद बिगड़ना,बुरा लगना,To have a bad taste in one's mouth,ऐसी बातें सुनकर मुँह का स्वाद बिगड़ गया।,'Translate this sentence to English: 'ऐसी बातें सुनकर मुँह का स्वाद बिगड़ गया।',"After hearing such things, the taste in my mouth turned sour.","""Hearing such things left a bad taste in the mouth.""",3,3,3,3
मुँह फेर लेना,अनदेखा करना,Turn one's back.,उसके गलत व्यवहार के कारण सबने उससे मुँह फेर लिया।,'Translate this sentence to English: 'उसके गलत व्यवहार के कारण सबने उससे मुँह फेर लिया।',"Due to his wrong behavior, everyone turned away from him.","""Due to his misbehavior, everyone turned away from him.""",3,2,3,3
मुँह का फोड़ा होना,बहुत कष्टकारी होना,To be a pain in the neck,उसकी बदनामी मेरे जीवन का मुँह का फोड़ा बन गई।,'Translate this sentence to English: 'उसकी बदनामी मेरे जीवन का मुँह का फोड़ा बन गई।',His infamy became a sore point in my life.,"""Her infamy became a sore in my life.""",3,2,2,2
मुँह की बात छिपाना,महत्वपूर्ण बात न बताना,To hide one's true feelings.,उसने मुँह की बात छिपाई और सब चौंक गए।,'Translate this sentence to English: 'उसने मुँह की बात छिपाई और सब चौंक गए।',He kept his words hidden and everyone was shocked.,"""He kept his words to himself and everyone was surprised.""",2,1,2,2
मुँह तिरछा करना,नाक-भौं चढ़ाना,To pout,उसकी बात सुनकर उसने मुँह तिरछा कर लिया।,'Translate this sentence to English: 'उसकी बात सुनकर उसने मुँह तिरछा कर लिया।',"After hearing what he said, he turned his face away.","""Hearing his words, he pursed his lips.""",2,1,2,1
मुँह मसोसकर रह जाना,इच्छा पूरी न होने पर दुखी होना,To be left disappointed.,खराब प्रदर्शन के कारण उसे मुँह मसोसकर रह जाना पड़ा।,'Translate this sentence to English: 'खराब प्रदर्शन के कारण उसे मुँह मसोसकर रह जाना पड़ा।',"Due to poor performance, he had to leave with his tail between his legs.","Due to the poor performance, he had to swallow his pride.",3,3,3,3
मुँह पर ठंडा पानी डालना,किसी को शांत करना,To throw cold water on someone's face.,उसकी नाराजगी को मुँह पर ठंडा पानी डालकर शांत किया गया।,'Translate this sentence to English: 'उसकी नाराजगी को मुँह पर ठंडा पानी डालकर शांत किया गया।',His anger was cooled down by putting cold water on his face.,'His anger was calmed by splashing cold water on his face.',2,1,2,1
बिल्ली के भाग से छींका टूटना,बिना प्रयास के सफलता मिलना,A stroke of luck.,"उसे अचानक ही विदेश यात्रा का मौका मिल गया, यह तो बिल्ली के भाग से छींका टूटना है।","'Translate this sentence to English: 'उसे अचानक ही विदेश यात्रा का मौका मिल गया, यह तो बिल्ली के भाग से छींका टूटना है।'","He suddenly got the opportunity to travel abroad, it's like breaking a sneeze mid-way for a cat.",He suddenly got an opportunity to travel abroad; it's like a stroke of luck.,1,1,3,2
मुँह में दही जमाना,चुप रहना,To keep silent,उसने सवालों का सामना करते हुए मुँह में दही जमा लिया।,'Translate this sentence to English: 'उसने सवालों का सामना करते हुए मुँह में दही जमा लिया।',"While facing the questions, he froze with yogurt in his mouth.","""He clammed up while facing the questions.""",1,1,2,3
बेआबरू करना,अपमानित करना,To disgrace,उसकी गंदी हरकतों ने उसे बेआबरू कर दिया।,'Translate this sentence to English: 'उसकी गंदी हरकतों ने उसे बेआबरू कर दिया।',His dirty actions made him lose face.,"""His dirty actions disgraced him.""",3,3,3,3
मुँह की मिठास छीनना,खुशियों को खत्म करना,To take away the sweetness of the mouth.,उसकी हरकतों ने मेरे मुँह की मिठास छीन ली।,'Translate this sentence to English: 'उसकी हरकतों ने मेरे मुँह की मिठास छीन ली।',His actions took the sweetness out of my mouth.,"""His actions took away the sweetness from my mouth.""",3,2,2,1
मुँह की कसर निकालना,बदला लेना,To take revenge.,उसने मौके पर मुँह की कसर निकाल ली।,'Translate this sentence to English: 'उसने मौके पर मुँह की कसर निकाल ली।',He took advantage of the opportunity.,'He made the most of the opportunity.',1,1,2,1
मुँह तोड़ जवाब देना,कठोर प्रतिकार करना,Give a fitting reply,उसने अपने आलोचकों को मुँह तोड़ जवाब दिया।,'Translate this sentence to English: 'उसने अपने आलोचकों को मुँह तोड़ जवाब दिया।',He gave a fitting reply to his critics.,"""He gave a fitting reply to his critics.""",3,3,3,3
मुँह धोना,सजग होना,To wash one's face,उसकी हरकतों पर मैंने मुँह धोने का निश्चय किया।,'Translate this sentence to English: 'उसकी हरकतों पर मैंने मुँह धोने का निश्चय किया।',I decided to wash my hands of his actions.,"""I decided to give up on him because of his actions.""",3,3,2,2
मुँह की बात छुपाना,सच न बताना,To hide one's true feelings.,उसने मुँह की बात छुपाकर मुझे धोखा दिया।,'Translate this sentence to English: 'उसने मुँह की बात छुपाकर मुझे धोखा दिया।',He deceived me by hiding the truth.,"""He deceived me by hiding the truth.""",3,1,3,2
मुलायम बनावट,चिकनी और नरम संरचना,Soft texture,इस कपड़े की मुलायम बनावट बहुत पसंद आई।,'Translate this sentence to English: 'इस कपड़े की मुलायम बनावट बहुत पसंद आई।',I really liked the soft texture of this fabric.,'I really liked the soft texture of this fabric.',3,3,3,1
मुँह में पानी आना,लालच आना,Mouth-watering,उसकी मिठाई देखकर मेरे मुँह में पानी आ गया।,'Translate this sentence to English: 'उसकी मिठाई देखकर मेरे मुँह में पानी आ गया।',"Upon seeing his sweets, my mouth started watering.",'My mouth watered at the sight of his sweets.',3,3,3,3
मुफ्त में मिलना,बिना मूल्य चुकाए कुछ प्राप्त होना,To get for free,मेले में हमें बहुत सारी चीजें मुफ्त में मिलीं।,'Translate this sentence to English: 'मेले में हमें बहुत सारी चीजें मुफ्त में मिलीं।',We got a lot of things for free at the fair.,We got a lot of things for free at the fair.,3,3,3,3
मुँह में अमृत घोलना,बहुत ही मीठा और सुखद बोलना,To speak sweetly,उसकी बातों ने मुँह में अमृत घोल दिया।,'Translate this sentence to English: 'उसकी बातों ने मुँह में अमृत घोल दिया।',His words have turned into nectar in my mouth.,"""His words were like nectar to my ears.""",2,1,3,3
मुँह पर थप्पड़ मारना,अपमानित करना,To slap someone in the face,उसकी बातों ने जैसे मेरे मुँह पर थप्पड़ मारा।,'Translate this sentence to English: 'उसकी बातों ने जैसे मेरे मुँह पर थप्पड़ मारा।',His words felt like a slap on my face.,"""His words were like a slap in my face.""",3,3,3,3
मुँह के बल गिरना,असफल होना,Fall flat on one's face,उसकी योजना मुँह के बल गिर गई।,'Translate this sentence to English: 'उसकी योजना मुँह के बल गिर गई।',His plan fell flat on his face.,His plan fell flat on its face.,3,3,3,3
मुँह में घी भरना,किसी को खुश करना,To speak sweetly,उसकी सफलता की खबर ने सबके मुँह में घी भर दिया।,'Translate this sentence to English: 'उसकी सफलता की खबर ने सबके मुँह में घी भर दिया।',The news of his success made everyone's day.,"""The news of his success filled everyone's mouths with ghee.""",3,1,1,1
"बड़े मियाँ तो बड़े मियाँ, छोटे मियाँ सुभान अल्लाह",एक से बढ़कर एक,"The elder one is impressive, but the younger one is extraordinary.","उसके पिता भी बहुत होशियार हैं और वह खुद भी, यह तो बड़े मियाँ तो बड़े मियाँ, छोटे मियाँ सुभान अल्लाह जैसी बात हो गई।","'Translate this sentence to English: 'उसके पिता भी बहुत होशियार हैं और वह खुद भी, यह तो बड़े मियाँ तो बड़े मियाँ, छोटे मियाँ सुभान अल्लाह जैसी बात हो गई।'","His father is very clever and he himself is also quite sharp, it's like the saying goes, ""Big boss is big boss, small boss is Subhan Allah.""","""His father is very intelligent, and he himself is too; it's like 'the big man is great, and the little man is superb'.""",2,1,3,1
मूँछों की कसम से,प्रतिष्ठा की शपथ से,Swear on my mustache,उसने मूँछों की कसम से कहा कि वह सच बोल रहा है।,'Translate this sentence to English: 'उसने मूँछों की कसम से कहा कि वह सच बोल रहा है।',He swore by his mustache that he is telling the truth.,He swore on his mustache that he was telling the truth.,3,3,3,3
मुँह में बर्फ घुलना,धीरे-धीरे बात करना,To become very polite or sweet-spoken.,उसकी मुँह में बर्फ घुलने जैसी बातों ने सभी को प्रभावित किया।,'Translate this sentence to English: 'उसकी मुँह में बर्फ घुलने जैसी बातों ने सभी को प्रभावित किया।',"His words, as cold as ice melting in his mouth, left everyone impressed.","""His words, like ice melting in the mouth, impressed everyone.""",2,1,3,1
मुँह में दही बघारना,चुप रहना,To remain silent.,उसके सवालों पर मैंने मुँह में दही बघार लिया।,'Translate this sentence to English: 'उसके सवालों पर मैंने मुँह में दही बघार लिया।',I dodged his questions.,"""I clammed up at his questions.""",3,1,3,3
मुँह पर कसम खाना,सच्चाई की कसम लेना,Swear on one's face,उसने मुँह पर कसम खाकर कहा कि वह सच बोल रहा है।,'Translate this sentence to English: 'उसने मुँह पर कसम खाकर कहा कि वह सच बोल रहा है।',He swore on his mouth that he is telling the truth.,"""He swore on his face that he was telling the truth.""",1,1,1,1
मुँह से अंगारे निकालना,बहुत क्रोध करना,To speak harshly,उसकी मुँह से अंगारे निकालने वाली बातें सुनकर सब डर गए।,'Translate this sentence to English: 'उसकी मुँह से अंगारे निकालने वाली बातें सुनकर सब डर गए।',Everyone got scared hearing the fiery words coming out of his mouth.,Everyone got scared after hearing his fiery words.,3,2,3,3
मुस्कान फैलाना,खुशी का माहौल बनाना,Spread a smile,उसकी उपस्थिति ने कमरे में मुस्कान फैला दी।,'Translate this sentence to English: 'उसकी उपस्थिति ने कमरे में मुस्कान फैला दी।',His presence spread a smile in the room.,'His presence filled the room with smiles.',3,1,3,3
मुँह तक पहुंचना,बहुत पास होना,Reach the mouth,"लक्ष्य मुँह तक पहुंचा, लेकिन अंत में वह असफल हो गया।","'Translate this sentence to English: 'लक्ष्य मुँह तक पहुंचा, लेकिन अंत में वह असफल हो गया।'","The goal reached to the mouth, but in the end it failed.","""The goal was within reach, but in the end, he failed.""",1,1,3,3
बात का बतंगड़ बनाना,छोटी सी बात को बढ़ा देना,Make a mountain out of a molehill.,"तुम बात का बतंगड़ मत बनाओ, शांति से इसका हल निकालो।","'Translate this sentence to English: 'तुम बात का बतंगड़ मत बनाओ, शांति से इसका हल निकालो।'","Do not make a mess of the situation, solve it peacefully.","""Don't make a mountain out of a molehill, solve it calmly.""",2,1,3,3
मुँह का कौर बनना,किसी का प्रिय होना,To be an easy prey,उसका बच्चा उसके मुँह का कौर बना हुआ है।,'Translate this sentence to English: 'उसका बच्चा उसके मुँह का कौर बना हुआ है।',His child is a spitting image of him.,"""Her child is the apple of her eye.""",3,1,3,3
मुँह की राह देखना,किसी की प्रतीक्षा करना,To eagerly await someone's arrival.,उसने शाम तक उसके मुँह की राह देखी।,'Translate this sentence to English: 'उसने शाम तक उसके मुँह की राह देखी।',"By the evening, he had seen the way to her heart.",'She waited for him until the evening.',1,1,3,1
मुँह जला हुआ,बुरी अनुभव के कारण सतर्क होना,"Once bitten, twice shy","एक बार धोखा खाने के बाद वह हर किसी पर विश्वास नहीं करता, उसका मुँह जला हुआ है।","'Translate this sentence to English: 'एक बार धोखा खाने के बाद वह हर किसी पर विश्वास नहीं करता, उसका मुँह जला हुआ है।'","After being betrayed once, he doesn't trust anyone, his mouth is burnt.","""After being cheated once, he doesn't trust anyone; he has been burnt before.""",1,1,3,3
मुँह में ताला लगाना,पूरी तरह से चुप रहना,To keep one's mouth shut,मामले की गंभीरता को समझते हुए उसने मुँह में ताला लगा लिया।,'Translate this sentence to English: 'मामले की गंभीरता को समझते हुए उसने मुँह में ताला लगा लिया।',He sealed his lips while understanding the seriousness of the matter.,"Understanding the seriousness of the matter, he kept his mouth shut.",3,3,3,3
बाल-बाल बचना,मुश्किल से बचना,To have a narrow escape,दुर्घटना में वह बाल-बाल बच गया।,'Translate this sentence to English: 'दुर्घटना में वह बाल-बाल बच गया।',He narrowly escaped the accident.,"""He had a narrow escape in the accident.""",3,3,3,3
मुँह में काँटे बोना,अपमानित करना,To speak harshly,उसकी आलोचना ने मेरे मुँह में काँटे बो दिए।,'Translate this sentence to English: 'उसकी आलोचना ने मेरे मुँह में काँटे बो दिए।',His criticism put thorns in my mouth.,'His criticism sowed thorns in my mouth.',2,1,2,1
मुँह पर तमाचा मारना,अपमानित करना,To slap in the face,उसकी आलोचना ने मुझे मुँह पर तमाचा मारा।,'Translate this sentence to English: 'उसकी आलोचना ने मुझे मुँह पर तमाचा मारा।',His criticism hit me in the face.,"""His criticism slapped me in the face.""",3,1,3,3
मुँह लटकाना,उदास होना,To look disappointed,परीक्षा में कम अंक मिलने पर उसने मुँह लटका लिया।,'Translate this sentence to English: 'परीक्षा में कम अंक मिलने पर उसने मुँह लटका लिया।',He hung his head in shame after getting low marks in the exam.,"""He became crestfallen after getting low marks in the exam.""",3,3,3,3
मुँह की बात लेना,वही बात कह देना जो कोई कहने वाला हो,To interrupt.,उसने मेरी मुँह की बात ले ली और सबको बता दी।,'Translate this sentence to English: 'उसने मेरी मुँह की बात ले ली और सबको बता दी।',He took my words and spread it to everyone.,"""He took the words right out of my mouth and told everyone.""",2,1,3,3
मुँह की बात न करना,महत्वपूर्ण बात न कहना,Don't speak your mind.,उसने मुँह की बात न की और सब चौंक गए।,'Translate this sentence to English: 'उसने मुँह की बात न की और सब चौंक गए।',He did not speak a word and everyone was shocked.,"""He didn't speak his mind, and everyone was surprised.""",3,1,3,1
मुँह में मिर्ची लगना,तीखा बोलना,To speak harshly,छोटी सी बात पर उसका मुँह में मिर्ची लग जाती है।,'Translate this sentence to English: 'छोटी सी बात पर उसका मुँह में मिर्ची लग जाती है।',He gets a taste of his own medicine for small things.,'She gets upset over the smallest things.',1,1,3,3
मुँह बंद करना,चुप कराना,Shut up,झूठ पकड़े जाने पर उसने अपना मुँह बंद कर लिया।,'Translate this sentence to English: 'झूठ पकड़े जाने पर उसने अपना मुँह बंद कर लिया।',He shut his mouth when caught lying.,"Upon being caught lying, he shut his mouth.",3,3,3,3
मूल प्रश्न,मुख्य सवाल,Main question,हमें मूल प्रश्न पर ध्यान देना चाहिए।,'Translate this sentence to English: 'हमें मूल प्रश्न पर ध्यान देना चाहिए।',We should focus on the original question.,We should focus on the main question.,3,3,3,3
मुँह में गिट्टी डालना,बोलने में कठिनाई होना,To be tongue-tied,उसकी सच्चाई सुनकर मेरे मुँह में गिट्टी डाल गई।,'Translate this sentence to English: 'उसकी सच्चाई सुनकर मेरे मुँह में गिट्टी डाल गई।',"After hearing the truth from him, I was left speechless.",'Hearing his truth left me speechless.',3,3,3,3
मुँह में गोली देना,किसी को भ्रमित करना,To deceive or mislead someone.,उसकी मुँह में गोली देने वाली बातें सुनकर सब भ्रमित हो गए।,'Translate this sentence to English: 'उसकी मुँह में गोली देने वाली बातें सुनकर सब भ्रमित हो गए।',"After hearing the words that could kill in his mouth, everyone was confused.",Everyone got confused after hearing his misleading words.,1,1,3,2
मुँह का पानी पोंछना,किसी चीज़ की इच्छा करना,Wipe the drool off one's face.,उसने मिठाई देखी तो मुँह का पानी पोंछा।,'Translate this sentence to English: 'उसने मिठाई देखी तो मुँह का पानी पोंछा।',"When he saw the sweets, his mouth watered.",'He saw the sweets and wiped his mouth.',3,3,1,1
मुँह में सूई डालना,बहुत कम खाना,To be silent,वह इतना कम खाता है जैसे मुँह में सूई डाल रहा हो।,'Translate this sentence to English: 'वह इतना कम खाता है जैसे मुँह में सूई डाल रहा हो।',He eats so little as if he is trying to put a needle in his mouth.,"""He eats so little as if he is putting a needle in his mouth.""",1,1,1,1
मुँह से बोलना,स्पष्ट रूप से कहना,To speak out.,उसने मुँह से बोल कर साफ-साफ अपनी बात रखी।,'Translate this sentence to English: 'उसने मुँह से बोल कर साफ-साफ अपनी बात रखी।',He clearly stated his point by speaking up.,"""She clearly expressed her point verbally.""",3,2,3,1
मुँह पर पानी डालना,बहुत शर्मिंदा करना,To throw water on someone's face,उसकी हरकतों पर मैंने सबके सामने मुँह पर पानी डाल दिया।,'Translate this sentence to English: 'उसकी हरकतों पर मैंने सबके सामने मुँह पर पानी डाल दिया।',I spilled the beans on all his actions in front of everyone.,"""I splashed water on his face in front of everyone because of his antics.""",2,1,1,1
भरपूर मेहनत करना,पूरी मेहनत करना,To work hard,उसने परीक्षा में भरपूर मेहनत की।,'Translate this sentence to English: 'उसने परीक्षा में भरपूर मेहनत की।',He worked hard in the exam.,He worked very hard for the exam.,3,1,3,1
मुँह पर धूल डालना,किसी की इज्जत खराब करना,To deceive someone.,उसकी निंदा ने सबके मुँह पर धूल डाल दी।,'Translate this sentence to English: 'उसकी निंदा ने सबके मुँह पर धूल डाल दी।',His criticism shut everyone up.,"""His criticism left everyone speechless.""",3,2,3,2
मुँह चलाना,खाने का आनंद लेना,To talk excessively,मिठाइयाँ देखकर सबने मुँह चलाना शुरू कर दिया।,'Translate this sentence to English: 'मिठाइयाँ देखकर सबने मुँह चलाना शुरू कर दिया।',"After seeing the sweets, everyone started licking their lips.","""Seeing the sweets, everyone started eating.""",3,3,2,1
